年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位,演唱者/演奏者/導演
112,34,演唱類出版獎,年度專輯獎,馬拉美的星期二,環球國際唱片股份有限公司,環球國際唱片股份有限公司,演唱者：吳青峰
112,34,演唱類出版獎,年度歌曲獎,最好的時光《9522》,聯成娛樂事業有限公司,聯成娛樂事業有限公司,演唱者：安溥
112,34,演唱類出版獎,最佳華語專輯獎,PRO,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,演唱者：熊仔
112,34,演唱類出版獎,最佳台語專輯獎,水逆,火氣音樂股份有限公司,火氣音樂股份有限公司,演唱者：鄭宜農
112,34,演唱類出版獎,最佳客語專輯獎,簷風謠,山狗大樂團,山狗大樂團,演唱者：林鈺婷
112,34,演唱類出版獎,最佳原住民語專輯獎,cinevuan 7鄰86號,十一音像有限公司,十一音像有限公司,演唱者：Matzka
112,34,演唱類出版獎,最佳MV獎,Little Balcony《Little Balcony》,夕陽音樂產業有限公司,夕陽音樂產業有限公司,導演：Pennacky
112,34,演唱類個人獎,最佳作曲人獎,不在一起就不會分開《明室》,徐佳瑩,何樂音樂有限公司,演唱者：洪佩瑜
112,34,演唱類個人獎,最佳作詞人獎,人啊人《人啊人》,周耀輝,環球國際唱片股份有限公司,演唱者：陳奕迅
112,34,演唱類個人獎,最佳編曲人獎,李小龍《9522》,蔡坤奇,聯成娛樂事業有限公司,演唱者：安溥
112,34,演唱類個人獎,最佳專輯製作人獎,邊緣轉生術 Holy Gazai,柯智豪,創銘實業股份有限公司,演唱者：A_Root同根生
112,34,演唱類個人獎,最佳單曲製作人獎,Telephone《Snow White》,嘟嘟、周已敦,愛貝克思股份有限公司,演唱者：JADE
112,34,演唱類個人獎,最佳華語男歌手獎,娛樂自己,HUSH,相信音樂國際股份有限公司,HUSH
112,34,演唱類個人獎,最佳華語女歌手獎,LINK,A-Lin,台灣索尼音樂娛樂股份有限公司,A-Lin
112,34,演唱類個人獎,最佳台語男歌手獎,心愛的謝謝,阿吉仔,乾坤影視傳播有限公司,阿吉仔
112,34,演唱類個人獎,最佳台語女歌手獎,水逆,鄭宜農,火氣音樂股份有限公司,鄭宜農
112,34,演唱類個人獎,最佳客語歌手獎,我在客廳做的夢,彭佳慧,大賞門文化傳播有限公司,彭佳慧
112,34,演唱類個人獎,最佳原住民語歌手獎,我這裡有一批很純的你要不要 Ita,葛西瓦,野聲音娛樂有限公司,葛西瓦
112,34,演唱類個人獎,最佳樂團獎,理想狀態,宇宙人（林忠諭、方奎棠、陳奎言）,相信音樂國際股份有限公司,宇宙人
112,34,演唱類個人獎,最佳演唱組合獎,愛是我們必經的辛苦,Crispy脆樂團（盧羿安、丁律妏）,何樂音樂有限公司,Crispy脆樂團
112,34,演唱類個人獎,最佳新人獎,明室,洪佩瑜,何樂音樂有限公司,洪佩瑜
112,34,演奏類出版獎,演奏類最佳專輯獎,繫,好有感覺音樂事業有限公司,好有感覺音樂事業有限公司,演奏者：魯千千、里奇·古瓷
112,34,演奏類個人獎,演奏類最佳專輯製作人獎,阿爾卑斯的日落,鍾興民、Yannick Barman,果核有限公司,演奏者：鍾興民、Yannick Barman
112,34,演奏類個人獎,演奏類最佳作曲人獎,市場內的苦瓜嫂《黃瑞豐「潮」》,鍾興民、黃瑞豐,麥丁文化事業有限公司,演奏者：黃瑞豐
112,34,技術類個人獎,最佳裝幀設計獎,調教,畢展熒,何樂音樂有限公司,
112,34,技術類出版獎,最佳演唱錄音專輯獎,Time’s up,荒島文化有限公司,荒島文化有限公司,主要錄音人員：蔡周翰／主要混音人員：蔡周翰／主要母帶後製人員：John Greenham
112,34,技術類出版獎,最佳演奏錄音專輯獎,SEDAR Trio - Vol. 1,華納國際音樂股份有限公司,華納國際音樂股份有限公司,主要錄音人員：李游、李楊／主要混音人員：Kevin Killen／主要母帶後製人員：Bob Ludwig
112,34,評審團獎,評審團獎,,葛西瓦,,
112,34,特別貢獻獎,特別貢獻獎,,林秋離、歐陽菲菲,,
