年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位,演唱者/演奏者/導演
102,24,演唱類出版獎,最佳年度歌曲獎,大藝術家《MUSE》,華納國際音樂股份有限公司,華納國際音樂股份有限公司,演唱者：蔡依林
102,24,演唱類出版獎,最佳國語專輯獎,蓋亞,環球國際唱片股份有限公司,環球國際唱片股份有限公司,演唱者：林憶蓮
102,24,演唱類出版獎,最佳台語專輯獎,台南,三川娛樂有限公司,三川娛樂有限公司,演唱者：謝銘祐
102,24,演唱類出版獎,最佳客語專輯獎,回家的路,參拾柒度製作有限公司,參拾柒度製作有限公司,演唱者：暗黑白領階級
102,24,演唱類出版獎,最佳原住民語專輯獎,O-Kai A Cappella,角頭文化事業股份有限公司,角頭文化事業股份有限公司,演唱者：歐開合唱團
102,24,演唱類出版獎,最佳音樂錄影帶獎,乾杯《第二人生no where-末日版》,相信音樂國際股份有限公司,相信音樂國際股份有限公司,導演：陳奕仁
102,24,演唱類個人獎,最佳作曲人獎,回味《永恆。承諾》,黃韻玲,果核有限公司,
102,24,演唱類個人獎,最佳作詞人獎,玫瑰色的你《神的遊戲》,焦安溥,台灣索尼音樂娛樂股份有限公司,
102,24,演唱類個人獎,最佳編曲人獎,蓋亞《蓋亞》,常石磊,環球國際唱片股份有限公司,
102,24,演唱類個人獎,最佳專輯製作人獎,蓋亞,林憶蓮、常石磊,環球國際唱片股份有限公司,
102,24,演唱類個人獎,最佳單曲製作人獎,不一樣的朋友《忘不記》,亂彈阿翔,相信音樂國際股份有限公司,
102,24,演唱類個人獎,最佳國語男歌手獎,以愛之名,蕭敬騰,華納國際音樂股份有限公司,
102,24,演唱類個人獎,最佳台語男歌手獎,台南,謝銘祐,三川娛樂有限公司,
102,24,演唱類個人獎,最佳國語女歌手獎,蓋亞,林憶蓮,環球國際唱片股份有限公司,
102,24,演唱類個人獎,最佳台語女歌手獎,愛,李婭莎,滾石國際音樂股份有限公司,
102,24,演唱類個人獎,最佳客語歌手獎,兩個世界,湯宇歆,延伸有聲出版有限公司,
102,24,演唱類個人獎,最佳原住民語歌手獎,桑布伊同名專輯─ dalan,盧皆興 （桑布伊）,卡達德邦文化工作室,
102,24,演唱類個人獎,最佳樂團獎,Big Child,猴子飛行員 Monkey Pilot（王湯尼、楊聲錚、陳自強、余光燿、王昱人）,滾石國際音樂股份有限公司,
102,24,演唱類個人獎,最佳演唱組合獎,O-Kai A Cappella,歐開合唱團（賴家慶、葉微真、葉孝恩、葉孝賢、薛詒丹、李志偉）,角頭文化事業股份有限公司,
102,24,演唱類個人獎,最佳新人獎,KnockOut葛屁,葛仲珊（MISS KO）,顏社企業有限公司,
102,24,演奏類出版獎,最佳專輯獎,鍾興民作品集─飲食男女II 原聲帶,果核有限公司,果核有限公司,
102,24,演奏類個人獎,最佳專輯製作人獎,吹過島嶼的風,Daniel Ho,風潮音樂國際股份有限公司,
102,24,演奏類個人獎,最佳作曲人獎,頤和園華爾茲《愛 無界》,陳欣若,源動力文化發展事業有限公司,
102,24,技術類個人獎,最佳專輯包裝獎,卡片教堂的鐘聲,蕭青陽,禾廣娛樂股份有限公司,
102,24,評審團獎,評審團獎,O-Kai A Cappella,歐開合唱團, ,
102,24,特別貢獻獎,特別貢獻獎,鳳飛飛（林秋鸞）,,,
