年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位
86,8,團體獎,最佳流行音樂演唱唱片獎,〔如果雲知道〕,上華國際企業股份有限公司,上華國際企業股份有限公司
86,8,團體獎,最佳流行音樂演唱唱片獎,〔純情歌〕,上華國際企業股份有限公司,上華國際企業股份有限公司
86,8,團體獎,最佳流行音樂演唱唱片獎,〔絲路〕,上華國際企業股份有限公司,上華國際企業股份有限公司
86,8,團體獎,最佳流行音樂演唱唱片獎,〔天頂的月娘啊〕,台灣滾石唱片股份有限公司,台灣滾石唱片股份有限公司
86,8,團體獎,最佳流行音樂演唱唱片獎,〔南歌〕,飛碟企業股份有限公司,飛碟企業股份有限公司
86,8,團體獎,最佳流行音樂演奏唱片獎,〔天韻演奏篇－躍〕,天韻有聲出版社,天韻有聲出版社
86,8,團體獎,最佳流行音樂演奏唱片獎,〔慾望的聲音〕,巨石音樂股份有限公司,巨石音樂股份有限公司
86,8,團體獎,最佳流行音樂演奏唱片獎,〔愛最美麗〕,台灣滾石唱片股份有限公司,台灣滾石唱片股份有限公司
86,8,團體獎,最佳流行音樂演奏唱片獎,〔追尋－倫敦星空下〕,新力哥倫比亞音樂股份有限公司,新力哥倫比亞音樂股份有限公司
86,8,團體獎,最佳流行音樂演奏唱片獎,〔琴逢笛手〕,福茂唱片音樂股份有限公司,福茂唱片音樂股份有限公司
86,8,團體獎,最佳古典音樂唱片獎,〔鑼揚鼓慶〕,翰力文化事業股份有限公司,翰力文化事業股份有限公司
86,8,團體獎,最佳古典音樂唱片獎,〔梁祝小提琴協奏曲〕,巨石音樂股份有限公司,巨石音樂股份有限公司
86,8,團體獎,最佳古典音樂唱片獎,〔羅西尼之歌：浪漫的夜曲〕,上揚有聲出版有限公司,上揚有聲出版有限公司
86,8,團體獎,最佳古典音樂唱片獎,〔映象中國〕,家威影音實業有限公司,家威影音實業有限公司
86,8,團體獎,最佳古典音樂唱片獎,〔名琴．名曲的饗宴（四）〕,財團法人台南市奇美文化基金會,財團法人台南市奇美文化基金會
86,8,團體獎,最佳民族樂曲唱片獎,〔西北組曲〕,上揚有聲出版有限公司,上揚有聲出版有限公司
86,8,團體獎,最佳民族樂曲唱片獎,〔弦管傳奇〕,風潮有聲出版有限公司,風潮有聲出版有限公司
86,8,團體獎,最佳民族樂曲唱片獎,〔土地與歌〕,風潮有聲出版有限公司,風潮有聲出版有限公司
86,8,團體獎,最佳民族樂曲唱片獎,〔台灣有聲資料庫〕,水晶有聲出版社,水晶有聲出版社
86,8,團體獎,最佳民族樂曲唱片獎,〔醒世梵音（傳統佛樂專輯）〕,國綸企業有限公司,國綸企業有限公司
86,8,團體獎,最佳地方戲劇唱片獎,〔一夜京戲〕,大大樹音樂圖像,大大樹音樂圖像
86,8,團體獎,最佳地方戲劇唱片獎,〔京劇經典唱腔典藏集二～四（裘派專輯）〕,皇龍文化事業股份有限公司,皇龍文化事業股份有限公司
