年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位,演唱者/演奏者/導演/錄音團隊
106,28,演唱類出版獎,年度專輯獎,桑布伊創作專輯 - 椏幹,卡達德邦文化工作室,卡達德邦文化工作室,桑布伊（盧皆興）
106,28,演唱類出版獎,年度歌曲獎,大風吹《醜奴兒》,石皮有限公司,石皮有限公司,草東沒有派對
106,28,演唱類出版獎,最佳國語專輯獎,自傳 history of Tomorrow,相信音樂國際股份有限公司,相信音樂國際股份有限公司,五月天
106,28,演唱類出版獎,最佳台語專輯獎,釘子花,環球國際唱片股份有限公司,環球國際唱片股份有限公司,伍佰
106,28,演唱類出版獎,最佳客語專輯獎,光亮徬徨的閃耀年紀,三十而立有限公司,三十而立有限公司,二本貓
106,28,演唱類出版獎,最佳原住民語專輯獎,vavayan 女人,十一音像有限公司(十一音樂),十一音像有限公司(十一音樂),阿爆（Aljenljeng阿仍仍）
106,28,演唱類出版獎,最佳音樂錄影帶獎,拆《張三李四》,安樂茂思國際事業有限公司,安樂茂思國際事業有限公司,彭畯益；朱啟光；張錫安
106,28,演唱類個人獎,最佳作曲人獎,離心力 Centrifugal Force《離心力 CENTRIFUGAL FORCE》,黃建為,亞神音樂娛樂股份有限公司,楊乃文
106,28,演唱類個人獎,最佳作詞人獎,成名在望《自傳 history of Tomorrow》,五月天 阿信,相信音樂國際股份有限公司,五月天
106,28,演唱類個人獎,最佳編曲人獎,還不夠遠《你的完美有點難懂並不代表世界不能包容》,盧凱彤,洛克妹有限公司,盧凱彤
106,28,演唱類個人獎,最佳專輯製作人獎,vavayan 女人,荒井十一,十一音像有限公司(十一音樂),阿爆（Aljenljeng阿仍仍）
106,28,演唱類個人獎,最佳單曲製作人獎,是日救星《是日救星》,陳君豪,亞神音樂娛樂股份有限公司,徐佳瑩
106,28,演唱類個人獎,最佳國語男歌手獎,JTW 西遊記,方大同,香港商賦音樂有限公司,方大同
106,28,演唱類個人獎,最佳國語女歌手獎,說 艾怡良,艾怡良,台灣索尼音樂娛樂股份有限公司,艾怡良
106,28,演唱類個人獎,最佳台語男歌手獎,舊年,謝銘祐,三川娛樂有限公司,謝銘祐
106,28,演唱類個人獎,最佳台語女歌手獎,思念的歌,曹雅雯,時代創藝企業有限公司,曹雅雯
106,28,演唱類個人獎,最佳客語歌手獎,光亮徬徨的閃耀年紀,二本貓,三十而立有限公司,二本貓
106,28,演唱類個人獎,最佳原住民語歌手獎,桑布伊創作專輯 - 椏幹,桑布伊（盧皆興）,卡達德邦文化工作室,桑布伊（盧皆興）
106,28,演唱類個人獎,最佳樂團獎,醜奴兒,草東沒有派對:林耕佑、詹爲筑、楊世暄、劉立,石皮有限公司,草東沒有派對
106,28,演唱類個人獎,最佳演唱組合獎,先生小姐,Mr. Miss:杜凱；劉戀,風花雪月音樂文化事業有限公司,Mr. Miss
106,28,演唱類個人獎,最佳新人獎,醜奴兒,草東沒有派對,石皮有限公司,草東沒有派對
106,28,演奏類出版獎,演奏類最佳專輯獎,SEDAR,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,秦四風
106,28,演奏類個人獎,演奏類最佳專輯製作人獎,心情電影院,李欣芸,李欣芸音樂製作有限公司,保加利亞國家廣播交響樂團
106,28,演奏類個人獎,演奏類最佳作曲人獎,Arboreal Tunnel （feat. Richard Bona）《SEDAR》,秦四風,台灣索尼音樂娛樂股份有限公司,秦四風
106,28,技術類個人獎,最佳專輯裝幀設計獎,Welcome To The Next Level,艾克斯娛樂有限公司,艾克斯娛樂有限公司,陳星翰、何旭庭、講口萬、余品翰、小狐、毛怪、李夏
106,28,技術類出版獎,最佳演唱錄音專輯獎,桑布伊創作專輯 - 椏幹,卡達德邦文化工作室,卡達德邦文化工作室,主要錄音人員：孫天致／主要混音人員：孫天致／主要母帶後製人員：Ted Jensen
106,28,技術類出版獎,最佳演奏錄音專輯獎,SEDAR,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,主要錄音人員：李岳松、馬力、須藤 滿、Goh Hotoda、王耀唯、Larry Williams、Gary Grant、Dustin Higgns、Richard Bons、Chris Parks、Brendan Muldowney、James Genus、、秦四風、Scott Henderson、賈軼男、Alain Caron、Julian Miller／主要混音人員：Goh Hotoda、馬力／主要母帶後製人員：Bob Ludwing
106,28,評審團獎,評審團獎,圍庄,生祥樂隊,,
106,28,特別貢獻獎,特別貢獻獎,,紀露霞（紀秋英）,,
106,28,特別貢獻獎,特別貢獻獎,,張雨生,,
