年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位
95,17,流行音樂作品類-演唱類出版獎,最佳年度歌曲獎,太平洋的風《匆匆》,參拾柒度製作有限公司,參拾柒度製作有限公司
95,17,流行音樂作品類-演唱類出版獎,最佳國語流行音樂演唱專輯獎,太平盛世,伊世代娛樂股份有限公司,伊世代娛樂股份有限公司
95,17,流行音樂作品類-演唱類出版獎,最佳台語流行音樂演唱專輯獎,愛作夢的魚,亞律音樂股份有限公司,亞律音樂股份有限公司
95,17,流行音樂作品類-演唱類出版獎,最佳客語流行音樂演唱專輯獎,好客戲,角頭文化事業股份有限公司,角頭文化事業股份有限公司
95,17,流行音樂作品類-演唱類出版獎,最佳原住民語流行音樂演唱專輯獎,哈雷-路達瑪幹 原住民創作專輯,歡喜王唱片有限公司,歡喜王唱片有限公司
95,17,流行音樂作品類-演唱類出版獎,最佳流行音樂演奏專輯獎,意湖,山風音樂有限公司,山風音樂有限公司
95,17,流行音樂作品類-演唱類出版獎,最佳跨界音樂專輯獎,驚蟄,彗智數位影音有限公司,彗智數位影音有限公司
95,17,流行音樂作品類-演唱類個人獎,最佳音樂錄影帶導演獎,表面的和平《華麗的冒險》,徐筠庭,Cheerego好小氣音樂工作室
95,17,流行音樂作品類-演唱類個人獎, 最佳作曲人獎,愛瘋了《愛瘋了》,戴佩妮,科藝百代股份有限公司
95,17,流行音樂作品類-演唱類個人獎, 最佳作詞人獎,太平洋的風《匆匆》,胡德夫,參拾柒度製作有限公司
95,17,流行音樂作品類-演唱類個人獎, 最佳編曲人獎,暗舞《哈雷媽媽》,洪晟文,滾石國際音樂股份有限公司
95,17,流行音樂作品類-演唱類個人獎, 最佳專輯製作人獎,華麗的冒險,鍾成虎,Cheerego 好小氣音樂工作室
95,17,流行音樂作品類-演唱類個人獎,最佳國語男演唱人獎,蓋世英雄,王力宏,新力博德曼音樂娛樂股份有限公司
95,17,流行音樂作品類-演唱類個人獎,最佳台語男演唱人獎,雙面人,伍佰,艾迴股份有限公司
95,17,流行音樂作品類-演唱類個人獎,最佳國語女演唱人獎,雙棲動物,蔡健雅,華納國際音樂股份有限公司
95,17,流行音樂作品類-演唱類個人獎,最佳台語女演唱人獎,甲你作伴,黃乙玲,亞律音樂股份有限公司
95,17,流行音樂作品類-演唱類個人獎,最佳客語演唱人獎,果果台客,劉劭希,傳響樂坊
95,17,流行音樂作品類-演唱類個人獎,最佳原住民語演唱人獎,哈雷-路達瑪幹 原住民創作專輯,路達瑪幹,歡喜王唱片有限公司
95,17,流行音樂作品類-演唱類個人獎, 最佳樂團獎,找一個新世界,董事長樂團,典選音樂事業股份有限公司
95,17,流行音樂作品類-演唱類個人獎, 最佳演唱組合獎,拜金小姐(2005),拜金小姐,荒島網路科技股份有限公司
95,17,流行音樂作品類-演唱類個人獎,最佳流行音樂演唱新人獎,林宇中個人首張專輯,林宇中,海蝶音樂股份有限公司
95,17,傳統暨藝術音樂作品類-出版獎, 最佳古典音樂專輯獎,源─駱維道合唱作品集,福爾摩沙合唱團,福爾摩沙合唱團
95,17,傳統暨藝術音樂作品類-出版獎,最佳民族樂曲專輯獎,牽Ina的手,風潮音樂國際股份有限公司,風潮音樂國際股份有限公司
95,17,傳統暨藝術音樂作品類-出版獎,最佳戲曲曲藝專輯獎,吳党所踪 ─下回分解,上越百靈製作有限公司,上越百靈製作有限公司
95,17,傳統暨藝術音樂作品類-出版獎,最佳兒童樂曲專輯獎,愛與希望，生命的原動力,源動力文化發展事業有限公司,源動力文化發展事業有限公司
95,17,傳統暨藝術音樂作品類-出版獎, 最佳宗教音樂專輯獎,如果輕啟這扇窗,詮釋音樂文化事業有限公司,詮釋音樂文化事業有限公司
95,17,傳統暨藝術音樂作品類-個人獎, 最佳作曲人獎,台灣是寶島第一篇：草螟弄雞公《歐陽伶宜 First Taiwanese Cello Quartet》,李和莆,亞門音像事業有限公司
95,17,傳統暨藝術音樂作品類-個人獎, 最佳作詞人獎,莿帕互火燒《源─駱維道合唱作品集》,高俊明,福爾摩沙合唱團
95,17,傳統暨藝術音樂作品類-個人獎,最佳專輯製作人獎,台灣唸歌,洪瑞珍,台灣台語社
95,17,傳統暨藝術音樂作品類-個人獎, 最佳演唱獎,牽Ina的手,原舞者,風潮音樂國際股份有限公司
95,17,傳統暨藝術音樂作品類-個人獎, 最佳演奏獎,歐陽伶宜 First Taiwanese Cello Quartet,歐陽伶宜，張培節，陳昱翰，許書閑,亞門音像事業有限公司
95,17,傳統暨藝術音樂作品類-個人獎,特別貢獻獎,,林家慶先生,
