年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位,演唱者/演奏者/導演
101,23,演唱類出版獎,最佳年度歌曲獎,完美落地《把我換成你（十年幕後創作精華 電影電視主題歌曲專輯）》,赤腳不辣有限公司,赤腳不辣有限公司,
101,23,演唱類出版獎,最佳年度歌曲獎,諾亞方舟《第二人生（no where-末日版）》,相信音樂國際股份有限公司,相信音樂國際股份有限公司,
101,23,演唱類出版獎,最佳年度歌曲獎,於是長大了以後《於是長大了以後》,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,
101,23,演唱類出版獎,最佳年度歌曲獎,說到愛《說到愛》,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,
101,23,演唱類出版獎,最佳年度歌曲獎,那些年《那些年，我們一起追的女孩》,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,
101,23,演唱類出版獎,最佳國語專輯獎,第二人生（no where-末日版）,相信音樂國際股份有限公司,相信音樂國際股份有限公司,
101,23,演唱類出版獎,最佳國語專輯獎,美妙生活（平裝版）,華研國際音樂股份有限公司,華研國際音樂股份有限公司,
101,23,演唱類出版獎,最佳國語專輯獎,MY LOVE,華研國際音樂股份有限公司,華研國際音樂股份有限公司,
101,23,演唱類出版獎,最佳國語專輯獎,不允許哭泣的場合,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,
101,23,演唱類出版獎,最佳國語專輯獎,說到愛,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,
101,23,演唱類出版獎,最佳國語專輯獎,人,人人有功練音樂工作室,人人有功練音樂工作室,
101,23,演唱類出版獎, 最佳台語專輯獎,環島旅行,亂音製作有限公司,亂音製作有限公司,
101,23,演唱類出版獎, 最佳台語專輯獎,天荒地老,動脈音樂文化傳播有限公司,動脈音樂文化傳播有限公司,
101,23,演唱類出版獎, 最佳台語專輯獎,月彎彎,乾坤影視傳播有限公司,乾坤影視傳播有限公司,
