年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位
99,21,出版獎,最佳民族音樂專輯獎,孤韻絕唱　吳昆仁先生、江月雲女士南管音樂紀念專輯,喜瑪拉雅音樂事業股份有限公司,喜瑪拉雅音樂事業股份有限公司
99,21,出版獎,最佳民族音樂專輯獎,胡旋舞,上揚國際股份有限公司,上揚國際股份有限公司
99,21,出版獎,最佳民族音樂專輯獎,聽到品仔聲系列之一 抒懷─陳中申笛子作品專輯,喜瑪拉雅音樂事業股份有限公司,喜瑪拉雅音樂事業股份有限公司
99,21,出版獎,最佳戲曲曲藝專輯獎,故宮新韻：明皇幸蜀圖─經典崑劇《長生殿》,蘭庭崑劇團,蘭庭崑劇團
99,21,出版獎,最佳戲曲曲藝專輯獎,良臣遇灶神,許亞芬歌子戲劇坊,許亞芬歌子戲劇坊
99,21,出版獎,最佳戲曲曲藝專輯獎,吳兆南單口相聲－不大的笑話(上)(下),喜瑪拉雅音樂事業股份有限公司,喜瑪拉雅音樂事業股份有限公司
99,21,出版獎,最佳戲曲曲藝專輯獎,台灣答嘴鼓之阿彌陀佛,喜瑪拉雅音樂事業股份有限公司,喜瑪拉雅音樂事業股份有限公司
99,21,出版獎,最佳傳統歌樂專輯獎,三戲,天行國際文化事業有限公司,天行國際文化事業有限公司
99,21,出版獎,最佳傳統歌樂專輯獎,福佬民謠,貓貍文化工作室,貓貍文化工作室
99,21,出版獎,最佳傳統歌樂專輯獎,郭芝苑台語歌謠曲輯,郭芝苑音樂協進會,郭芝苑音樂協進會
99,21,出版獎,最佳古典音樂專輯獎,奇美提琴理想國 濫觴與輝煌年代,奇美發展文化事業有限公司,奇美發展文化事業有限公司
99,21,出版獎,最佳古典音樂專輯獎,雙鋼琴30禮讚,環球國際唱片股份有限公司,環球國際唱片股份有限公司
99,21,出版獎,最佳古典音樂專輯獎,蕭泰然鋼琴獨奏曲集－家園的回憶,繆斯藝術文化有限公司,繆斯藝術文化有限公司
99,21,出版獎,最佳古典音樂專輯獎,赫比希與NSO LIVE－德奧交響大師,金革科技股份有限公司,金革科技股份有限公司
99,21,出版獎,最佳兒童音樂專輯獎,幸福的臉－兒童音樂專輯,靜思人文志業股份有限公司,靜思人文志業股份有限公司
99,21,出版獎,最佳兒童音樂專輯獎,團團圓圓來作客,吉聲影視音有限公司,吉聲影視音有限公司
99,21,出版獎,最佳兒童音樂專輯獎,誰偷了我的積木聖誕音樂劇,社團法人台灣彩虹愛家生命教育協會,社團法人台灣彩虹愛家生命教育協會
99,21,出版獎,最佳宗教音樂專輯獎,日光之上－台語聖詩專輯,台北室內合唱團,台北室內合唱團
99,21,出版獎,最佳宗教音樂專輯獎,大福音,有情天音樂股份有限公司,有情天音樂股份有限公司
99,21,出版獎,最佳宗教音樂專輯獎,梁皇寶懺,如是我聞文化股份有限公司,如是我聞文化股份有限公司
99,21,出版獎,最佳跨界音樂專輯獎,樂活無界 Beyond Boundaries,看見音樂股份有限公司,看見音樂股份有限公司
99,21,出版獎,最佳跨界音樂專輯獎,自由想－源自遠古的呼聲,財團法人義美藝術教育基金會,財團法人義美藝術教育基金會
99,21,出版獎,最佳跨界音樂專輯獎,微星之光,聲動樂團,聲動樂團
99,21,出版獎,最佳跨界音樂專輯獎,寂靜的天空,風潮音樂國際股份有限公司,風潮音樂國際股份有限公司
99,21,個人獎,最佳作曲人獎,赤壁之後《樂活無界 Beyond Boundaries》,梁啟慧,看見音樂股份有限公司
99,21,個人獎,最佳作曲人獎,蕭峰交響詩《蕭峰交響詩》,黃輔棠,逍遙遊藝術文化公司
99,21,個人獎,最佳作曲人獎,胡旋舞《胡旋舞》,鍾耀光,上揚國際股份有限公司
99,21,個人獎,最佳作曲人獎,家園的回憶《蕭泰然鋼琴獨奏曲集－家園的回憶》,蕭泰然,繆斯藝術文化有限公司
99,21,個人獎,最佳作曲人獎,牧者守著他的羊群《福爾摩沙信簡－黑鬚馬偕》,金希文,金革科技股份有限公司
99,21,個人獎,最佳作詞人獎,青塚前的對話《青塚前的對話》,王安祈,非常深藍藝術工作室
99,21,個人獎,最佳作詞人獎,阿媽的白頭鬃《你的歌我來唱3－當代中文藝術歌曲集》,路寒袖,中華民國聲樂家協會
99,21,個人獎,最佳作詞人獎,世界恬靜落來的時《你的歌我來唱3－當代中文藝術歌曲集》,向陽,中華民國聲樂家協會
99,21,個人獎,最佳作詞人獎,雪上足印《你的歌我來唱3－當代中文藝術歌曲集》,陳黎,中華民國聲樂家協會
99,21,個人獎,最佳作詞人獎,夾在書頁的信《台灣音樂劇二部曲－隔壁親家》,< div>楊忠衡,音樂時代劇場
99,21,個人獎,最佳編曲人獎,造飛機卡農《童話‧童畫》,李思嫺,巴洛克獨奏家樂團
99,21,個人獎,最佳編曲人獎,赤壁之後《樂活無界 Beyond Boundaries》,梁啟慧,看見音樂股份有限公司
99,21,個人獎,最佳編曲人獎,玫瑰玫瑰我愛你《黃瑞豐都會爵士Happy Dog》,黃瑞豐,運籌娛樂事業有限公司
99,21,個人獎,最佳編曲人獎,日出《邂逅音樂盒 元氣?一天》,李哲藝,音樂盒國際文化事業有限公司
99,21,個人獎,最佳編曲人獎,Fantaisie by Dermersseman《李承育幻想曲薩克斯風演奏專輯》,李承育,奧尼斯音樂有限公司
99,21,個人獎,最佳專輯製作人獎,故宮新韻：明皇幸蜀圖─經典崑劇《長生殿》,王志萍,蘭庭崑劇團
99,21,個人獎,最佳專輯製作人獎,樂活無界 Beyond Boundaries,梁啟慧,看見音樂股份有限公司
99,21,個人獎,最佳專輯製作人獎,自由想－源自遠古的呼聲,程芷香, 財團法人義美藝術教育基金會
99,21,個人獎,最佳專輯製作人獎,胡旋舞,鍾耀光,上揚國際股份有限公司
