年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位
90,12,流行音樂作品類． 出版獎,最佳流行音樂演唱專輯獎,〔杰倫〕,博德曼股份有限公司,博德曼股份有限公司
90,12,流行音樂作品類． 出版獎,最佳流行音樂演奏專輯獎,〔墾丁－台灣國家公園音樂(一)〕,亞洲唱片有限公司,亞洲唱片有限公司
90,12,流行音樂作品類． 出版獎,最佳音樂錄影帶獎,跆拳道,魔岩唱片股份有限公司,魔岩唱片股份有限公司
90,12,流行音樂作品類． 個人獎,最佳作曲人獎,天黑黑〔孫燕姿同名專輯〕,李偲菘,華納國際音樂股份有限公司
90,12,流行音樂作品類． 個人獎,最佳作詞人獎,心酸的浪漫〔心酸的浪漫〕,那英,科藝百代股份有限公司
90,12,流行音樂作品類． 個人獎,最佳編曲人獎,我要的幸福〔我要的幸福〕,Martin Tang,華納國際音樂股份有限公司
90,12,流行音樂作品類． 個人獎,最佳專輯製作人獎,〔十二樓的莫文蔚〕,李宗盛,滾石國際音樂股份有限公司
90,12,流行音樂作品類． 個人獎,最佳國語男演唱人獎,〔我是人〕,阿弟仔,勇士物流股份有限公司（常喜音樂股份有限公司製作）
90,12,流行音樂作品類． 個人獎,最佳方言男演唱人獎,〔感心感謝〕,羅時豐,勇士物流股份有限公司（緯東有限公司製作）
90,12,流行音樂作品類． 個人獎,最佳國語女演唱人獎,〔心酸的浪漫〕,那英,科藝百代股份有限公司
90,12,流行音樂作品類． 個人獎,最佳方言女演唱人獎,〔台灣紅歌〕,江蕙,大信唱片股份有限公司
90,12,流行音樂作品類． 個人獎,最佳樂團獎,〔愛情萬歲〕,五月天(陳信宏、蔡昇晏、溫尚翊、石航瑋、劉諺明),滾石國際音樂股份有限公司
90,12,流行音樂作品類． 個人獎,最佳重唱組合獎,〔摩莉莎卡〕,北原山貓(吳廷宏、陳明仁),勇士物流股份有限公司（常喜音樂股份有限公司製作）
90,12,流行音樂作品類． 個人獎,最佳新人獎,〔孫燕姿專輯〕,孫燕姿,華納國際音樂股份有限公司
90,12,傳統暨藝術音樂作品類．團體獎,最佳古典音樂專輯獎,〔無伴奏風景〕,科藝百代股份有限公司,科藝百代股份有限公司
90,12,傳統暨藝術音樂作品類．團體獎,最佳民族樂曲專輯獎,〔關山月〕,風潮有聲出版有限公司,風潮有聲出版有限公司
90,12,傳統暨藝術音樂作品類．團體獎,最佳戲曲曲藝專輯獎,〔虎帳談兵〕,任詩傑實業有限公司,任詩傑實業有限公司
90,12,傳統暨藝術音樂作品類．團體獎,最佳兒童樂曲專輯獎,〔童年〕,風潮有聲出版有限公司,風潮有聲出版有限公司
90,12,傳統暨藝術音樂作品類．團體獎,最佳宗教音樂專輯獎,〔遙喚根本上師－藏咒精選二〕,源動力文化發展事業有限公司,源動力文化發展事業有限公司
90,12,傳統暨藝術音樂作品類．個人獎,最佳作曲人獎,the eternal vow永恆的誓約〔臥虎藏龍電影原聲帶〕,譚盾,新力哥倫比亞音樂股份有限公司
90,12,傳統暨藝術音樂作品類．個人獎,最佳作詞人獎,行諸路裡〔遊來遊去〕,蕭澤倫,如是我聞文化股份有限公司
90,12,傳統暨藝術音樂作品類．個人獎,最佳專輯製作人獎,〔我的海洋〕,吳金黛,風潮有聲出版有限公司
90,12,傳統暨藝術音樂作品類．個人獎,最佳演唱人獎,〔男聲合唱的魅力〕,台北男聲合唱團,家威影音實業有限公司
90,12,傳統暨藝術音樂作品類．個人獎,最佳演奏人獎,〔無伴奏風景〕,胡乃元,科藝百代股份有限公司
90,12,特別貢獻獎,特別貢獻獎,,許常惠先生,
90,12,特別貢獻獎,特別貢獻獎,,劉家昌先生,
