年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位
93,15,流行音樂作品類-出版獎,最佳流行音樂演唱專輯獎,美麗人生,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司
93,15,流行音樂作品類-出版獎,最佳流行音樂演唱專輯獎,風吹的願望,亞律音樂股份有限公司,亞律音樂股份有限公司
93,15,流行音樂作品類-出版獎,最佳流行音樂演唱專輯獎,看我72變,新力哥倫比亞音樂股份有限公司,新力哥倫比亞音樂股份有限公司
93,15,流行音樂作品類-出版獎,最佳流行音樂演唱專輯獎,將愛,銀魚音樂有限公司,銀魚音樂有限公司
93,15,流行音樂作品類-出版獎,最佳流行音樂演唱專輯獎,葉惠美,阿爾發音樂股份有限公司,阿爾發音樂股份有限公司
93,15,流行音樂作品類-出版獎,最佳流行音樂演唱專輯獎,一儕﹒花樹下,威德文化有限公司,威德文化有限公司
93,15,流行音樂作品類-出版獎,最佳流行音樂演奏專輯獎,白屋之戀（White Cottage Love）,金革科技股份有限公司,金革科技股份有限公司
93,15,流行音樂作品類-出版獎,最佳流行音樂演奏專輯獎,飄浮手風琴,風潮有聲出版有限公司,風潮有聲出版有限公司
93,15,流行音樂作品類-出版獎,最佳流行音樂演奏專輯獎,赴宴,風潮有聲出版有限公司,風潮有聲出版有限公司
93,15,流行音樂作品類-出版獎,最佳流行音樂演奏專輯獎,孽子,風潮有聲出版有限公司,風潮有聲出版有限公司
93,15,流行音樂作品類-出版獎,最佳流行音樂演奏專輯獎,遠方的寂靜,風潮有聲出版有限公司,風潮有聲出版有限公司
93,15,流行音樂作品類-個人獎,最佳音樂錄影帶導演獎,妳對他的好《SO FRESH》,徐仁鋒,福茂唱片音樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳音樂錄影帶導演獎,麻吉弟弟《Machi》,張時霖,華納國際音樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳音樂錄影帶導演獎,聽不到《戀愛的力量》 ,周格泰,滾石國際音樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳音樂錄影帶導演獎,你靜靜聽《時間的密語》 ,蕭雅全,新力哥倫比亞音樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳音樂錄影帶導演獎,不留《將愛》,黃中平,銀魚音樂有限公司
93,15,流行音樂作品類-個人獎,最佳音樂錄影帶導演獎,三年二班《葉惠美》 ,鄺盛,阿爾發音樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳作曲人獎,葉子《受了點傷》,陳曉娟,華研國際音樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳作曲人獎,風吹的願望《風吹的願望》,謝誌豪,亞律音樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳作曲人獎,Love Love Love《不可思議》,王力宏,新力哥倫比亞音樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳作曲人獎,不留《將愛》,王菲,銀魚音樂有限公司
93,15,流行音樂作品類-個人獎,最佳作曲人獎,東風破《葉惠美》,周杰倫,阿爾發音樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳作詞人獎,葉子《受了點傷》,陳曉娟,華研國際音樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳作詞人獎,Life’s a Struggle《Life’s a Struggle》,宋岳庭,原動力文化發展事業有限公司
93,15,流行音樂作品類-個人獎,最佳作詞人獎,風吹的願望《風吹的願望》,謝誌豪,亞律音樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳作詞人獎,不留《將愛》,王菲,銀魚音樂有限公司
93,15,流行音樂作品類-個人獎,最佳作詞人獎,東風破《葉惠美》,方文山,阿爾發音樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳作詞人獎,梯田《葉惠美》,周杰倫,阿爾發音樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳編曲人獎,地獄浮沉錄《八方來客》,劉劭希,傳響樂坊
93,15,流行音樂作品類-個人獎,最佳編曲人獎,布拉格廣場《看我72變》,鍾興民,新力哥倫比亞音樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳編曲人獎,空城《將愛》,林海,銀魚音樂有限公司
93,15,流行音樂作品類-個人獎,最佳編曲人獎,不留《將愛》,張亞東,銀魚音樂有限公司
93,15,流行音樂作品類-個人獎,最佳編曲人獎,以父之名《葉惠美》,洪敬堯,阿爾發音樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳專輯製作人獎,幾米地下鐵音樂劇原聲帶,陳建騏,銀翼文化事業工作室
93,15,流行音樂作品類-個人獎,最佳專輯製作人獎,風吹的願望,陳子鴻,亞律音樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳專輯製作人獎,不可思議,王力宏,新力哥倫比亞音樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳專輯製作人獎,將愛,王菲、張亞東,銀魚音樂有限公司
93,15,流行音樂作品類-個人獎,最佳專輯製作人獎,葉惠美,周杰倫,阿爾發音樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳專輯製作人獎,一儕﹒花樹下,謝宇威,威德文化有限公司
93,15,流行音樂作品類-個人獎,最佳國語男演唱人獎,Ultrasound樂之路,陶喆,伊世代娛樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳國語男演唱人獎,黑白灰,陳奕迅,艾迴股份有限公司
93,15,流行音樂作品類-個人獎,最佳國語男演唱人獎,愛的鋼琴手,伍思凱,新力哥倫比亞音樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳國語男演唱人獎,不可思議,王力宏,新力哥倫比亞音樂股份有限公司
93,15,流行音樂作品類-個人獎,最佳國語男演唱人獎,葉惠美,周杰倫,阿爾發音樂股份有限公司
