年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位
89,11,流行音樂作品類．出版獎部分,最佳流行音樂演唱專輯獎,〔我要我們在一起〕,福茂唱片音樂股份有限公司,福茂唱片音樂股份有限公司
89,11,流行音樂作品類．出版獎部分,最佳流行音樂演奏專輯獎,〔3橘之戀〕,角頭文化事業股份有限公司,角頭文化事業股份有限公司
89,11,流行音樂作品類．出版獎部分,最佳音樂錄影帶獎,我要我們在一起,福茂唱片音樂股份有限公司,福茂唱片音樂股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳作曲人獎,神話〔太陽　風　草原的聲音〕,陳建年,魔岩唱片股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳作詞人獎,原諒〔臉頰貼緊月球〕,雷光夏,新力哥倫比亞音樂股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳編曲人獎,秋天1944〔我們這裡還有魚〕,黃大煒、郭巍,大宇國際唱片股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳專輯製作人獎,〔I'm ok〕,陶喆,俠客唱片股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳國語男演唱人獎,〔海洋〕,陳建年,角頭文化事業股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳方言男演唱人獎,〔傲骨人生〕,朱約信,魔岩唱片股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳國語女演唱人獎,〔silence〕,楊乃文,魔岩唱片股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳方言女演唱人獎,〔半醉半清醒〕,江蕙,大信唱片股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳演唱團體獎,〔亂彈〕,亂彈（陳泰翔、楊明鋒、童志偉、戴中強),博德曼股份有限公司（真言社製作有限公司製作）
89,11,流行音樂作品類．個人獎部分,最佳新人獎,〔太陽 風 草原的聲音〕,紀曉君,魔岩唱片股份有限公司
89,11,非流行音樂作品類．出版獎部分,最佳古典音樂專輯獎,〔留心〕,聞聲有限公司,聞聲有限公司
89,11,非流行音樂作品類．出版獎部分,最佳民族樂曲專輯獎,〔across the yellow earth〕,魔岩唱片股份有限公司,魔岩唱片股份有限公司
89,11,非流行音樂作品類．出版獎部分,最佳民俗曲藝專輯獎,〔中華說唱曲藝小百科〕,財團法人中央廣播電台,財團法人中央廣播電台
89,11,非流行音樂作品類．出版獎部分,最佳地方戲劇專輯獎,,從缺,
89,11,非流行音樂作品類．出版獎部分,最佳兒童樂曲專輯獎,,從缺,
89,11,非流行音樂作品類．出版獎部分,最佳宗教音樂專輯獎,〔大悲咒─藏咒精選〕,源動力文化發展事業有限公司,源動力文化發展事業有限公司
89,11,非流行音樂作品類．個人獎部分,最佳作曲人獎,我等就來唱山歌〔我等就來唱山歌〕,林生祥,串聯有聲出版社
89,11,非流行音樂作品類．個人獎部分,最佳作詞人獎,晚紅〔蕊香漩澓〕,愚溪,普音文化事業股份有限公司
89,11,非流行音樂作品類．個人獎部分,最佳專輯製作人獎,〔我等就來唱山歌〕,鍾永豐、林生祥、陳冠宇,串聯有聲出版社
89,11,非流行音樂作品類．個人獎部分,最佳演唱人獎,〔思情〕,林惠珍,心宇藝術工作室
89,11,非流行音樂作品類．個人獎部分,最佳演奏人獎,〔走西口〕,李鎮,任詩傑實業有限公司
89,11,特別貢獻獎,特別貢獻獎,,陶曉清女士,
