年度,屆別,獎項名稱,得獎作品,得獎單位/者,報名單位
83,5,最佳年度歌曲獎,吻別,寶麗金唱片股份有限公司,寶麗金唱片股份有限公司
83,5,最佳國語歌曲作詞人獎,牽手,李子恒,飛碟企業股份有限公司
83,5,最佳方言歌曲作詞人獎,戲棚腳,吳文欽（吳念真）,歌林股份有限公司
83,5,最佳作曲人獎,酒後的心聲,駱居財,點將股份有限公司
83,5,最佳編曲人獎,吻別,殷文琦,寶麗金唱片股份有限公司
83,5,最佳單曲歌唱錄影帶影片獎,一佰萬,滾石國際有限公司,滾石國際有限公司
83,5,最佳錄音獎,〔戀戀風塵〕,索引有聲出版有限公司、比特製作有限公司,索引有聲出版有限公司、比特製作有限公司
83,5,最佳演唱專輯獎,〔酒後的心聲〕,點將股份有限公司,點將股份有限公司
83,5,最佳演奏專輯獎,〔戀戀風塵〕,索引有聲出版有限公司,索引有聲出版有限公司
83,5,最佳演唱專輯製作人獎,〔凡人－大夥兒聽我唱支歌專輯〕,蔡宗政,歌林股份有限公司
83,5,最佳演奏專輯製作人獎,〔戀戀風塵〕,陳揚、許景淳、陳明章,索引有聲出版有限公司
83,5,最佳國語歌曲男演唱人獎,,殷正洋,巨石音樂有限公司
83,5,最佳方言歌曲男演唱人獎,,洪榮宏,寶麗金唱片股份有限公司
83,5,最佳國語歌曲女演唱人獎,,葉倩文,飛碟企業股份有限公司
83,5,最佳方言歌曲女演唱人獎,,陳雲霞（陳小雲）,吉馬唱片錄音帶有限公司
83,5,最佳演唱組獎,,凡人二重唱(莫凡、袁惟仁),歌林股份有限公司
83,5,新人獎,,眭澔平,歌林股份有限公司
82,4,特別獎,,從缺,
