年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位,演唱者/演奏者/導演/錄音團隊
109,31,演唱類出版獎,年度專輯獎,最佳華語專輯獎,,,
109,31,演唱類出版獎,年度專輯獎,最佳台語專輯獎,,,
109,31,演唱類出版獎,年度專輯獎,最佳客語專輯獎,,,
109,31,演唱類出版獎,年度專輯獎,最佳原住民語專輯獎,,,
109,31,演唱類出版獎,年度歌曲獎,最高品質靜悄悄 Airplane Mode《平庸之上》,爵士寶貝有限公司,爵士寶貝有限公司,9m88、Leo王
109,31,演唱類出版獎,年度歌曲獎,遠行“Distant Journey”《[陽光普照] 電影原聲帶》,山下民謠有限公司,山下民謠有限公司,林生祥
109,31,演唱類出版獎,年度歌曲獎,Without You《#osnrap》,史科特音樂股份有限公司,史科特音樂股份有限公司,高爾宣
109,31,演唱類出版獎,年度歌曲獎,摩天動物園《摩天動物園》,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,G.E.M.鄧紫棋
109,31,演唱類出版獎,年度歌曲獎,鬼島《亞洲通話》,亞洲通文創有限公司,亞洲通文創有限公司,黃明志、大支
109,31,演唱類出版獎,年度歌曲獎,Thank You 感謝《kinakaian 母親的舌頭》,十一音像有限公司(十一音樂),十一音像有限公司(十一音樂),阿爆（阿仍仍）
109,31,演唱類出版獎,年度歌曲獎,雙城記《無名英雄》,火氣音樂股份有限公司,火氣音樂股份有限公司,滅火器
109,31,演唱類出版獎,最佳國語專輯獎,愛的呼喚,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,王若琳
109,31,演唱類出版獎,最佳國語專輯獎,摩天動物園,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,G.E.M.鄧紫棋
109,31,演唱類出版獎,最佳國語專輯獎,失物之城,雪人有限公司,雪人有限公司,許哲珮
109,31,演唱類出版獎,最佳國語專輯獎,Juvenile A,何樂音樂有限公司,何樂音樂有限公司,陳珊妮
109,31,演唱類出版獎,最佳國語專輯獎,藏著並不等於遺忘,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,魏如萱
109,31,演唱類出版獎,最佳國語專輯獎,太空人,環球國際唱片股份有限公司,環球國際唱片股份有限公司,吳青峰
109,31,演唱類出版獎,最佳台語專輯獎,裝潢,禾廣娛樂股份有限公司,禾廣娛樂股份有限公司,濁水溪公社
109,31,演唱類出版獎,最佳台語專輯獎,善良的歹人,紅豆娛樂股份有限公司,紅豆娛樂股份有限公司,蘇明淵
109,31,演唱類出版獎,最佳台語專輯獎,鏡reflection,這虎音樂工作室,這虎音樂工作室,潘越雲
109,31,演唱類出版獎,最佳台語專輯獎,我們以後要結婚,艾格普蘭特艾格有限公司,艾格普蘭特艾格有限公司,茄子蛋
109,31,演唱類出版獎,最佳台語專輯獎,燒金蕉,洗耳恭聽股份有限公司,洗耳恭聽股份有限公司,百合花
