年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位,演唱者/演奏者/導演/錄音團隊
111,33,演唱類出版獎,年度專輯獎,最佳華語專輯獎,,,
111,33,演唱類出版獎,年度專輯獎,最佳台語專輯獎,,,
111,33,演唱類出版獎,年度專輯獎,最佳客語專輯獎,,,
111,33,演唱類出版獎,年度專輯獎,最佳原住民語專輯獎,,,
111,33,演唱類出版獎,年度歌曲獎,滅人山《滅人山》,貳樓音樂工作室,貳樓音樂工作室,黃連煜、桑布伊
111,33,演唱類出版獎,年度歌曲獎,Bluebirds《DEPART》,環球國際唱片股份有限公司,環球國際唱片股份有限公司,蔡健雅
111,33,演唱類出版獎,年度歌曲獎,奶奶《HAVE A NICE DAY》,何樂音樂有限公司,何樂音樂有限公司,魏如萱
111,33,演唱類出版獎,年度歌曲獎,玻璃心《鬼才做音樂》,亞洲通文創有限公司,亞洲通文創有限公司,黃明志、陳芳語
111,33,演唱類出版獎,年度歌曲獎,如果可以《如果可以》,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,韋禮安
111,33,演唱類出版獎,年度歌曲獎,愛情你比我想的閣較偉大《愛情你比我想的閣較偉大》,艾格普蘭特艾格有限公司,艾格普蘭特艾格有限公司,茄子蛋
111,33,演唱類出版獎,年度歌曲獎,跑馬燈 DEATH TRIP《跑馬燈 DEATH TRIP》,新樂園音樂有限公司,新樂園音樂有限公司,ØZI feat. 蛋堡
111,33,演唱類出版獎,年度歌曲獎,雛形《雛形》,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,徐佳瑩
111,33,演唱類出版獎,最佳華語專輯獎,Faye詹雯婷 在雲彩上跳舞 嘰嘰喳喳,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,詹雯婷
111,33,演唱類出版獎,最佳華語專輯獎,愛情一陣風,顏社企業有限公司,顏社企業有限公司,李權哲
111,33,演唱類出版獎,最佳華語專輯獎,DEPART,環球國際唱片股份有限公司,環球國際唱片股份有限公司,蔡健雅
111,33,演唱類出版獎,最佳華語專輯獎,HAVE A NICE DAY,何樂音樂有限公司,何樂音樂有限公司,魏如萱
111,33,演唱類出版獎,最佳華語專輯獎,夜間模式,十一音像有限公司(十一音樂),十一音像有限公司(十一音樂),無實物藝術團
111,33,演唱類出版獎,最佳華語專輯獎,飛狗,環球國際唱片股份有限公司,環球國際唱片股份有限公司,崔健
111,33,演唱類出版獎,最佳台語專輯獎,新寶島康樂隊 第12張剪剪花,新樂園製作有限公司,新樂園製作有限公司,新寶島康樂隊
111,33,演唱類出版獎,最佳台語專輯獎,不是路,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,百合花
111,33,演唱類出版獎,最佳台語專輯獎,GOLDEN 太子 BRO,街聲股份有限公司,街聲股份有限公司,Flesh Juicer 血肉果汁機
111,33,演唱類出版獎,最佳台語專輯獎,看無,這虎音樂工作室,這虎音樂工作室,王俊傑
111,33,演唱類出版獎,最佳台語專輯獎,空,九丸音樂有限公司,九丸音樂有限公司,江惠儀
111,33,演唱類出版獎,最佳台語專輯獎,下半場,好痛音樂事業有限公司,好痛音樂事業有限公司,張涵雅
111,33,演唱類出版獎,最佳客語專輯獎,虛空現下,這哪位音樂工作室,這哪位音樂工作室,黃宇寒
111,33,演唱類出版獎,最佳客語專輯獎,滅人山,貳樓音樂工作室,貳樓音樂工作室,黃連煜
111,33,演唱類出版獎,最佳客語專輯獎,今本日係馬,好有感覺音樂事業有限公司,好有感覺音樂事業有限公司,羅思容
111,33,演唱類出版獎,最佳客語專輯獎,他鄉尋客,好痛音樂事業有限公司,好痛音樂事業有限公司,愛客樂
111,33,演唱類出版獎,最佳客語專輯獎,塹,安樂茂思國際事業有限公司,安樂茂思國際事業有限公司,彭柏邑
111,33,演唱類出版獎,最佳原住民語專輯獎,溯,漢創文化股份有限公司,漢創文化股份有限公司,野東西
111,33,演唱類出版獎,最佳原住民語專輯獎,Ira…a micekor   靜靜地等待著,好有感覺音樂事業有限公司,好有感覺音樂事業有限公司,Osay Hongay
111,33,演唱類出版獎,最佳原住民語專輯獎,pongso no Tao,角頭文化事業股份有限公司,角頭文化事業股份有限公司,陳建年
111,33,演唱類出版獎,最佳原住民語專輯獎,《N1》那屋瓦一號作品,那屋瓦文化有限公司,那屋瓦文化有限公司,夏子、阿拉斯、曾妮、丁繼、薛薛、真愛、Kivi
111,33,演唱類出版獎,最佳原住民語專輯獎,我們的島,小島大歌影音工作室,小島大歌影音工作室,戴曉君、布妲菈．碧海、Emlyn、Vaiteani、Selina Leem、Sammy、Yoyo Tuki
111,33,演唱類出版獎,最佳原住民語專輯獎,iya manu maitucu 我以為我不知道,新式有限公司,新式有限公司,Kerekelj 沈昉禎
111,33,演唱類出版獎,最佳MV獎,馬克吐溫《多色寶山大王》,火玄火包股份有限公司,火玄火包股份有限公司,林毛
111,33,演唱類出版獎,最佳MV獎,以上皆非《以上皆非》,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,比爾賈
111,33,演唱類出版獎,最佳MV獎,甘吧爹ㄋㄟ《甘吧爹ㄋㄟ》,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,蔡宜豫
111,33,演唱類出版獎,最佳MV獎,自我的介紹《勵志論》,添翼創越工作室,添翼創越工作室,殷振豪
111,33,演唱類出版獎,最佳MV獎,"我是一隻瘋狗, 爽喔! Ft. BAT《GOLDEN 太子 BRO》",街聲股份有限公司,街聲股份有限公司,林士鈞
111,33,演唱類出版獎,最佳MV獎,跑馬燈 DEATH TRIP《跑馬燈 DEATH TRIP》,新樂園音樂有限公司,新樂園音樂有限公司,ØZI、李品賢
111,33,演唱類個人獎,最佳作曲人獎,等妳想起我《無視》,宋念宇,華納國際音樂股份有限公司,小宇-宋念宇
111,33,演唱類個人獎,最佳作曲人獎,Bluebirds《DEPART》,蔡健雅,環球國際唱片股份有限公司,蔡健雅
111,33,演唱類個人獎,最佳作曲人獎,雨時多雲偶陣晴《勵志論》,盧廣仲,添翼創越工作室,盧廣仲
111,33,演唱類個人獎,最佳作曲人獎,賣花的人《HAVE A NICE DAY》,鮮于貞娥,何樂音樂有限公司,魏如萱、鮮于貞娥
111,33,演唱類個人獎,最佳作曲人獎,貪《偏偏我卻都記得》,艾怡良,百代唱片股份有限公司,艾怡良
111,33,演唱類個人獎,最佳作曲人獎,衣櫃歌手《衣櫃歌手》,HUSH,相信音樂國際股份有限公司,HUSH
111,33,演唱類個人獎,最佳作詞人獎,測量《今本日係馬》,羅思容,好有感覺音樂事業有限公司,羅思容
111,33,演唱類個人獎,最佳作詞人獎,Into The Wild《DEPART》,周耀輝,環球國際唱片股份有限公司,蔡健雅、阿雲嘎
111,33,演唱類個人獎,最佳作詞人獎,去二連浩特的夜車《麗春》,陳昇,滾石國際音樂股份有限公司,陳昇
111,33,演唱類個人獎,最佳作詞人獎,攪擾《舞台》,武雄,環球國際唱片股份有限公司,蕭煌奇
111,33,演唱類個人獎,最佳作詞人獎,查有此人《查有此人》,葛大為,何樂音樂有限公司,魏如萱
111,33,演唱類個人獎,最佳作詞人獎,88BARS《88BARS》,熊信寬,台灣索尼音樂娛樂股份有限公司,熊仔
111,33,演唱類個人獎,最佳編曲人獎,滅人山《滅人山》,黃連煜,貳樓音樂工作室,黃連煜、桑布伊
111,33,演唱類個人獎,最佳編曲人獎,拜六《不是路》,鄭各均、林奕碩、林威佐、陳奕欣,滾石國際音樂股份有限公司,百合花
111,33,演唱類個人獎,最佳編曲人獎,狂迪《勵志論》,盧廣仲、黃少雍、張瀚中、簡道生、米奇林,添翼創越工作室,盧廣仲
111,33,演唱類個人獎,最佳編曲人獎,fu’is 星星歌《《N1》那屋瓦一號作品》,黃少雍,那屋瓦文化有限公司,夏子
111,33,演唱類個人獎,最佳編曲人獎,AI敢會愛?《AI敢會愛?》,Robot Swing,福祿壽音樂娛樂有限公司,Robot Swing、陳以恆、洪佩瑜
111,33,演唱類個人獎,最佳編曲人獎,PARADIGM《BEANSTALK》,YELLOW黃宣,否極泰來音樂股份有限公司,YELLOW黃宣
111,33,演唱類個人獎,最佳專輯製作人獎,FAC：E,Everydaze,傻皮文創有限公司,王彙筑
111,33,演唱類個人獎,最佳專輯製作人獎,滅人山,黃連煜,貳樓音樂工作室,黃連煜
111,33,演唱類個人獎,最佳專輯製作人獎,不是路,鄭各均,滾石國際音樂股份有限公司,百合花
111,33,演唱類個人獎,最佳專輯製作人獎,愛情一陣風,李權哲,顏社企業有限公司,李權哲
111,33,演唱類個人獎,最佳專輯製作人獎,DEPART,蔡健雅,環球國際唱片股份有限公司,蔡健雅
111,33,演唱類個人獎,最佳專輯製作人獎,HAVE A NICE DAY,陳建騏、韓立康、黃少雍,何樂音樂有限公司,魏如萱
111,33,演唱類個人獎,最佳單曲製作人獎,融雪《Faye詹雯婷 在雲彩上跳舞 嘰嘰喳喳》,詹雯婷、盧律銘,亞神音樂娛樂股份有限公司,詹雯婷
111,33,演唱類個人獎,最佳單曲製作人獎,Sally《尋找你》,余佳倫,海岸音樂製作所,以莉高露
111,33,演唱類個人獎,最佳單曲製作人獎,AI敢會愛?《AI敢會愛?》,陳君豪、韓立康、黃文萱,福祿壽音樂娛樂有限公司,Robot Swing、陳以恆、洪佩瑜
111,33,演唱類個人獎,最佳單曲製作人獎,這世界那麼多人《這世界那麼多人》,荒井十一、彭飛,台灣索尼音樂娛樂股份有限公司,莫文蔚
111,33,演唱類個人獎,最佳單曲製作人獎,愛情你比我想的閣較偉大《愛情你比我想的閣較偉大》,鍾濰宇,艾格普蘭特艾格有限公司,茄子蛋
111,33,演唱類個人獎,最佳單曲製作人獎,跑馬燈 DEATH TRIP《跑馬燈 DEATH TRIP》,ØZI、杜振熙、Ian Jeffrey Thomas,新樂園音樂有限公司,ØZI feat. 蛋堡
111,33,演唱類個人獎,最佳單曲製作人獎,以上皆非《以上皆非》,徐佳瑩、陳君豪,亞神音樂娛樂股份有限公司,徐佳瑩
111,33,演唱類個人獎,最佳華語男歌手獎,勵志論,盧廣仲,添翼創越工作室,盧廣仲
111,33,演唱類個人獎,最佳華語男歌手獎,美夢公司,許鈞,環球國際唱片股份有限公司,許鈞
111,33,演唱類個人獎,最佳華語男歌手獎,BEANSTALK,YELLOW黃宣,否極泰來音樂股份有限公司,YELLOW黃宣
111,33,演唱類個人獎,最佳華語男歌手獎,馬念先個人創作專輯《Mama Jeans and Daddy Shoes》,馬念先,馬念先工作室,馬念先
111,33,演唱類個人獎,最佳華語男歌手獎,最後的水族館,裘德,眾水之音文化傳播有限公司,裘德
111,33,演唱類個人獎,最佳華語男歌手獎,飛狗,崔健,環球國際唱片股份有限公司,崔健
111,33,演唱類個人獎,最佳華語女歌手獎,99% Angel,Karencici,華研國際音樂股份有限公司,Karencici
111,33,演唱類個人獎,最佳華語女歌手獎,Faye詹雯婷 在雲彩上跳舞 嘰嘰喳喳,詹雯婷,亞神音樂娛樂股份有限公司,詹雯婷
111,33,演唱類個人獎,最佳華語女歌手獎,DEPART,蔡健雅,環球國際唱片股份有限公司,蔡健雅
111,33,演唱類個人獎,最佳華語女歌手獎,尋找你,以莉高露,海岸音樂製作所,以莉高露
111,33,演唱類個人獎,最佳華語女歌手獎,HAVE A NICE DAY,魏如萱,何樂音樂有限公司,魏如萱
111,33,演唱類個人獎,最佳華語女歌手獎,月亮失眠了ONCE UPON A MOON,袁婭維TIA RAY,華納國際音樂股份有限公司,袁婭維TIA RAY
111,33,演唱類個人獎,最佳台語男歌手獎,看無,王俊傑,這虎音樂工作室,王俊傑
111,33,演唱類個人獎,最佳台語男歌手獎,舞台,蕭煌奇,環球國際唱片股份有限公司,蕭煌奇
111,33,演唱類個人獎,最佳台語男歌手獎,敢敢,蘇明淵,風潮音樂國際股份有限公司,蘇明淵
111,33,演唱類個人獎,最佳台語男歌手獎,台灣隊長,大支,人人有功練音樂工作室,大支
111,33,演唱類個人獎,最佳台語男歌手獎,黃昏,張伍,任意門娛樂股份有限公司,張伍
111,33,演唱類個人獎,最佳台語女歌手獎,正確的答案,朱海君,豪聲唱片有限公司,朱海君
111,33,演唱類個人獎,最佳台語女歌手獎,愛毋是一種罪,賴慧如,時代創藝企業有限公司,賴慧如
111,33,演唱類個人獎,最佳台語女歌手獎,無閂,黃妃,華特國際音樂股份有限公司,黃妃
111,33,演唱類個人獎,最佳台語女歌手獎,空,江惠儀,九丸音樂有限公司,江惠儀
111,33,演唱類個人獎,最佳台語女歌手獎,下半場,張涵雅,好痛音樂事業有限公司,張涵雅
111,33,演唱類個人獎,最佳客語歌手獎,簡單不簡單,徐世慧,琴星企業社,徐世慧
111,33,演唱類個人獎,最佳客語歌手獎,虛空現下,黃宇寒,這哪位音樂工作室,黃宇寒
111,33,演唱類個人獎,最佳客語歌手獎,滅人山,黃連煜,貳樓音樂工作室,黃連煜
111,33,演唱類個人獎,最佳客語歌手獎,謝宇威樂團 [天空又落水],謝宇威,威德文化有限公司,謝宇威
111,33,演唱類個人獎,最佳客語歌手獎,0,龔德,火氣音樂股份有限公司,龔德
111,33,演唱類個人獎,最佳原住民語歌手獎,Ira…a micekor   靜靜地等待著,簡燕春,好有感覺音樂事業有限公司,Osay Hongay
111,33,演唱類個人獎,最佳原住民語歌手獎,pongso no Tao,陳建年,角頭文化事業股份有限公司,陳建年
111,33,演唱類個人獎,最佳原住民語歌手獎,那葡萄樹上的女孩,舞思愛,愛玩音樂有限公司,舞思愛
111,33,演唱類個人獎,最佳原住民語歌手獎,O milaladiway 詠歌者,舒米恩?魯碧,米大創意有限公司,舒米恩?魯碧
111,33,演唱類個人獎,最佳原住民語歌手獎,iya manu maitucu 我以為我不知道,Kerekelj 沈昉禎,新式有限公司,Kerekelj 沈昉禎
111,33,演唱類個人獎,最佳樂團獎,Into Innerverse,I Mean Us:梁丹郡、楊詠淳、陳思翰、呂佩蓬、章羣,愛民如子有限公司,I Mean Us
111,33,演唱類個人獎,最佳樂團獎,溯,野東西:阿良、傑克(邱鉦耀)、XO(鐘晨霖)、阿海(林廷澤)、賽克(蔣沅融),漢創文化股份有限公司,野東西
111,33,演唱類個人獎,最佳樂團獎,多色寶山大王,美秀集團:狗柏、修齊、冠佑、婷文、鍾錡,火玄火包股份有限公司,美秀集團
111,33,演唱類個人獎,最佳樂團獎,No Mercy,無妄合作社:林玉湛、郭力瑋、謝碩元,空氣腦唱片有限公司,無妄合作社
111,33,演唱類個人獎,最佳樂團獎,GOLDEN 太子 BRO,Flesh Juicer 血肉果汁機:童仲宇（GIGO）、許主携（Matt）、劉宗霖（ZERO）、陳彥文（彥文）、陳佑祥（sionC）,街聲股份有限公司,Flesh Juicer 血肉果汁機
111,33,演唱類個人獎,最佳樂團獎,Holy Trip!,TRASH:頤原、博文、魁剛、阿夜,華納國際音樂股份有限公司,TRASH
111,33,演唱類個人獎,最佳樂團獎,和你蠻像的一隻,13月終了:康雅婷、周莉婷、劉曜瑄、吳品翰、林子翔,只有我在有限公司,13月終了
111,33,演唱類個人獎,最佳演唱組合獎,八仙,三牲獻藝:柯智豪、鄭各均、黃凱宇 fish.the,創銘實業股份有限公司,三牲獻藝
111,33,演唱類個人獎,最佳演唱組合獎,新寶島康樂隊 第12張剪剪花,新寶島康樂隊:陳昇、陳世隆、黃連煜,新樂園製作有限公司,新寶島康樂隊
111,33,演唱類個人獎,最佳演唱組合獎,都是因為愛,動力火車:顏志琳、尤秋興,華研國際音樂股份有限公司,動力火車
111,33,演唱類個人獎,最佳演唱組合獎,文明,VH（Vast & Hazy）:顏靜萱、林易祺,添翼創越工作室,VH (Vast & Hazy)
111,33,演唱類個人獎,最佳演唱組合獎,TAKE A BREATH,影子計劃 Shadow Project:張奕翔、黃鈺强、許宏池,滾石國際音樂股份有限公司,影子計劃 Shadow Project
111,33,演唱類個人獎,最佳演唱組合獎,Millions of Years Apart,恐龍的皮:三角龍、暴龍,何樂音樂有限公司,恐龍的皮
111,33,演唱類個人獎,最佳新人獎,夜官巡場,裝咖人,庄尾文化聲音工作室,裝咖人
111,33,演唱類個人獎,最佳新人獎,Dive & Give,雷擎,浮氣音樂有限公司,雷擎
111,33,演唱類個人獎,最佳新人獎,告訴我他們都在本來的什麼地方,當代電影大師,三角街藝術事業有限公司,當代電影大師 Ｍodern Cinema Master
111,33,演唱類個人獎,最佳新人獎,許光漢,許光漢,何樂音樂有限公司,許光漢
111,33,演唱類個人獎,最佳新人獎,新鮮的靈魂,呂彥良,宏揚國際有限公司,呂彥良
111,33,演唱類個人獎,最佳新人獎,LOVE MAZE,Haezee,新禧未來音樂股份有限公司,黃瑋昕
111,33,演唱類個人獎,最佳新人獎,MEmento·MORI,珂拉琪,街聲股份有限公司,珂拉琪
111,33,演奏類出版獎,演奏類最佳專輯獎,萬象 The Poem For All Beings,催生音樂展演工作室,催生音樂展演工作室,笑琴 Chill Qin
111,33,演奏類出版獎,演奏類最佳專輯獎,Forty-Three,維光音樂有限公司,維光音樂有限公司,魏廣晧
111,33,演奏類出版獎,演奏類最佳專輯獎,Between Now and Never,麥丁文化事業有限公司,麥丁文化事業有限公司,無形建築
111,33,演奏類出版獎,演奏類最佳專輯獎,《修行》電影原聲帶,天空之城音樂製作有限公司,天空之城音樂製作有限公司,侯志堅
111,33,演奏類出版獎,演奏類最佳專輯獎,ON,那屋瓦文化有限公司,那屋瓦文化有限公司,Musa 明馬丁
111,33,演奏類個人獎,演奏類最佳專輯製作人獎,城市翦影  City Silhouette,蘇逸哲、利?正,東城音樂製作有限公司,蘇逸哲、利啟正、陳冠毅、李承育、于紹友
111,33,演奏類個人獎,演奏類最佳專輯製作人獎,融合世界,林修身,好有感覺音樂事業有限公司,林修身、彭國書、石哲安、康杰睿、陳逸
111,33,演奏類個人獎,演奏類最佳專輯製作人獎,萬籟的絮語,吳金黛,風潮音樂國際股份有限公司,吳金黛
111,33,演奏類個人獎,演奏類最佳專輯製作人獎,Between Now and Never,Alan Kwan、Jordan Gheen、Matt Young,麥丁文化事業有限公司,無形建築
111,33,演奏類個人獎,演奏類最佳專輯製作人獎,ON,程杰、明馬丁,那屋瓦文化有限公司,Musa 明馬丁
111,33,演奏類個人獎,演奏類最佳作曲人獎,來踢館吧! Hit the Gym!《城市翦影  City Silhouette》,蘇逸哲,東城音樂製作有限公司,蘇逸哲、利啟正、陳冠毅、李承育、于紹友、Frank Gambale
111,33,演奏類個人獎,演奏類最佳作曲人獎,安斯帕大街 Boulevard Anspach《交織的平行crossing parallel》,邱立婷,好有感覺音樂事業有限公司,邱立婷、黃子瑜、楊曉恩、劉育嘉、廖莊廷、鄭立偉
111,33,演奏類個人獎,演奏類最佳作曲人獎,Raga Shuddha Sarang 太陽の散步《Y》,大竹研,山下民謠有限公司,大竹研 & 若池敏弘
111,33,演奏類個人獎,演奏類最佳作曲人獎,Pulse《Between Now and Never》,Alan Kwan、Jordan Gheen、Matt Young,麥丁文化事業有限公司,無形建築
111,33,演奏類個人獎,演奏類最佳作曲人獎,On Starboard 星板《Hydro Canvas 海淀》,Yongheng Wu 武勇恆,街聲股份有限公司,Tian Bai白天、Lawrence Ku顧忠山、Danfeng Hu胡丹峰、Nathaniel Gao高太行、Xiaoguang Liu劉曉光、Ke Zhang張柯、Chenchu Rong榮辰初、Yongheng Wu武勇恆
111,33,技術類個人獎,最佳裝幀設計獎,滅人山,貳樓音樂工作室,貳樓音樂工作室,劉悅德
111,33,技術類個人獎,最佳裝幀設計獎,不是路,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,陳念瑩
111,33,技術類個人獎,最佳裝幀設計獎,HAVE A NICE DAY,何樂音樂有限公司,何樂音樂有限公司,楊維綸
111,33,技術類個人獎,最佳裝幀設計獎,鬼才做音樂,亞洲通文創有限公司,亞洲通文創有限公司,蘇綏雯
111,33,技術類個人獎,最佳裝幀設計獎,新港的風,蘆葦花開音樂藝術文化工作室,蘆葦花開音樂藝術文化工作室,聶永真
111,33,技術類出版獎,最佳演唱錄音專輯獎,99% Angel,華研國際音樂股份有限公司,華研國際音樂股份有限公司,主要錄音人員：kvn／主要混音人員：Daniela Rivera／主要母帶後製人員：Johnny Horesco
111,33,技術類出版獎,最佳演唱錄音專輯獎,DEPART,環球國際唱片股份有限公司,環球國際唱片股份有限公司,主要錄音人員：蔡健雅、倪涵文、吳育彰、Khoi Huynh、Marco Streccioni／主要混音人員：Leonard Fong、Ricky Ho、Joe Grasso、Richard Furch／主要母帶後製人員：John Greenham
111,33,技術類出版獎,最佳演唱錄音專輯獎,BEANSTALK,否極泰來音樂股份有限公司,否極泰來音樂股份有限公司,主要錄音人員：蔡周翰、單為明／主要混音人員：蔡周翰、單為明／主要母帶後製人員：Jeff Lipton
111,33,技術類出版獎,最佳演唱錄音專輯獎,月亮失眠了ONCE UPON A MOON,華納國際音樂股份有限公司,華納國際音樂股份有限公司,主要錄音人員：吳理文、袁婭維TIA RAY、楊惠琳／主要混音人員：周天澈、Jon Rezin／主要母帶後製人員：周天澈、Jon Rezin
111,33,技術類出版獎,最佳演唱錄音專輯獎,飛狗,環球國際唱片股份有限公司,環球國際唱片股份有限公司,主要錄音人員：王鄭、顏仲坤／主要混音人員：崔健、王鄭／主要母帶後製人員：Adam Ayan
111,33,技術類出版獎,最佳演奏錄音專輯獎,交織的平行crossing parallel,好有感覺音樂事業有限公司,好有感覺音樂事業有限公司,主要錄音人員：蘇思蓓／主要混音人員：Tommy Cavalieri／主要母帶後製人員：Tommy Cavalieri
111,33,技術類出版獎,最佳演奏錄音專輯獎,融合世界,好有感覺音樂事業有限公司,好有感覺音樂事業有限公司,主要錄音人員：潘堯泓／主要混音人員：謝宜芳／主要母帶後製人員：Sangwook Nam
111,33,技術類出版獎,最佳演奏錄音專輯獎,Y,山下民謠有限公司,山下民謠有限公司,主要錄音人員：劉奕宏／主要混音人員：Wolfgang Obrecht／主要母帶後製人員：Wolfgang Obrecht
111,33,技術類出版獎,最佳演奏錄音專輯獎,Between Now and Never,麥丁文化事業有限公司,麥丁文化事業有限公司,主要錄音人員：Alan Kwan、Jordan Gheen、Matt Young／主要混音人員：Alan Kwan、Jordan Gheen、Matt Young／主要母帶後製人員：Alan Kwan、Jordan Gheen、Matt Young
111,33,技術類出版獎,最佳演奏錄音專輯獎,Hydro Canvas 海淀,街聲股份有限公司,街聲股份有限公司,主要錄音人員：You Li 李游、Yang Li李楊／主要混音人員：You Li 李游、YongHeng Wu武勇恆／主要母帶後製人員：You Li 李游、YongHeng Wu武勇恆
111,33,特別貢獻獎,特別貢獻獎,,陳復明,,
111,33,特別貢獻獎,特別貢獻獎,,邱晨,,
