年度,屆別,獎項名稱,入圍作品,入圍單位/者,報名單位
82,4,最佳單曲歌唱錄影帶影片獎,火車,滾石有聲出版社有限公司,滾石有聲出版社有限公司
82,4,最佳單曲歌唱錄影帶影片獎,多情的無情的多情,滾石有聲出版社有限公司,滾石有聲出版社有限公司
82,4,最佳單曲歌唱錄影帶影片獎,前塵,飛碟企業股份有限公司,飛碟企業股份有限公司
82,4,最佳單曲歌唱錄影帶影片獎,虹彩妹妹,名將音樂有限公司,名將音樂有限公司
82,4,最佳單曲歌唱錄影帶影片獎,帶我去月球,飛碟企業股份有限公司,飛碟企業股份有限公司
82,4,最佳年度歌曲,火車,滾石有聲出版社有限公司,滾石有聲出版社有限公司
82,4,最佳年度歌曲,你來自何方,全美有聲出版社,全美有聲出版社
82,4,最佳年度歌曲,快樂頌,福茂唱片出版社,福茂唱片出版社
82,4,最佳年度歌曲,爸爸親像山,歌林股份有限公司,歌林股份有限公司
82,4,最佳年度歌曲,流離人生,全美有聲出版社,全美有聲出版社
82,4,最佳年度歌曲,紡見的囝仔,華倫唱片有限公司,華倫唱片有限公司
82,4,最佳年度歌曲,強強滾,醒華企業有限公司,醒華企業有限公司
82,4,最佳年度歌曲,葬心,滾石有聲出版社有限公司,滾石有聲出版社有限公司
82,4,最佳年度歌曲,蝴蝶飛呀,飛碟企業股份有限公司,飛碟企業股份有限公司
82,4,最佳年度歌曲,瀟灑走一回,飛碟企業股份有限公司,飛碟企業股份有限公司
82,4,最佳演奏專輯獎,〔古早夜曲〕,上揚有聲出版社有限公司,上揚有聲出版社有限公司
82,4,最佳演奏專輯獎,〔異鄉月夜〕,上揚有聲出版社有限公司,上揚有聲出版社有限公司
82,4,最佳演奏專輯獎,〔龍的素描(一)(二)(三)〕,歌林股份有限公司,歌林股份有限公司
82,4,最佳演唱專輯,〔凡人二重唱(2)我要用什麼方式留妳〕,歌林股份有限公司,歌林股份有限公司
82,4,最佳演唱專輯,〔你來自何方〕,全美有聲出版社,全美有聲出版社
82,4,最佳演唱專輯,〔頂尖拍擋－快樂頌〕,福茂唱片出版社,福茂唱片出版社
82,4,最佳演唱專輯,〔費玉清－情深往事，直到永遠〕,飛碟企業股份有限公司,飛碟企業股份有限公司
82,4,最佳演唱專輯,〔認錯〕,點將股份有限公司,點將股份有限公司
82,4,最佳演奏專輯製作人獎,〔絲瓜與竹筍〕,陳中申,新格文化事業股份有限公司
82,4,最佳演奏專輯製作人獎,〔龍的素描〕,陳錫樑（陳雲山）,歌林股份有限公司
82,4,最佳演唱專輯製作人獎,〔讓我歡喜讓我憂〕,周華健、劉志宏,滾石有聲出版社有限公司
82,4,最佳演唱專輯製作人獎,〔細說往事〕、〔不告而別〕、〔紅豆詞２０００〕、〔南方的夢〕,陳灝,瑞星唱片有限公司
82,4,最佳演唱專輯製作人獎,〔快樂頌〕,庾澄慶,福茂唱片出版社
82,4,最佳演唱專輯製作人獎,〔凡人二重唱專輯〕,蔡宗政,歌林股份有限公司
82,4,新人獎,,林俊逸,百得文化出版有限公司
82,4,新人獎,,蔡金虎（蔡小虎）,歌林股份有限公司
82,4,最佳錄音獎,〔分不到你的愛－黃小琥專輯〕,可登有聲出版社有限公司,可登有聲出版社有限公司
82,4,最佳錄音獎,〔古早夜曲〕,上揚有聲出版社有限公司,上揚有聲出版社有限公司
82,4,最佳錄音獎,〔阮玲玉電影原聲帶－葬心專輯〕,滾石有聲出版社有限公司、達采錄音工作室,滾石有聲出版社有限公司、達采錄音工作室
82,4,最佳錄音獎,〔讓我歡喜讓我憂專輯〕,滾石有聲出版社有限公司、達采錄音工作室,滾石有聲出版社有限公司、達采錄音工作室
82,4,最佳演唱組獎,,凡人二重唱（莫凡、袁惟仁）,歌林股份有限公司
82,4,最佳演唱組獎,,南方二重唱（閻宗玉、林明樺）,瑞星唱片有限公司
82,4,最佳演唱組獎,,粉紅派對（林嘉苹、林秋萍）,歌林股份有限公司
82,4,最佳方言歌曲作詞人獎,牽阮的手,徐錦凱,可登有聲出版社有限公司
82,4,最佳方言歌曲作詞人獎,愛情恰恰,陳維祥,吉馬唱片錄音帶有限公司
82,4,最佳方言歌曲作詞人獎,無緣的愛,陳維祥、劉志雄（劉冠良）,吉馬唱片錄音帶有限公司
82,4,最佳方言歌曲作詞人獎,華西街的一蕊花,陳樂融、蕭福德,飛碟企業股份有限公司
82,4,最佳方言歌曲作詞人獎,少年仔甭捉狂,黃添林（黃克林）,美麗華文化事業股份有限公司
82,4,最佳方言歌曲男演唱人獎,,王瑞升,歌林股份有限公司
82,4,最佳方言歌曲男演唱人獎,,王識賢,騰祥唱片有限公司
82,4,最佳方言歌曲男演唱人獎,,李茂山,新格文化事業股份有限公司
82,4,最佳方言歌曲男演唱人獎,,楊宗憲,歌林股份有限公司
82,4,最佳方言歌曲男演唱人獎,,謝茂雄（謝雷）,歌林股份有限公司
82,4,最佳方言歌曲女演唱人獎,,陳雲霞（陳小雲）,吉馬唱片錄音帶有限公司
82,4,最佳國語歌曲作詞人獎,一天天一點點,李明德,全美有聲出版社
82,4,最佳國語歌曲作詞人獎,我從南方來,林秋離,瑞星唱片有限公司
82,4,最佳國語歌曲作詞人獎,明月幾時圓,姚謙,點將股份有限公司
82,4,最佳國語歌曲作詞人獎,你來自何方,陳揚,全美有聲出版社
82,4,最佳國語歌曲作詞人獎,葬心,陳煥昌（小蟲）、姚若龍,滾石有聲出版社有限公司
82,4,最佳作曲人獎,爸爸親像山,吳嘉祥,歌林股份有限公司
82,4,最佳作曲人獎,紡見的囝仔,黃一雄,華倫唱片有限公司
82,4,最佳作曲人獎,瀟灑走一回,陳大力、陳秀男,飛碟企業股份有限公司
82,4,最佳作曲人獎,你來自何方,陳揚,全美有聲出版社
82,4,最佳作曲人獎,葬心,陳煥昌（小蟲）,滾石有聲出版社有限公司
82,4,最佳編曲人獎,粘,吳嘉祥,歌林股份有限公司
82,4,最佳編曲人獎,牽阮的手,涂惠源,可登有聲出版社有限公司
82,4,最佳編曲人獎,流離人生,張弘毅,全美有聲出版社
82,4,最佳編曲人獎,你來自何方,陳揚,全美有聲出版社
82,4,最佳編曲人獎,葬心,陳煥昌（小蟲）,滾石有聲出版社有限公司
82,4,最佳國語歌曲男演唱人獎,,王傑,飛碟企業有限公司
82,4,最佳國語歌曲男演唱人獎,,伍思凱,可登有聲出版社有限公司
82,4,最佳國語歌曲男演唱人獎,,周華健,滾石有聲出版社有限公司
82,4,最佳國語歌曲男演唱人獎,,張彥亭（費玉清）,飛碟企業股份有限公司
82,4,最佳國語歌曲男演唱人獎,,黃品源,滾石有聲出版社有限公司
82,4,最佳國語歌曲女演唱人獎,,林雪莉（于台煙）,可登有聲出版社有限公司
82,4,最佳國語歌曲女演唱人獎,,林淑容,歌林股份有限公司
82,4,最佳國語歌曲女演唱人獎,,洪美景（洪小喬）,歌林股份有限公司
82,4,最佳國語歌曲女演唱人獎,,高勝美,上格唱片企業股份有限公司
82,4,最佳國語歌曲女演唱人獎,,許景淳,全美有聲出版社
