年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位
87,9,流行音樂作品類．出版獎部分,最佳流行音樂演唱唱片獎,〔口是心非〕,豐華唱片股份有限公司,豐華唱片股份有限公司
87,9,流行音樂作品類．出版獎部分,最佳流行音樂演奏唱片獎,〔中國交響世紀－邊疆狂想樂〕,金革唱片股份有限公司,金革唱片股份有限公司
87,9,流行音樂作品類．個人獎部分,最佳作曲人獎,流浪到淡水,陳明章,魔岩唱片股份有限公司
87,9,流行音樂作品類．個人獎部分,最佳作詞人獎,花若離枝,蔡振南,豐華唱片股份有限公司
87,9,流行音樂作品類．個人獎部分,最佳唱片製作人獎,〔陶?〕,陶?,金點唱片國際股份有限公司
87,9,流行音樂作品類．個人獎部分,最佳國語男演唱人獎,〔想和你去吹吹風〕,張學友,寶麗金唱片股份有限公司
87,9,流行音樂作品類．個人獎部分,最佳方言男演唱人獎,〔可愛可恨〕,蔡振南,飛碟企業股份有限公司
87,9,流行音樂作品類．個人獎部分,最佳國語女演唱人獎,〔駱駝、飛鳥、魚〕,齊豫,滾石國際音樂股份有限公司
87,9,流行音樂作品類．個人獎部分,最佳方言女演唱人獎,〔花若離枝〕,蘇瑞芬（蘇芮）,豐華唱片股份有限公司
87,9,流行音樂作品類．個人獎部分,最佳演唱組獎,〔希望〕,亂彈（陳泰翔、楊明鋒、童志偉、戴中強),飛碟企業股份有限公司
87,9,流行音樂作品類．個人獎部分,最佳新人獎,〔陶?〕,陶?,金點唱片國際股份有限公司
87,9,非流行音樂作品類．出版獎部分,最佳古典音樂唱片獎,〔起鼓〕,響韻唱片有限公司,響韻唱片有限公司
87,9,非流行音樂作品類．出版獎部分,最佳民族樂曲唱片獎,〔美濃人美濃歌－客家山歌．八音現場紀實〕,風潮有聲出版有限公司,風潮有聲出版有限公司
,,非流行音樂作品類．出版獎部分,最佳地方戲劇唱片獎,,從缺,
,,非流行音樂作品類．出版獎部分,最佳民俗曲藝唱片獎,,從缺,
87,9,非流行音樂作品類．出版獎部分,最佳口語說講唱片獎,〔又一夜，他們說相聲〕,豐華唱片股份有限公司,豐華唱片股份有限公司
87,9,非流行音樂作品類．出版獎部分,最佳兒童樂曲（故事）唱片獎,〔山上的孩子〕,風潮有聲出版有限公司,風潮有聲出版有限公司
87,9,非流行音樂作品類．個人獎部分,最佳作曲人獎,馬蘭姑娘,錢南章,家威影音實業有限公司
87,9,非流行音樂作品類．個人獎部分,最佳作詞人獎,大地之子,高仁河,歌林天龍音樂事業股份有限公司
87,9,非流行音樂作品類．個人獎部分,最佳唱片製作人獎,〔美濃人美濃歌－客家山歌．八音現場紀實〕,吳榮順、謝宜文,風潮有聲出版有限公司
87,9,非流行音樂作品類．個人獎部分,最佳演唱人獎,〔中國民樂百科全集　神韻系列－楓橋夜泊〕,姜嘉鏘,國綸企業有限公司
87,9,非流行音樂作品類．個人獎部分,最佳演奏人獎,〔林佳靜鋼琴演奏〕,林佳靜,上揚有聲出版有限公司
87,9,特別獎,特別獎,,任將達先生,
