年度,屆別,獎項名稱,得獎作品,得獎單位/者,報名單位
81,3,最佳年度歌曲獎,向前走,滾石有聲出版社有限公司,滾石有聲出版社有限公司
81,3,最佳國語歌曲作詞人獎,別讓地球再流淚,葉薇心,財團法人台北基督教救世傳播協會天韻有聲出版社
81,3,最佳方言歌曲作詞人獎,嘸通嫌台灣,林央敏,全美有聲出版社
81,3,最佳作曲人獎,哭砂,熊美玲,飛碟企業有限公司
81,3,最佳編曲人獎,春天從愛情來,李泰祥,全美有聲出版社
81,3,最佳單曲歌唱錄影帶影片獎,粉墨登場,滾石有聲出版社有限公司,滾石有聲出版社有限公司
81,3,最佳錄音獎,〔特別的愛給特別的你、寂寞公路〕,可登有聲出社有限公司,可登有聲出社有限公司
81,3,最佳演唱專輯獎,〔姜育恆－一個人〕,飛碟企業有限公司,飛碟企業有限公司
81,3,最佳演奏專輯獎,〔看盡洛城花〕,新古典音樂有限公司,新古典音樂有限公司
81,3,最佳演唱專輯製作人獎,〔向前走〕,陳志昇、李宗盛、周世暉、羅紘武,滾石有聲出版社有限公司
81,3,最佳演奏專輯製作人獎,〔五個驚嘆號－葉樹涵銅管五重奏〕,葉樹涵,新古典音樂有限公司
81,3,最佳國語歌曲男演唱人獎,,趙傳,滾石有聲出版社有限公司
81,3,最佳方言歌曲男演唱人獎,,李茂山,新格文化事業股份有限公司
81,3,最佳國語歌曲女演唱人獎,,陳淑樺,滾石有聲出版社有限公司
81,3,最佳方言歌曲女演唱人獎,,許景淳,全美有聲出版社
81,3,最佳演唱組獎,,百合二重唱（李靜、周月綺）,華星唱片企業股份有限公司
81,3,新人獎,,丁舒恩（霍正奇）,
81,3,特別獎,,謝騰輝先生、熊美黛女士,
