年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位,演唱者/演奏者/導演
106,28,演唱類出版獎, 年度專輯獎,最佳華語專輯獎,,,
106,28,演唱類出版獎, 年度專輯獎,最佳台語專輯獎,,,
106,28,演唱類出版獎, 年度專輯獎,最佳客語專輯獎,,,
106,28,演唱類出版獎, 年度專輯獎,最佳原住民語專輯獎,,,
106,28,演唱類出版獎,年度專輯獎,圍庄 Village Besieged,山下民謠有限公司,山下民謠有限公司,生祥樂隊
106,28,演唱類出版獎,年度專輯獎,醜奴兒,石皮有限公司,石皮有限公司,草東沒有派對
106,28,演唱類出版獎,年度歌曲獎,告白氣球《周杰倫的床邊故事》,杰威爾音樂有限公司,杰威爾音樂有限公司,周杰倫
106,28,演唱類出版獎,年度歌曲獎,年輪說《年輪說》,百代唱片股份有限公司,百代唱片股份有限公司,楊丞琳
106,28,演唱類出版獎,年度歌曲獎,蹦孔《釘子花》,環球國際唱片股份有限公司,環球國際唱片股份有限公司,伍佰
106,28,演唱類出版獎,年度歌曲獎,我們的總和《說 艾怡良》,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,艾怡良
106,28,演唱類出版獎,年度歌曲獎,頑固《自傳 history of Tomorrow》,相信音樂國際股份有限公司,相信音樂國際股份有限公司,五月天
106,28,演唱類出版獎,年度歌曲獎,大風吹《醜奴兒》,石皮有限公司,石皮有限公司,草東沒有派對
106,28,演唱類出版獎,年度歌曲獎,離心力 Centrifugal Force《離心力 CENTRIFUGAL FORCE》,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,楊乃文
106,28,演唱類出版獎,年度歌曲獎,天真有邪《今日營業中》,華研國際音樂股份有限公司,華研國際音樂股份有限公司,林宥嘉
106,28,演唱類出版獎,最佳國語專輯獎,JTW 西遊記,香港商賦音樂有限公司,香港商賦音樂有限公司,方大同
106,28,演唱類出版獎,最佳國語專輯獎,飛行器的執行週期,環球國際唱片股份有限公司,環球國際唱片股份有限公司,郭頂
106,28,演唱類出版獎,最佳國語專輯獎,說 艾怡良,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,艾怡良
106,28,演唱類出版獎,最佳國語專輯獎,自傳 history of Tomorrow,相信音樂國際股份有限公司,相信音樂國際股份有限公司,五月天
106,28,演唱類出版獎,最佳國語專輯獎,末路狂花,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,魏如萱
