年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位,演唱者/演奏者/導演
101,23,演唱類出版獎,最佳年度歌曲獎,諾亞方舟《第二人生（no where-末日版）》,相信音樂國際股份有限公司,相信音樂國際股份有限公司,
101,23,演唱類出版獎,最佳國語專輯獎,第二人生（no where-末日版）,相信音樂國際股份有限公司,相信音樂國際股份有限公司,
101,23,演唱類出版獎, 最佳台語專輯獎,思念會驚,華納國際音樂股份有限公司,華納國際音樂股份有限公司,
101,23,演唱類出版獎,最佳客語專輯獎,攬花去,旭日文化事業有限公司,旭日文化事業有限公司,
101,23,演唱類出版獎,最佳原住民語專輯獎,輕快的生活,風潮音樂國際股份有限公司,風潮音樂國際股份有限公司,
101,23,演唱類出版獎,最佳音樂錄影帶獎,寂寞瘋了《於是長大了以後》,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,導演：比爾賈
101,23,演唱類個人獎,最佳作曲人獎,諾亞方舟《第二人生（no where-末日版）》,五月天瑪莎,相信音樂國際股份有限公司,
101,23,演唱類個人獎,最佳作詞人獎,阿爸的虱目魚《思念會驚》,武雄,華納國際音樂股份有限公司,
101,23,演唱類個人獎,最佳編曲人獎,諾亞方舟《第二人生（no where-末日版）》,五月天、陳建騏,相信音樂國際股份有限公司,
101,23,演唱類個人獎,最佳專輯製作人獎,第二人生（no where-末日版）,五月天,相信音樂國際股份有限公司,
101,23,演唱類個人獎,最佳單曲製作人獎,那些年《那些年，我們一起追的女孩》,薛忠銘,台灣索尼音樂娛樂股份有限公司,
101,23,演唱類個人獎,最佳國語男歌手獎,把我換成你（十年幕後創作精華 電影電視主題歌曲專輯）,乱彈阿翔,赤腳不辣有限公司,
101,23,演唱類個人獎,最佳台語男歌手獎,天荒地老,荒山亮,動脈音樂文化傳播有限公司,
101,23,演唱類個人獎,最佳國語女歌手獎,說到愛,蔡健雅,亞神音樂娛樂股份有限公司,
101,23,演唱類個人獎,最佳台語女歌手獎,月彎彎,謝金燕,乾坤影視傳播有限公司,
101,23,演唱類個人獎,最佳客語歌手獎,攬花去,羅思容,旭日文化事業有限公司,
101,23,演唱類個人獎,最佳原住民語歌手獎,輕快的生活,以莉．高露,風潮音樂國際股份有限公司,
101,23,演唱類個人獎,最佳樂團獎,第二人生（no where-末日版）,五月天（溫尚翊、蔡昇晏、陳信宏、石錦航、劉冠佑）,相信音樂國際股份有限公司,
101,23,演唱類個人獎,最佳演唱組合獎,新寶島康樂隊「八」腳開開,新寶島康樂隊（陳昇、陳世隆）,滾石國際音樂股份有限公司,
101,23,演唱類個人獎,最佳新人獎,輕快的生活,以莉．高露,風潮音樂國際股份有限公司,
101,23,演奏類出版獎,最佳專輯獎,被遺忘的時光,果核有限公司,果核有限公司,
101,23,演奏類個人獎,最佳專輯製作人獎,賽德克‧巴萊,何國杰,豐華唱片股份有限公司,
101,23,演奏類個人獎,最佳作曲人獎,誰偷走了時間《被遺忘的時光》,鍾興民,果核有限公司,
101,23,技術類個人獎,最佳專輯包裝獎,驚嘆號（限量USB版）,陳政守 Mori Chen（守工異）,杰威爾音樂有限公司,
101,23,評審團獎,評審團獎,從缺,,,
101,23,特別貢獻獎,特別貢獻獎,文夏（王瑞河）,,,
