年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位,演唱者/演奏者/導演
98,20,演唱類出版獎,最佳年度歌曲獎,稻香《魔杰座》,杰威爾音樂有限公司,杰威爾音樂有限公司,
98,20,演唱類出版獎,最佳國語專輯獎,不想放手,上華國際企業股份有限公司,上華國際企業股份有限公司,
98,20,演唱類出版獎,最佳台語專輯獎,甲你攬牢牢,阿爾發音樂股份有限公司,阿爾發音樂股份有限公司,
98,20,演唱類出版獎,最佳客語專輯獎,愛吃飯,風潮音樂國際股份有限公司,風潮音樂國際股份有限公司,
98,20,演唱類出版獎,最佳原住民語專輯獎,南王姐妹花同名專輯,角頭文化事業股份有限公司,角頭文化事業股份有限公司,
98,20,演唱類出版獎,最佳音樂錄影帶獎,魔術先生《魔杰座》,杰威爾音樂有限公司,杰威爾音樂有限公司,導演：周杰倫
98,20,演唱類個人獎,最佳作曲人獎,100種生活《100種生活》,盧廣仲,添翼創越工作室,
98,20,演唱類個人獎,最佳作詞人獎,電車內面《甲你攬牢牢》,巫宇軒,阿爾發音樂股份有限公司,
98,20,演唱類個人獎,最佳編曲人獎,As Love Begins to Mend《start from here》,Martin Tan,台灣索尼音樂娛樂股份有限公司,
98,20,演唱類個人獎,最佳專輯製作人獎,南王姐妹花同名專輯,陳建年,角頭文化事業股份有限公司,
98,20,演唱類個人獎,最佳單曲製作人獎,眼色《神秘嘉賓》,王治平、郭文宗,華研國際音樂股份有限公司,
98,20,演唱類個人獎,最佳國語男歌手獎,魔杰座,周杰倫,杰威爾音樂有限公司,
98,20,演唱類個人獎,最佳台語男歌手獎,行棋,翁立友,豪記影視唱片有限公司,
98,20,演唱類個人獎,最佳國語女歌手獎,如果有一件事是重要的,陳珊妮,大樂音樂企業社,
98,20,演唱類個人獎,最佳台語女歌手獎,講乎自己聽,黃乙玲,娛樂線股份有限公司,
98,20,演唱類個人獎,最佳客語歌手獎,唬客船長,劉劭希,傳響多媒體工作室,
98,20,演唱類個人獎,最佳原住民語歌手獎,Gaga,雲力思,大大樹音樂圖像,
98,20,演唱類個人獎,最佳樂團獎,後青春期的詩,五月天(阿信、怪獸、瑪莎、冠佑、石頭),相信音樂國際股份有限公司,
98,20,演唱類個人獎,最佳演唱組合獎,南王姐妹花同名專輯,南王姐妹花(陳惠琴、李諭芹、徐美花),角頭文化事業股份有限公司,
98,20,演唱類個人獎,最佳新人獎,100種生活,盧廣仲,添翼創越工作室,
98,20,演奏類出版獎,最佳專輯獎,倒影 吳書齊爵士樂團,華納國際音樂股份有限公司,華納國際音樂股份有限公司,
98,20,演奏類個人獎,最佳專輯製作人獎,倒影 吳書齊爵士樂團,吳書齊,華納國際音樂股份有限公司,
98,20,演奏類個人獎,最佳作曲人獎,森林的呼喚《尋找精靈-紀華麟》,紀華麟,異視界數位媒體股份有限公司,
98,20,評審團獎,評審團獎,敬! 李雙澤 唱自己的歌,參拾柒度製作有限公司,,
98,20,特別貢獻獎,特別貢獻獎,,段鍾潭先生,,
