年度,屆別,獎項名稱,入圍作品,入圍單位/者,報名單位
81,3,最佳錄音獎,〔五個驚嘆號－葉樹涵銅管五重奏〕,新古典音樂有限公司,新古典音樂有限公司
81,3,最佳錄音獎,〔永遠的情人〕,派森企業有限公司,派森企業有限公司
81,3,最佳錄音獎,〔林慧萍專輯－說時依舊〕,歌林股份有限公司,歌林股份有限公司
81,3,最佳錄音獎,〔盆地邊緣〕,點將股份有限公司,點將股份有限公司
81,3,最佳錄音獎,〔特別的愛給特別的你、寂寞公路〕,可登有聲出社有限公司,可登有聲出社有限公司
81,3,最佳演唱專輯獎,〔王傑－為了愛夢一生〕,飛碟企業有限公司,飛碟企業有限公司
81,3,最佳演唱專輯獎,〔生、老、病、死〕,新笛唱片有限公司,新笛唱片有限公司
81,3,最佳演唱專輯獎,〔永遠的情人〕,派森企業有限公司,派森企業有限公司
81,3,最佳演唱專輯獎,〔姜育恆－一個人〕,飛碟企業有限公司,飛碟企業有限公司
81,3,最佳演唱專輯獎,〔葉啟田專輯－故鄉〕,吉馬唱片錄音帶有限公司,吉馬唱片錄音帶有限公司
81,3,最佳演奏專輯獎,〔火燒島電影原聲帶〕,飛碟企業有限公司,飛碟企業有限公司
81,3,最佳演奏專輯獎,〔看盡洛城花〕,新古典音樂有限公司,新古典音樂有限公司
81,3,最佳演奏專輯獎,〔滾滾紅塵〕,華星唱片企業股份有限公司,華星唱片企業股份有限公司
81,3,最佳演奏專輯獎,〔尋找台灣生命力〕,點將股份有限公司,點將股份有限公司
81,3,最佳演奏專輯獎,〔解瑄的豎琴－聽一次就與天和地近些〕,新古典音樂有限公司,新古典音樂有限公司
81,3,最佳演唱組獎,,天韻合唱團,財團法人台北基督教救世傳播協會天韻有聲出版社
81,3,最佳演唱組獎,,百合重唱（李靜、周月綺）,華星唱片企業股份有限公司
81,3,最佳演唱組獎,,東方快車合唱團（姚可傑、郭名虎、盛子貞、楊振華）,飛碟企業有限公司
81,3,新人獎,,林立洋,飛碟企業有限公司
81,3,新人獎,,周淑慧（周子寒）,藍與白唱片有限公司
81,3,新人獎,,許振隆（辛隆）,歌林股份有限公司
81,3,新人獎,,黃怡,可登有聲出版有限公司
81,3,新人獎,,丁舒恩（霍正奇）,飛鷹製作有限公司
81,3,最佳演唱專輯製作人獎,〔特別的愛給特別的你〕,伍思凱,可登有聲出版社有限公司
81,3,最佳演唱專輯製作人獎,〔永遠的情人〕,梁弘志,派森企業有限公司
81,3,最佳演唱專輯製作人獎,〔向前走〕,陳志昇、李宗盛、周世暉、羅紘武,滾石有聲出版社有限公司
81,3,最佳演唱專輯製作人獎,〔盆地邊緣專輯〕,陳揚,點將股份有限公司
81,3,最佳演唱專輯製作人獎,〔生、老、病、死〕,薛岳,新笛唱片有限公司
81,3,最佳演奏專輯製作人獎,〔尋找台灣生命力專輯〕,陳揚,點將股份有限公司
81,3,最佳演奏專輯製作人獎,〔看盡洛城花〕,城振銘,新古典音樂有限公司
81,3,最佳演奏專輯製作人獎,〔火燒島電影原聲帶〕,游正彥,飛碟企業有限公司
81,3,最佳演奏專輯製作人獎,〔解瑄的豎琴－聽一次就與天和地近些〕,溫隆俊,新古典音樂有限公司
81,3,最佳演奏專輯製作人獎,〔五個驚嘆號－葉樹涵銅管五重奏〕,葉樹涵,新古典音樂有限公司
81,3,最佳方言歌曲男演唱人獎,,王識賢,騰祥唱片有限公司
81,3,最佳方言歌曲男演唱人獎,,李茂山,新格文化事業股份有限公司
81,3,最佳方言歌曲男演唱人獎,,鄧進田（鄧百成）,漢興傳播有限公司
81,3,最佳方言歌曲女演唱人獎,,方瑞娥,歌林股份有限公司
81,3,最佳方言歌曲女演唱人獎,,王碧霞（王瑞霞）,名冠唱片錄音帶出版社
81,3,最佳方言歌曲女演唱人獎,,許景淳,全美有聲出版社
81,3,最佳方言歌曲女演唱人獎,,蔡琴,飛碟企業有限公司
81,3,最佳國語歌曲男演唱人獎,,李宗盛,滾石有聲出版社有限公司
81,3,最佳國語歌曲男演唱人獎,,周華健,滾石有聲出版社有限公司
81,3,最佳國語歌曲男演唱人獎,,吳宗憲,歌林股份有限公司
81,3,最佳國語歌曲男演唱人獎,,童安格,寶麗金唱片股份有限公司
81,3,最佳國語歌曲男演唱人獎,,趙傳,滾石有聲出版社有限公司
81,3,最佳國語歌曲女演唱人獎,,吳貞慧（江念庭）,藍與白唱片有限公司
81,3,最佳國語歌曲女演唱人獎,,金素梅,寶麗金唱片股份有限公司
81,3,最佳國語歌曲女演唱人獎,,高勝美,上格唱片股份有限公司
81,3,最佳國語歌曲女演唱人獎,,陳淑樺,滾石有聲出版社有限公司
81,3,最佳國語歌曲女演唱人獎,,蔡幸娟,飛碟企業有限公司
81,3,最佳年度歌曲獎,一枝擔竿,漢興傳播有限公司,漢興傳播有限公司
81,3,最佳年度歌曲獎,凡人歌,滾石有聲出版社有限公司,滾石有聲出版社有限公司
81,3,最佳年度歌曲獎,心肝寶貝,真善美聲視有限公司,真善美聲視有限公司
81,3,最佳年度歌曲獎,向前走,滾石有聲出版社有限公司,滾石有聲出版社有限公司
81,3,最佳年度歌曲獎,我是一隻小小鳥,滾石有聲出版社有限公司,滾石有聲出版社有限公司
81,3,最佳年度歌曲獎,故鄉,吉馬唱片錄音帶有限公司,吉馬唱片錄音帶有限公司
81,3,最佳年度歌曲獎,哭砂,飛碟企業有限公司,飛碟企業有限公司
81,3,最佳年度歌曲獎,特別的愛給特別的你,可登有聲出版社有限公司,可登有聲出版社有限公司
81,3,最佳年度歌曲獎,粉墨登場,滾石有聲出版社有限公司,滾石有聲出版社有限公司
81,3,最佳年度歌曲獎,嘸通嫌台灣,全美有聲出版社,全美有聲出版社
