年度,屆別,獎項名稱,入圍作品,入圍單位/者,報名單位
81,3,最佳國語歌曲作詞人獎,我是一隻小小鳥,李宗盛,滾石有聲出版社有限公司
81,3,最佳國語歌曲作詞人獎,舊傷新情,姚謙,點將股份有限公司
81,3,最佳國語歌曲作詞人獎,未來的街頭,黃舒駿,歌林股份有限公司
81,3,最佳國語歌曲作詞人獎,別讓地球再流淚,葉薇心,財團法人台北基督教救世傳播協會天韻有聲出版社
81,3,最佳方言歌曲作詞人獎,心肝寶貝,李坤城、羅大佑,真善美聲視有限公司
81,3,最佳方言歌曲作詞人獎,嘸通嫌台灣,林央敏,全美有聲出版社
81,3,最佳方言歌曲作詞人獎,向前走,林志峰（林強）,滾石有聲出版社有限公司
81,3,最佳方言歌曲作詞人獎,黑輪仔伯,陳志昇,滾石有聲出版社有限公司
81,3,最佳方言歌曲作詞人獎,故鄉,鄭俊義（鄭進一）、陳維祥,吉馬唱片錄音帶有限公司
81,3,最佳作曲人獎,我是一隻小小鳥,李宗盛,滾石有聲出版社有限公司
81,3,最佳作曲人獎,春天從愛情來,李泰祥,全美有聲出版社
81,3,最佳作曲人獎,哭砂,熊美玲,飛碟企業有限公司
81,3,最佳作曲人獎,心肝寶貝,羅大佑,真善美聲視有限公司
81,3,最佳編曲人獎,春天從愛情來,李泰祥,全美有聲出版社
81,3,最佳編曲人獎,故鄉,紀明陽,吉馬唱片錄音帶有限公司
81,3,最佳編曲人獎,夜色,涂惠源,寶麗金唱片股份有限公司
81,3,最佳編曲人獎,愛上一個不回家的人,陳志遠,飛碟企業有限公司
81,3,最佳編曲人獎,八Ｏ年代美麗的哀愁,張弘毅,點將股份有限公司
81,3,最佳單曲歌唱錄影帶影片獎,向前走,滾石有聲出版社有限公司,滾石有聲出版社有限公司
81,3,最佳單曲歌唱錄影帶影片獎,雨的臉－我的臉,飛鷹製作有限公司,飛鷹製作有限公司
81,3,最佳單曲歌唱錄影帶影片獎,勇敢去愛,飛碟企業有限公司,飛碟企業有限公司
81,3,最佳單曲歌唱錄影帶影片獎,美麗的花蝴蝶,滾石有聲出版社有限公司,滾石有聲出版社有限公司
81,3,最佳單曲歌唱錄影帶影片獎,粉墨登場,滾石有聲出版社有限公司,滾石有聲出版社有限公司
