年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位,演唱者/演奏者/導演
112,34,演唱類出版獎,年度專輯獎,最佳華語專輯獎,,,
112,34,演唱類出版獎,年度專輯獎,最佳台語專輯獎,,,
112,34,演唱類出版獎,年度專輯獎,最佳客語專輯獎,,,
112,34,演唱類出版獎,年度專輯獎,最佳原住民語專輯獎,,,
112,34,演唱類出版獎,年度歌曲獎,準明星《給》,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,演唱者：徐佳瑩
112,34,演唱類出版獎,年度歌曲獎,明室《明室》,何樂音樂有限公司,何樂音樂有限公司,演唱者：洪佩瑜
112,34,演唱類出版獎,年度歌曲獎,最偉大的作品《最偉大的作品》,杰威爾音樂有限公司,杰威爾音樂有限公司,演唱者：周杰倫
112,34,演唱類出版獎,年度歌曲獎,新世紀的女兒 feat. Chunho《水逆》,火氣音樂股份有限公司,火氣音樂股份有限公司,演唱者：鄭宜農
112,34,演唱類出版獎,年度歌曲獎,最好的時光《9522》,聯成娛樂事業有限公司,聯成娛樂事業有限公司,演唱者：安溥
112,34,演唱類出版獎,年度歌曲獎,Semane sepi夢《我這裡有一批很純的你要不要 Ita》,野聲音娛樂有限公司,野聲音娛樂有限公司,演唱者：葛西瓦
112,34,演唱類出版獎,最佳華語專輯獎,給,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,演唱者：徐佳瑩
112,34,演唱類出版獎,最佳華語專輯獎,明室,何樂音樂有限公司,何樂音樂有限公司,演唱者：洪佩瑜
112,34,演唱類出版獎,最佳華語專輯獎,Snow White,愛貝克思股份有限公司,愛貝克思股份有限公司,演唱者：JADE
112,34,演唱類出版獎,最佳華語專輯獎,PRO,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,演唱者：熊仔
112,34,演唱類出版獎,最佳華語專輯獎,馬拉美的星期二,環球國際唱片股份有限公司,環球國際唱片股份有限公司,演唱者：吳青峰
112,34,演唱類出版獎,最佳華語專輯獎,娛樂自己,相信音樂國際股份有限公司,相信音樂國際股份有限公司,演唱者：HUSH
112,34,演唱類出版獎,最佳台語專輯獎,水逆,火氣音樂股份有限公司,火氣音樂股份有限公司,演唱者：鄭宜農
112,34,演唱類出版獎,最佳台語專輯獎,邊緣轉生術 Holy Gazai,創銘實業股份有限公司,創銘實業股份有限公司,演唱者：A_Root同根生
112,34,演唱類出版獎,最佳台語專輯獎,格,顏社企業有限公司,顏社企業有限公司,演唱者：DJ MR.GIN
112,34,演唱類出版獎,最佳台語專輯獎,萬壽菊,夕陽音樂產業有限公司,夕陽音樂產業有限公司,演唱者：黃浩庭 HAOTING
112,34,演唱類出版獎,最佳台語專輯獎,憐朱安,比佛利影音多媒體有限公司,比佛利影音多媒體有限公司,演唱者：蔡秋鳳
112,34,演唱類出版獎,最佳台語專輯獎,禁,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,演唱者：曹雅雯
112,34,演唱類出版獎,最佳客語專輯獎,等路 Waiting a present for,好有感覺音樂事業有限公司,好有感覺音樂事業有限公司,演唱者：邱舒
112,34,演唱類出版獎,最佳客語專輯獎,簷風謠,山狗大樂團,山狗大樂團,演唱者：林鈺婷
112,34,演唱類出版獎,最佳客語專輯獎,我在客廳做的夢,大賞門文化傳播有限公司,大賞門文化傳播有限公司,演唱者：彭佳慧
112,34,演唱類出版獎,最佳客語專輯獎,蝓螺,老頭音樂,老頭音樂,演唱者：米莎
112,34,演唱類出版獎,最佳客語專輯獎,客氣,安樂茂思國際事業有限公司,安樂茂思國際事業有限公司,演唱者：彭柏邑
112,34,演唱類出版獎,最佳原住民語專輯獎,Muskun Kata 一起我們,燚碼音樂工作室,燚碼音樂工作室,演唱者：王宏恩
112,34,演唱類出版獎,最佳原住民語專輯獎,分水嶺Padiyudr,那屋瓦文化有限公司,那屋瓦文化有限公司,演唱者：Kivi
112,34,演唱類出版獎,最佳原住民語專輯獎,cinevuan 7鄰86號,十一音像有限公司,十一音像有限公司,演唱者：Matzka
112,34,演唱類出版獎,最佳原住民語專輯獎,我這裡有一批很純的你要不要 Ita,野聲音娛樂有限公司,野聲音娛樂有限公司,演唱者：葛西瓦
112,34,演唱類出版獎,最佳原住民語專輯獎,ABUS,華納國際音樂股份有限公司,華納國際音樂股份有限公司,演唱者：阿布絲
112,34,演唱類出版獎,最佳MV獎,Beanstalk《BEANSTALK》,否極泰來音樂股份有限公司,否極泰來音樂股份有限公司,導演：章郡
112,34,演唱類出版獎,最佳MV獎,I Will Find You《今天陽光就是特別耀眼特別和諧》,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,導演：陳霈芙
112,34,演唱類出版獎,最佳MV獎,給《給》,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,導演：比爾賈
112,34,演唱類出版獎,最佳MV獎,差-點《Snow White》,愛貝克思股份有限公司,愛貝克思股份有限公司,導演：邱柏昶
112,34,演唱類出版獎,最佳MV獎,（……海妖沙龍）（feat. 蜷川紅 of 和樂器樂團）《馬拉美的星期二》,環球國際唱片股份有限公司,環球國際唱片股份有限公司,導演：Show Yanagisawa
112,34,演唱類出版獎,最佳MV獎,Little Balcony《Little Balcony》,夕陽音樂產業有限公司,夕陽音樂產業有限公司,導演：Pennacky
112,34,演唱類個人獎,最佳作曲人獎,游牧《游牧》,黃玠瑋,環球國際唱片股份有限公司,演唱者：黃玠瑋
112,34,演唱類個人獎,最佳作曲人獎,不在一起就不會分開《明室》,徐佳瑩,何樂音樂有限公司,演唱者：洪佩瑜
112,34,演唱類個人獎,最佳作曲人獎,我怨《LINK》,艾怡良,台灣索尼音樂娛樂股份有限公司,演唱者：A-Lin
112,34,演唱類個人獎,最佳作曲人獎,新世紀的女兒 feat. Chunho《水逆》,鄭宜農、何俊葦,火氣音樂股份有限公司,演唱者：鄭宜農
112,34,演唱類個人獎,最佳作曲人獎,鬧劇《被動的觀眾》,戴佩妮,薩摩亞商妮樂佛創意有限公司台灣分公司,演唱者：戴佩妮
112,34,演唱類個人獎,最佳作曲人獎,（……戀人絮語）（feat. 林嘉欣）《馬拉美的星期二》,吳青峰,環球國際唱片股份有限公司,演唱者：吳青峰、林嘉欣
112,34,演唱類個人獎,最佳作詞人獎,揹上悲傷北上 (Heading North)《愛是我們必經的辛苦》,盧羿安,何樂音樂有限公司,演唱者：Crispy脆樂團
112,34,演唱類個人獎,最佳作詞人獎,不在一起就不會分開《明室》,葛大為,何樂音樂有限公司,演唱者：洪佩瑜
112,34,演唱類個人獎,最佳作詞人獎,NFT《姚中二》,MC HotDog熱狗,滾石國際音樂股份有限公司,演唱者：MC HotDog熱狗
112,34,演唱類個人獎,最佳作詞人獎,人如何學會語言 feat. Chunho《水逆》,鄭宜農,火氣音樂股份有限公司,演唱者：鄭宜農
112,34,演唱類個人獎,最佳作詞人獎,某種老朋友《MEMENTO》,林夕,香港商華納音樂出版有限公司台灣分公司,演唱者：林家謙
112,34,演唱類個人獎,最佳作詞人獎,人啊人《人啊人》,周耀輝,環球國際唱片股份有限公司,演唱者：陳奕迅
112,34,演唱類個人獎,最佳編曲人獎,歌韭菜《Snow White》,嘟嘟,愛貝克思股份有限公司,演唱者：JADE
112,34,演唱類個人獎,最佳編曲人獎,女巫 Witches《夢境 Dreams》,大象體操（張凱婷、涂嘉欽、張凱翔）,合作藝文有限公司,演唱者：大象體操
