年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位,演唱者/演奏者/導演/錄音團隊
111,33,演唱類出版獎,年度專輯獎,DEPART,環球國際唱片股份有限公司,環球國際唱片股份有限公司,蔡健雅
111,33,演唱類出版獎,年度歌曲獎,愛情你比我想的閣較偉大《愛情你比我想的閣較偉大》,艾格普蘭特艾格有限公司,艾格普蘭特艾格有限公司,茄子蛋
111,33,演唱類出版獎,最佳華語專輯獎,DEPART,環球國際唱片股份有限公司,環球國際唱片股份有限公司,蔡健雅
111,33,演唱類出版獎,最佳台語專輯獎,不是路,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,百合花
111,33,演唱類出版獎,最佳客語專輯獎,滅人山,貳樓音樂工作室,貳樓音樂工作室,黃連煜
111,33,演唱類出版獎,最佳原住民語專輯獎,pongso no Tao,角頭文化事業股份有限公司,角頭文化事業股份有限公司,陳建年
111,33,演唱類出版獎,最佳MV獎,甘吧爹ㄋㄟ《甘吧爹ㄋㄟ》,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,蔡宜豫
111,33,演唱類個人獎,最佳作曲人獎,衣櫃歌手《衣櫃歌手》,HUSH,相信音樂國際股份有限公司,HUSH
111,33,演唱類個人獎,最佳作詞人獎,88BARS《88BARS》,熊信寬,台灣索尼音樂娛樂股份有限公司,熊仔
111,33,演唱類個人獎,最佳編曲人獎,fu’is 星星歌《《N1》那屋瓦一號作品》,黃少雍,那屋瓦文化有限公司,夏子
111,33,演唱類個人獎,最佳專輯製作人獎,愛情一陣風,李權哲,顏社企業有限公司,李權哲
111,33,演唱類個人獎,最佳單曲製作人獎,以上皆非《以上皆非》,徐佳瑩、陳君豪,亞神音樂娛樂股份有限公司,徐佳瑩
111,33,演唱類個人獎,最佳華語男歌手獎,飛狗,崔健,環球國際唱片股份有限公司,崔健
111,33,演唱類個人獎,最佳華語女歌手獎,DEPART,蔡健雅,環球國際唱片股份有限公司,蔡健雅
111,33,演唱類個人獎,最佳台語男歌手獎,看無,王俊傑,這虎音樂工作室,王俊傑
111,33,演唱類個人獎,最佳台語女歌手獎,空,江惠儀,九丸音樂有限公司,江惠儀
111,33,演唱類個人獎,最佳客語歌手獎,滅人山,黃連煜,貳樓音樂工作室,黃連煜
111,33,演唱類個人獎,最佳原住民語歌手獎,Ira…a micekor   靜靜地等待著,簡燕春,好有感覺音樂事業有限公司,Osay Hongay
111,33,演唱類個人獎,最佳樂團獎,GOLDEN 太子 BRO,Flesh Juicer 血肉果汁機:童仲宇（GIGO）、許主携（Matt）、劉宗霖（ZERO）、陳彥文（彥文）、陳佑祥（sionC）,街聲股份有限公司,Flesh Juicer 血肉果汁機
111,33,演唱類個人獎,最佳演唱組合獎,新寶島康樂隊 第12張剪剪花,新寶島康樂隊:陳昇、陳世隆、黃連煜,新樂園製作有限公司,新寶島康樂隊
111,33,演唱類個人獎,最佳新人獎,MEmento·MORI,珂拉琪,街聲股份有限公司,珂拉琪
111,33,演奏類出版獎,演奏類最佳專輯獎,《修行》電影原聲帶,天空之城音樂製作有限公司,天空之城音樂製作有限公司,侯志堅
111,33,演奏類個人獎,演奏類最佳專輯製作人獎,Between Now and Never,Alan Kwan、Jordan Gheen、Matt Young,麥丁文化事業有限公司,無形建築
111,33,演奏類個人獎,演奏類最佳作曲人獎,On Starboard 星板《Hydro Canvas 海淀》,Yongheng Wu 武勇恆,街聲股份有限公司,Tian Bai白天、Lawrence Ku顧忠山、Danfeng Hu胡丹峰、Nathaniel Gao高太行、Xiaoguang Liu劉曉光、Ke Zhang張柯、Chenchu Rong榮辰初、Yongheng Wu武勇恆
111,33,技術類個人獎,最佳裝幀設計獎,不是路,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,陳念瑩
111,33,技術類出版獎,最佳演唱錄音專輯獎,DEPART,環球國際唱片股份有限公司,環球國際唱片股份有限公司,主要錄音人員：蔡健雅、倪涵文、吳育彰、Khoi Huynh、Marco Streccioni／主要混音人員：Leonard Fong、Ricky Ho、Joe Grasso、Richard Furch／主要母帶後製人員：John Greenham
111,33,技術類出版獎,最佳演奏錄音專輯獎,Hydro Canvas 海淀,街聲股份有限公司,街聲股份有限公司,主要錄音人員：You Li 李游、Yang Li李楊／主要混音人員：You Li 李游、YongHeng Wu武勇恆／主要母帶後製人員：You Li 李游、YongHeng Wu武勇恆
111,33,評審團獎,評審團獎,滅人山,黃連煜,,
111,33,特別貢獻獎,特別貢獻獎,,陳復明,,
111,33,特別貢獻獎,特別貢獻獎,,邱晨,,
