年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位
90,12,流行音樂作品類． 出版獎,最佳流行音樂演唱專輯獎,〔心酸的浪漫〕,科藝百代股份有限公司,科藝百代股份有限公司
90,12,流行音樂作品類． 出版獎,最佳流行音樂演唱專輯獎,〔寓言〕,科藝百代股份有限公司,科藝百代股份有限公司
90,12,流行音樂作品類． 出版獎,最佳流行音樂演唱專輯獎,〔十二樓的莫文蔚〕,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司
90,12,流行音樂作品類． 出版獎,最佳流行音樂演唱專輯獎,〔我要的幸福〕,華納國際音樂股份有限公司,華納國際音樂股份有限公司
90,12,流行音樂作品類． 出版獎,最佳流行音樂演唱專輯獎,〔杰倫〕,博德曼股份有限公司,博德曼股份有限公司
90,12,流行音樂作品類． 出版獎,最佳流行音樂演奏專輯獎,〔墾丁－台灣國家公園音樂(一)〕,亞洲唱片有限公司,亞洲唱片有限公司
90,12,流行音樂作品類． 出版獎,最佳流行音樂演奏專輯獎,〔林海 貓〕,風潮有聲出版有限公司,風潮有聲出版有限公司
90,12,流行音樂作品類． 出版獎,最佳流行音樂演奏專輯獎,〔Jazz walk 2〕,福茂唱片音樂股份有限公司,福茂唱片音樂股份有限公司
90,12,流行音樂作品類． 出版獎,最佳流行音樂演奏專輯獎,〔聖石傳說電影原聲帶〕,魔岩唱片股份有限公司,魔岩唱片股份有限公司
90,12,流行音樂作品類． 出版獎,最佳音樂錄影帶獎,難得好天氣,上華國際企業股份有限公司,上華國際企業股份有限公司
90,12,流行音樂作品類． 出版獎,最佳音樂錄影帶獎,彩色西門町,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司
90,12,流行音樂作品類． 出版獎,最佳音樂錄影帶獎,勇氣,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司
90,12,流行音樂作品類． 出版獎,最佳音樂錄影帶獎,跆拳道,魔岩唱片股份有限公司,魔岩唱片股份有限公司
90,12,流行音樂作品類． 出版獎,最佳音樂錄影帶獎,還是會寂寞,魔岩唱片股份有限公司,魔岩唱片股份有限公司
90,12,流行音樂作品類． 個人獎,最佳作曲人獎,心酸的浪漫〔心酸的浪漫〕,張宇,科藝百代股份有限公司
90,12,流行音樂作品類． 個人獎,最佳作曲人獎,還是會寂寞〔還是會寂寞〕,陳綺貞,魔岩唱片股份有限公司
90,12,流行音樂作品類． 個人獎,最佳作曲人獎,天黑黑〔孫燕姿同名專輯〕,李偲菘,華納國際音樂股份有限公司
90,12,流行音樂作品類． 個人獎,最佳作曲人獎,十二樓〔十二樓的莫文蔚〕,李宗盛,滾石國際音樂股份有限公司
90,12,流行音樂作品類． 個人獎,最佳作曲人獎,可愛女人〔杰倫〕,周杰倫,博德曼股份有限公司
90,12,流行音樂作品類． 個人獎,最佳作詞人獎,老曲盤〔遇見〕,黃建昌,勇士物流股份有限公司（常喜音樂股份有限公司製作）
90,12,流行音樂作品類． 個人獎,最佳作詞人獎,心酸的浪漫〔心酸的浪漫〕,那英,科藝百代股份有限公司
90,12,流行音樂作品類． 個人獎,最佳作詞人獎,笑忘書〔寓言〕,林夕,科藝百代股份有限公司
90,12,流行音樂作品類． 個人獎,最佳作詞人獎,十二樓〔十二樓的莫文蔚〕,李宗盛,滾石國際音樂股份有限公司
90,12,流行音樂作品類． 個人獎,最佳作詞人獎,娘子〔杰倫〕,方文山,博德曼股份有限公司
90,12,流行音樂作品類． 個人獎,最佳編曲人獎,心酸的浪漫〔心酸的浪漫〕,吳慶隆,科藝百代股份有限公司
90,12,流行音樂作品類． 個人獎,最佳編曲人獎,香奈兒〔寓言〕,張亞東,科藝百代股份有限公司
90,12,流行音樂作品類． 個人獎,最佳編曲人獎,零缺點〔我要的幸福〕,黃中岳,華納國際音樂股份有限公司
90,12,流行音樂作品類． 個人獎,最佳編曲人獎,我要的幸福〔我要的幸福〕,Martin Tang,華納國際音樂股份有限公司
90,12,流行音樂作品類． 個人獎,最佳編曲人獎,十二樓〔十二樓的莫文蔚〕,Mac Chew,滾石國際音樂股份有限公司
90,12,流行音樂作品類． 個人獎,最佳專輯製作人獎,〔我是人〕,阿弟仔,勇士物流股份有限公司（常喜音樂股份有限公司製作）
90,12,流行音樂作品類． 個人獎,最佳專輯製作人獎,〔心酸的浪漫〕,李偲菘、李偉菘,科藝百代股份有限公司
90,12,流行音樂作品類． 個人獎,最佳專輯製作人獎,〔寓言〕,張亞東、王菲、Alvin Leong,科藝百代股份有限公司
90,12,流行音樂作品類． 個人獎,最佳專輯製作人獎,〔十二樓的莫文蔚〕,李宗盛,滾石國際音樂股份有限公司
90,12,流行音樂作品類． 個人獎,最佳專輯製作人獎,〔杰倫〕,周杰倫,博德曼股份有限公司
90,12,流行音樂作品類． 個人獎,最佳國語男演唱人獎,〔我是人〕,阿弟仔,勇士物流股份有限公司（常喜音樂股份有限公司製作）
90,12,流行音樂作品類． 個人獎,最佳國語男演唱人獎,〔蘇情時間〕,蘇永康,福茂唱片音樂股份有限公司
90,12,流行音樂作品類． 個人獎,最佳國語男演唱人獎,〔Yuan Wei Jen同名專輯〕,袁惟仁,宇宙國際音樂股份有限公司
90,12,流行音樂作品類． 個人獎,最佳國語男演唱人獎,〔永遠的第一天〕,王力宏,新力哥倫比亞音樂股份有限公司
90,12,流行音樂作品類． 個人獎,最佳國語男演唱人獎,〔哈萊塢〕,庾澄慶,新力哥倫比亞音樂股份有限公司
90,12,流行音樂作品類． 個人獎,最佳方言男演唱人獎,〔感心感謝〕,羅時豐,勇士物流股份有限公司（緯東有限公司製作）
90,12,流行音樂作品類． 個人獎,最佳方言男演唱人獎,〔獵人〕,王宏恩,風潮有聲出版有限公司
90,12,流行音樂作品類． 個人獎,最佳方言男演唱人獎,〔賭情搏愛〕,蔡小虎,豪記影視唱片有限公司
90,12,流行音樂作品類． 個人獎,最佳方言男演唱人獎,〔7258請愛我吧〕,施文彬,博德曼股份有限公司
90,12,流行音樂作品類． 個人獎,最佳國語女演唱人獎,〔心酸的浪漫〕,那英,科藝百代股份有限公司
90,12,流行音樂作品類． 個人獎,最佳國語女演唱人獎,〔寓言〕,王菲,科藝百代股份有限公司
90,12,流行音樂作品類． 個人獎,最佳國語女演唱人獎,〔十二樓的莫文蔚〕,莫文蔚,滾石國際音樂股份有限公司
90,12,流行音樂作品類． 個人獎,最佳國語女演唱人獎,〔不顧一切〕,張惠妹,豐華唱片股份有限公司
90,12,流行音樂作品類． 個人獎,最佳國語女演唱人獎,〔我要的幸福〕,孫燕姿,華納國際音樂股份有限公司
90,12,流行音樂作品類． 個人獎,最佳方言女演唱人獎,〔台灣紅歌〕,江蕙,大信唱片股份有限公司
90,12,流行音樂作品類． 個人獎,最佳方言女演唱人獎,〔我愛過〕,江蕙,大信唱片股份有限公司
90,12,流行音樂作品類． 個人獎,最佳方言女演唱人獎,〔愛情歌〕,秀蘭瑪雅,大旗製作股份有限公司
90,12,流行音樂作品類． 個人獎,最佳方言女演唱人獎,〔台灣歌姬之非常女〕,黃妃,魔岩唱片股份有限公司
90,12,流行音樂作品類． 個人獎,最佳方言女演唱人獎,〔山盟海誓精選重唱+新歌〕,黃乙玲,宇宙國際音樂股份有限公司
90,12,流行音樂作品類． 個人獎,最佳樂團獎,〔愛情萬歲〕,五月天(陳信宏、蔡昇晏、溫尚翊、石航瑋、劉諺明),滾石國際音樂股份有限公司
90,12,流行音樂作品類． 個人獎,最佳樂團獎,〔愛情霹靂火〕,新寶島康樂隊(陳昇、黃連煜、阿von) ,滾石國際音樂股份有限公司
