年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位
98,20,出版獎,最佳民族音樂專輯獎,古苑尋聲－王世榮的琵琶新視界,普音文化事業股份有限公司,普音文化事業股份有限公司
98,20,出版獎,最佳戲曲曲藝專輯獎,李靜芳個人唱唸專輯,李靜芳戲曲工作室,李靜芳戲曲工作室
98,20,出版獎,最佳傳統歌樂專輯獎,王鳳珠的山歌戲,吉聲影視音有限公司,吉聲影視音有限公司
98,20,出版獎,最佳古典音樂專輯獎,聲動,十方樂集,十方樂集
98,20,出版獎,最佳兒童音樂專輯獎,永遠的兒歌－小球聽國樂 外婆橋,和英出版社,和英出版社
98,20,出版獎,最佳宗教音樂專輯獎,慈悲三昧水懺,如是我聞文化股份有限公司,如是我聞文化股份有限公司
98,20,出版獎,最佳跨界音樂專輯獎,王明華爵士二胡登峰造極,豆菜芽子音樂工作室,豆菜芽子音樂工作室
98,20,個人獎,最佳作曲人獎,十方協奏曲 給雙鋼琴與打擊樂團《聲動》,盧炎,十方樂集
98,20,個人獎,最佳作詞人獎,成長《禮讚》,李子恆,靜思文化志業有限公司
98,20,個人獎,最佳編曲人獎,Sometime in my life 流光掠影《歡．日．紀 One Day》,董舜文,威幅音樂有限公司
98,20,個人獎,最佳專輯製作人獎,蒙古長調民歌,王森地、吳金黛,風潮音樂國際股份有限公司
98,20,個人獎,最佳傳統音樂詮釋獎,蘭庭六記,溫宇航,蘭庭崑劇團
98,20,個人獎,最佳演唱獎,聖母哀悼曲,李文智,凌軒企業社
98,20,個人獎,最佳演奏獎,楓橋夜泊－任潔的古箏懷想,任潔,風潮音樂國際股份有限公司
98,20,評審團獎,評審團獎,「唱歌吧！」專輯演唱者,東埔國小合唱團,
98,20,特別貢獻獎,特別貢獻獎,,吳兆南先生,
