年度,屆別,獎項名稱,入圍作品,入圍單位/者,報名單位
80,2,最佳作詞人獎,老兵賣冰,李安修,林傑出版有限公司
80,2,最佳作詞人獎,我和我的童年（童年篇）,馬毓芬（馬玉芬）、林愷,可登有聲出版社有限公司
80,2,最佳作詞人獎,裙擺飛揚,紀凱慶,喜瑪拉雅有限公司
80,2,最佳作詞人獎,我最愛的朋友,高愛倫,可登有聲出版社有限公司
80,2,最佳作詞人獎,六個夢,陳喆（瓊瑤）,上格唱片企業股份有限公司
80,2,最佳作曲人獎,北風,殷文琦,寶麗金唱片股份有限公司
80,2,最佳作曲人獎,客途秋恨,陳揚,點將股份有限公司
80,2,最佳作曲人獎,沙漠、駱駝、男人、女人,張弘毅,喜瑪拉雅有限公司
80,2,最佳作曲人獎,我是個不喜歡熱鬧的人,蔣三省,點將股份有限公司
80,2,最佳作曲人獎,單身逃亡,鄭智化,可登有聲出版社有限公司
80,2,最佳編曲人獎,我還有夢,陳志遠,飛碟企業有限公司
80,2,最佳編曲人獎,沙漠、駱駝、男人、女人,陳朝裕（陳宇寰）,喜瑪拉雅有限公司
80,2,最佳編曲人獎,客途秋恨,陳揚,點將股份有限公司
80,2,最佳編曲人獎,我是個不喜歡熱鬧的人,屠穎,點將股份有限公司
80,2,最佳編曲人獎,裙擺飛揚,張弘毅,喜瑪拉雅有限公司
80,2,最佳演唱組獎,〔十年百合〕,大小百合(李靜、周月綺),華星唱片企業股份有限公司
80,2,最佳演唱組獎,〔青年樣本〕,呆呆熊(周守訓、胡國琛、戴明偉),歌林股份有限公司
80,2,最佳演唱組獎,〔將你的靈魂接在我的線路上〕,東方快車合唱團(姚可傑、楊振華、盛子貞、郭名虎、侯志堅),飛碟企業有限公司
80,2,最佳錄音獎,〔不只是朋友〕,可登有聲出版社有限公司,可登有聲出版社有限公司
80,2,最佳錄音獎,〔我們ＩＩ、生日快樂〕,可登有聲出版社有限公司,可登有聲出版社有限公司
80,2,最佳錄音獎,〔紫色的聲音〕,點將股份有限公司,點將股份有限公司
80,2,最佳錄音獎,〔想飛的心〕,飛碟企業有限公司,飛碟企業有限公司
80,2,最佳錄音獎,〔誰在秋天撿到我的心〕,飛碟企業有限公司,飛碟企業有限公司
80,2,最佳專輯製作人獎,〔跟你說聽你說專輯〕,李宗盛,滾石有聲出版社有限公司
80,2,最佳專輯製作人獎,〔不只是朋友〕,孫建平,可登有聲出版社有限公司
80,2,最佳專輯製作人獎,〔我是不是你最疼愛的人專輯〕,陳煥昌（小蟲）,滾石有聲出版社有限公司
80,2,最佳專輯製作人獎,〔一個人遊遊盪盪〕,陳揚,點將股份有限公司
80,2,最佳專輯製作人獎,〔生命是一首澎湃的歌〕,楊明煌,上揚有聲出版有限公司
80,2,最佳專輯獎,〔不只是朋友〕,可登出版社有限公司,可登出版社有限公司
80,2,最佳專輯獎,〔生命是一首澎湃的歌〕,上揚有聲出版有限公司,上揚有聲出版有限公司
80,2,最佳專輯獎,〔似曾相識〕,寶麗金唱片股份有限公司,寶麗金唱片股份有限公司
80,2,最佳專輯獎,〔我是不是你最疼愛的人〕,滾石有聲出版社有限公司,滾石有聲出版社有限公司
80,2,最佳專輯獎,〔跟你說聽你說〕,滾石有聲出版社有限公司,滾石有聲出版社有限公司
80,2,最佳單曲歌唱錄影帶影片獎,你走你的路,滾石有聲出版社有限公司,滾石有聲出版社有限公司
80,2,最佳單曲歌唱錄影帶影片獎,沈默的祝福,華星唱片企業股份有限公司,華星唱片企業股份有限公司
80,2,最佳單曲歌唱錄影帶影片獎,其實我真的想,麥羅音樂傳播有限公司,麥羅音樂傳播有限公司
80,2,最佳單曲歌唱錄影帶影片獎,將你的靈魂接在我的線路上,飛碟企業有限公司,飛碟企業有限公司
80,2,最佳單曲歌唱錄影帶影片獎,誰在秋天撿到我的心,飛碟企業有限公司,飛碟企業有限公司
80,2,新人獎,〔是不是一定要我像你〕,李明依,滾石有聲出版社有限公司
80,2,新人獎,〔誰說愛情不會有奇蹟〕,林芸,藍與白唱片有限公司
80,2,新人獎,〔滿街都是寂寞的朋友嗎〕,吳貞慧（江念庭）,藍與白唱片有限公司
80,2,新人獎,〔你愛的是我還是別人專輯〕,黃心懋,滾石有聲出版社有限公司
80,2,新人獎,〔不只是朋友〕,黃春鳳（黃小琥）,可登有聲出版社有限公司
80,2,最佳男演唱人獎,〔風風雨雨這多年〕,洪榮宏,新笛唱片有限公司
80,2,最佳男演唱人獎,〔想念我〕,張雨生,飛碟企業有限公司
80,2,最佳男演唱人獎,〔忘記專輯〕,張信哲,滾石有聲出版社有限公司
80,2,最佳男演唱人獎,〔我自遠方來〕,鄧阿田（鄧百成）,漢興傳播有限公司
80,2,最佳男演唱人獎,〔夢開始的地方〕,童安格,寶麗金唱片股份有限公司
80,2,最佳女演唱人獎,〔做總統有機會〕,陳雲霞（陳小雲）,吉馬唱片錄音帶有限公司
80,2,最佳女演唱人獎,〔跟你說聽你說專輯〕,陳淑樺,滾石有聲出版社有限公司
80,2,最佳女演唱人獎,〔不想你也難〕,張清芳,點將股份有限公司
