年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位
102,24,出版獎,最佳民族音樂專輯獎,無極－春夏秋冬,風潮音樂國際股份有限公司,風潮音樂國際股份有限公司
102,24,出版獎,最佳民族音樂專輯獎,山居吟－吳釗經典古琴演奏,貝岡朵音樂藝術企業社,貝岡朵音樂藝術企業社
102,24,出版獎,最佳戲曲曲藝專輯獎,新編崑劇《梁山伯與祝英台》,長德有線電視股份有限公司,長德有線電視股份有限公司
102,24,出版獎,最佳戲曲曲藝專輯獎,台灣答嘴鼓之媽祖,禾廣娛樂股份有限公司,禾廣娛樂股份有限公司
102,24,出版獎,最佳傳統歌樂專輯獎,丹耐夫正若「聽路」,易藝暢響文化事業有限公司,易藝暢響文化事業有限公司
102,24,出版獎,最佳傳統歌樂專輯獎,霞喀羅精靈的秘密語,財團法人明基友達文教基金會,財團法人明基友達文教基金會
102,24,出版獎,最佳傳統歌樂專輯獎,〈穿越時空半世紀〉傳唱馬蘭古謠,貓貍文化工作室,貓貍文化工作室
102,24,出版獎,最佳古典音樂專輯獎,台北單簧管樂集 Live Recording,繆斯藝術文化有限公司,繆斯藝術文化有限公司
102,24,出版獎,最佳古典音樂專輯獎,長城,雅砌音樂有限公司,雅砌音樂有限公司
102,24,出版獎,最佳古典音樂專輯獎,在野的紅薔薇－郭芝苑鋼琴獨奏曲集,繆斯藝術文化有限公司,繆斯藝術文化有限公司
102,24,出版獎,最佳古典音樂專輯獎,呂紹嘉與NSO LIVE,繆斯藝術文化有限公司,繆斯藝術文化有限公司
102,24,出版獎,最佳古典音樂專輯獎,名琴與民謠,中提琴家樂團,中提琴家樂團
102,24,出版獎,最佳兒童音樂專輯獎,愛如小孩,源動力文化發展事業有限公司,源動力文化發展事業有限公司
102,24,出版獎,最佳兒童音樂專輯獎,ㄤ牯ㄤ牯咕咕咕,客家電視台,客家電視台
102,24,出版獎,最佳兒童音樂專輯獎,車子真有趣！,財團法人慈濟傳播人文志業基金會,財團法人慈濟傳播人文志業基金會
102,24,出版獎,最佳兒童音樂專輯獎,聽咱的囝仔在唱歌,屏東縣恆春鎮思想起民謠促進會,屏東縣恆春鎮思想起民謠促進會
102,24,出版獎,最佳兒童音樂專輯獎,長大的那一天 La jour de grandir,飛人集社劇團,飛人集社劇團
