年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位
90,13,流行音樂作品類-出版獎,最佳流行音樂演唱專輯獎,〔原來…林憶蓮〕,香港商維京百代音樂事業(股)台灣分公司,香港商維京百代音樂事業(股)台灣分公司
90,13,流行音樂作品類-出版獎,最佳流行音樂演唱專輯獎,〔周杰倫范特西〕, 阿爾發音樂事業有限公司, 阿爾發音樂事業有限公司
90,13,流行音樂作品類-出版獎,最佳流行音樂演唱專輯獎,〔風箏〕,華納國際音樂股份有限公司,華納國際音樂股份有限公司
90,13,流行音樂作品類-出版獎,最佳流行音樂演唱專輯獎,〔真實〕,華納國際音樂股份有限公司,華納國際音樂股份有限公司
90,13,流行音樂作品類-出版獎,最佳流行音樂演唱專輯獎,〔海嘯〕, 新力哥倫比亞音樂股份有限公司, 新力哥倫比亞音樂股份有限公司
90,13,流行音樂作品類-出版獎,最佳流行音樂演奏專輯獎,〔人生海海〕,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司
90,13,流行音樂作品類-出版獎,最佳流行音樂演奏專輯獎,〔十面埋伏〕,上揚國際股份有限公司,上揚國際股份有限公司
90,13,流行音樂作品類-出版獎,最佳流行音樂演奏專輯獎,〔爆米香的滋味〕,金革科技股份有限公司,金革科技股份有限公司
90,13,流行音樂作品類-出版獎,最佳流行音樂演奏專輯獎,〔月光邊境〕,風潮有聲出版有限公司,風潮有聲出版有限公司
90,13,流行音樂作品類-出版獎,最佳流行音樂演奏專輯獎,〔故事〕,風潮有聲出版有限公司,風潮有聲出版有限公司
90,13,流行音樂作品類-出版獎,最佳流行音樂演奏專輯獎,〔蝶舞〕,風潮有聲出版有限公司,風潮有聲出版有限公司
90,13,流行音樂作品類-出版獎,最佳音樂錄影帶獎,流年,科藝百代股份有限公司,科藝百代股份有限公司
90,13,流行音樂作品類-出版獎,最佳音樂錄影帶獎,開不了口,阿爾發音樂事業有限公司,阿爾發音樂事業有限公司
90,13,流行音樂作品類-出版獎,最佳音樂錄影帶獎,風箏,華納國際音樂股份有限公司,華納國際音樂股份有限公司
