年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位
95,17,流行音樂作品類-演唱類出版獎, 最佳年度歌曲獎,愛作夢的魚《愛作夢的魚》,亞律音樂股份有限公司,亞律音樂股份有限公司
95,17,流行音樂作品類-演唱類出版獎, 最佳年度歌曲獎,太平洋的風《匆匆》,參拾柒度製作有限公司,參拾柒度製作有限公司
95,17,流行音樂作品類-演唱類出版獎, 最佳年度歌曲獎,台灣製造《雙面人》,艾迴股份有限公司,艾迴股份有限公司
95,17,流行音樂作品類-演唱類出版獎, 最佳年度歌曲獎,孫子兵法《太平盛世》,伊世代娛樂股份有限公司,伊世代娛樂股份有限公司
95,17,流行音樂作品類-演唱類出版獎,最佳國語流行音樂演唱專輯獎,匆匆,參拾柒度製作有限公司,參拾柒度製作有限公司
95,17,流行音樂作品類-演唱類出版獎,最佳國語流行音樂演唱專輯獎,華麗的冒險,Cheerego.com 好小氣音樂工作室,Cheerego.com 好小氣音樂工作室
95,17,流行音樂作品類-演唱類出版獎,最佳國語流行音樂演唱專輯獎,雙棲動物,華納國際音樂股份有限公司,華納國際音樂股份有限公司
95,17,流行音樂作品類-演唱類出版獎,最佳國語流行音樂演唱專輯獎,愛瘋了,科藝百代股份有限公司,科藝百代股份有限公司
95,17,流行音樂作品類-演唱類出版獎,最佳國語流行音樂演唱專輯獎,太平盛世,伊世代娛樂股份有限公司,伊世代娛樂股份有限公司
95,17,流行音樂作品類-演唱類出版獎,最佳台語流行音樂演唱專輯獎,你愛的不是我,華特國際音樂股份有限公司,華特國際音樂股份有限公司
95,17,流行音樂作品類-演唱類出版獎,最佳台語流行音樂演唱專輯獎,愛作夢的魚,亞律音樂股份有限公司,亞律音樂股份有限公司
95,17,流行音樂作品類-演唱類出版獎,最佳台語流行音樂演唱專輯獎,紅,亞律音樂股份有限公司,亞律音樂股份有限公司
95,17,流行音樂作品類-演唱類出版獎,最佳台語流行音樂演唱專輯獎,甲你作伴,亞律音樂股份有限公司,亞律音樂股份有限公司
95,17,流行音樂作品類-演唱類出版獎,最佳台語流行音樂演唱專輯獎,雙面人,艾迴股份有限公司,艾迴股份有限公司
95,17,流行音樂作品類-演唱類出版獎,最佳客語流行音樂演唱專輯獎,新个事情會發生,新竹市風愛社,新竹市風愛社
