年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位
99,21,出版獎,最佳民族音樂專輯獎,胡旋舞,上揚國際股份有限公司,上揚國際股份有限公司
99,21,出版獎,最佳戲曲曲藝專輯獎,良臣遇灶神,許亞芬歌子戲劇坊,許亞芬歌子戲劇坊
99,21,出版獎,最佳傳統歌樂專輯獎,福佬民謠,貓貍文化工作室,貓貍文化工作室
99,21,出版獎,最佳古典音樂專輯獎,雙鋼琴30禮讚,環球國際唱片股份有限公司,環球國際唱片股份有限公司
99,21,出版獎,最佳兒童音樂專輯獎,幸福的臉－兒童音樂專輯,靜思人文志業股份有限公司,靜思人文志業股份有限公司
99,21,出版獎,最佳宗教音樂專輯獎,梁皇寶懺,如是我聞文化股份有限公司,如是我聞文化股份有限公司
99,21,出版獎,最佳跨界音樂專輯獎,樂活無界 Beyond Boundaries,看見音樂股份有限公司,看見音樂股份有限公司
99,21,個人獎,最佳作曲人獎,家園的回憶《蕭泰然鋼琴獨奏曲集－家園的回憶》,蕭泰然,繆斯藝術文化有限公司
99,21,個人獎,最佳作詞人獎,青塚前的對話《青塚前的對話》,王安祈,非常深藍藝術工作室
99,21,個人獎,最佳編曲人獎,赤壁之後《樂活無界 Beyond Boundaries》,梁啟慧,看見音樂股份有限公司
99,21,個人獎,最佳專輯製作人獎,自由想－源自遠古的呼聲,程芷香, 財團法人義美藝術教育基金會
99,21,個人獎,最佳傳統音樂詮釋獎,青塚前的對話,陳美蘭,非常深藍藝術工作室
99,21,個人獎,最佳演唱獎,當代狂潮－當代合唱音樂作品集,台北室內合唱團(指揮/陳雲紅),台北室內合唱團
99,21,個人獎,最佳演奏獎,雙鋼琴30禮讚,魏樂富、葉綠娜,環球國際唱片股份有限公司
99,21,技術類個人獎,最佳專輯包裝獎,搖籃˙記憶,高森信男,歐陽伶宜大提琴音樂方程式
99,21,評審團獎,評審團獎,「胡旋舞」,上揚國際股份有限公司,上揚國際股份有限公司
99,21,特別貢獻獎,特別貢獻獎,從缺,從缺,從缺
