年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位
86,8,團體獎,最佳流行音樂演唱唱片獎,〔南歌〕,飛碟企業股份有限公司,飛碟企業股份有限公司
86,8,團體獎,最佳流行音樂演奏唱片獎,〔慾望的聲音〕,巨石音樂股份有限公司,巨石音樂股份有限公司
86,8,團體獎,最佳古典音樂唱片獎,〔映象中國〕,家威影音實業有限公司,家威影音實業有限公司
86,8,團體獎,最佳民族樂曲唱片獎,〔土地與歌〕,風潮有聲出版有限公司,風潮有聲出版有限公司
86,8,團體獎,最佳地方戲劇唱片獎,〔京劇唱腔典藏集系列三（少兒專輯）〕,皇龍文化事業股份有限公司,皇龍文化事業股份有限公司
86,8,團體獎,最佳民俗曲藝唱片獎,〔京韻大鼓(駱玉笙) －上下集〕,國綸企業有限公司,國綸企業有限公司
86,8,團體獎,最佳口語說講唱片獎,,從缺,
86,8,團體獎,最佳兒童樂曲（故事）唱片獎,,從缺,
86,8,個人獎．流行音樂類,最佳作曲人獎,舊夢,李正帆,巨石音樂股份有限公司
86,8,個人獎．流行音樂類,最佳作詞人獎,火柴天堂,熊威（熊天平）、趙俊傑,上華國際企業股份有限公司
86,8,個人獎．流行音樂類,最佳唱片製作人獎,〔南歌〕,蔡振南,飛碟企業股份有限公司
86,8,個人獎．流行音樂類,最佳國語男演唱人獎,〔絲路〕,齊秦,上華國際企業股份有限公司
86,8,個人獎．流行音樂類,最佳方言男演唱人獎,〔南歌〕,蔡振南,飛碟企業股份有限公司
86,8,個人獎．流行音樂類,最佳國語女演唱人獎,〔純粹〕,張清芳,科藝百代股份有限公司
86,8,個人獎．流行音樂類,最佳方言女演唱人獎,〔天頂的月娘啊〕,許景淳,台灣滾石唱片股份有限公司
86,8,個人獎．流行音樂類,最佳演唱組獎,〔福氣啦〕,高向鵬、方怡萍,豪記影視唱片有限公司
86,8,個人獎．流行音樂類,最佳新人獎,〔說真心話〕,彭佳慧,巨石音樂股份有限公司
86,8,個人獎．非流行音樂類,最佳作曲人獎,擊鼓,錢南章,翰力文化事業股份有限公司
86,8,個人獎．非流行音樂類,最佳作詞人獎,,從缺,
86,8,個人獎．非流行音樂類,最佳唱片製作人獎,〔映象中國〕,杜黑,家威影音實業有限公司
86,8,個人獎．非流行音樂類,最佳演唱人獎,〔映象中國〕,杜黑（台北愛樂合唱團指揮）,家威影音實業有限公司
86,8,個人獎．非流行音樂類,最佳演奏人獎,〔鑼揚鼓慶〕,朱宗慶,翰力文化事業股份有限公司
86,8,大陸地區作品獎,大陸作曲人獎,,從缺,
86,8,大陸地區作品獎,大陸演唱人獎,,從缺,
86,8,大陸地區作品獎,大陸演奏人獎,,從缺,
86,8,世界華人作品獎,最佳男演唱人獎,〔我感覺不到你〕,巫啟賢,科藝百代股份有限公司
86,8,世界華人作品獎,最佳女演唱人獎,〔別讓我恨你〕,陳潔儀,立得唱片事業有限公司
86,8,世界華人作品獎,最佳演奏人獎,,從缺,
86,8,特別獎,特別獎,,李泰祥先生,
