年度,屆別,獎項名稱,得獎作品,得獎單位/者,報名單位
80,2,最佳年度歌曲獎,這城市有愛,滾石有聲出版社有限公司,滾石有聲出版社有限公司
80,2,最佳作詞人獎,老兵賣冰,李安修,林傑出版有限公司
80,2,最佳作曲人獎,北風,殷文琦,寶麗金唱片股份有限公司
80,2,最佳編曲人獎,我是個不喜歡熱鬧的人,屠穎,點將股份有限公司
80,2,最佳單曲歌唱錄影帶影片獎,誰在秋天撿到我的心,飛碟企業有限公司,飛碟企業有限公司
80,2,最佳錄音獎,〔不只是朋友〕,可登有聲出版社有限公司,可登有聲出版社有限公司
80,2,最佳專輯獎,〔我是不是你最疼愛的人〕,滾石有聲出版社有限公司,滾石有聲出版社有限公司
80,2,最佳專輯製作人獎,〔一個人遊遊盪盪〕,陳揚,點將股份有限公司
80,2,最佳男演唱人獎,〔風風雨雨這多年〕,洪榮宏,新笛唱片有限公司
80,2,最佳女演唱人獎,〔忽然想起你〕,蔡琴,飛碟企業有限公司
80,2,最佳演唱組獎,〔將你的靈魂接在我的線路上〕,東方快車合唱團(姚可傑、楊振華、盛子貞、郭名虎、侯志堅),飛碟企業有限公司
80,2,新人獎,〔不只是朋友〕,黃春鳳（黃小琥）,可登有聲出版社有限公司
80,2,特別獎,,陳秋霖,
