年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位,演唱者/演奏者/導演
102,24,演唱類出版獎,最佳年度歌曲獎,回味《永恆。承諾》,果核有限公司,果核有限公司,
102,24,演唱類出版獎,最佳年度歌曲獎,無言歌《蓋亞》,環球國際唱片股份有限公司,環球國際唱片股份有限公司,
102,24,演唱類出版獎,最佳年度歌曲獎,海岸線《海岸線》,參拾柒度製作有限公司,參拾柒度製作有限公司,
102,24,演唱類出版獎,最佳年度歌曲獎,玫瑰色的你《神的遊戲》,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,
102,24,演唱類出版獎,最佳年度歌曲獎,大藝術家《MUSE》,華納國際音樂股份有限公司,華納國際音樂股份有限公司,
102,24,演唱類出版獎,最佳國語專輯獎,12新作（平裝版）,杰威爾音樂有限公司,杰威爾音樂有限公司,
102,24,演唱類出版獎,最佳國語專輯獎,貧民百萬歌星 2009-2012 Best Singles Collection,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,
102,24,演唱類出版獎,最佳國語專輯獎,蓋亞,環球國際唱片股份有限公司,環球國際唱片股份有限公司,
102,24,演唱類出版獎,最佳國語專輯獎,回到未來,華納國際音樂股份有限公司,華納國際音樂股份有限公司,
102,24,演唱類出版獎,最佳國語專輯獎,MUSE,華納國際音樂股份有限公司,華納國際音樂股份有限公司,
102,24,演唱類出版獎,最佳台語專輯獎,新寶島康樂隊第狗張,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,
102,24,演唱類出版獎,最佳台語專輯獎,吳申梅─思念無罪,喜歡唱片股份有限公司,喜歡唱片股份有限公司,
102,24,演唱類出版獎,最佳台語專輯獎,愛,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,
102,24,演唱類出版獎,最佳台語專輯獎,台南,三川娛樂有限公司,三川娛樂有限公司,
102,24,演唱類出版獎,最佳台語專輯獎,發生了什麼事？,大吉祥整合行銷有限公司,大吉祥整合行銷有限公司,
102,24,演唱類出版獎,最佳客語專輯獎,散步 黃鎮炘全創作客語專輯2012,阿比百音樂社,阿比百音樂社,
102,24,演唱類出版獎,最佳客語專輯獎,兩個世界,延伸有聲出版有限公司,延伸有聲出版有限公司,
102,24,演唱類出版獎,最佳客語專輯獎,爵士唐詩,威德文化有限公司,威德文化有限公司,
102,24,演唱類出版獎,最佳客語專輯獎,牽等你介手,新竹市風愛社,新竹市風愛社,
102,24,演唱類出版獎,最佳客語專輯獎,回家的路,參拾柒度製作有限公司,參拾柒度製作有限公司,
102,24,演唱類出版獎,最佳原住民語專輯獎,女巫芮斯─美麗的末日預言,米靈岸事業有限公司,米靈岸事業有限公司,
102,24,演唱類出版獎,最佳原住民語專輯獎,桑布伊同名專輯 - dalan,卡達德邦文化工作室,卡達德邦文化工作室,
102,24,演唱類出版獎,最佳原住民語專輯獎,阿米斯,彎的音樂有限公司,彎的音樂有限公司,
102,24,演唱類出版獎,最佳原住民語專輯獎,太陽月亮,風潮音樂國際股份有限公司,風潮音樂國際股份有限公司,
102,24,演唱類出版獎,最佳原住民語專輯獎,達卡鬧─「Calisi 斜坡」專輯,好的創藝工作室,好的創藝工作室,
102,24,演唱類出版獎,最佳原住民語專輯獎,O-Kai A Cappella,角頭文化事業股份有限公司,角頭文化事業股份有限公司,
102,24,演唱類出版獎,最佳音樂錄影帶獎,加大力度《Moment》,種子音樂有限公司,種子音樂有限公司,導演：比爾賈
102,24,演唱類出版獎,最佳音樂錄影帶獎,乾杯《第二人生no where-末日版》,相信音樂國際股份有限公司,相信音樂國際股份有限公司,導演：陳奕仁
102,24,演唱類出版獎,最佳音樂錄影帶獎,無言歌《蓋亞》,環球國際唱片股份有限公司,環球國際唱片股份有限公司,導演：比爾賈
102,24,演唱類出版獎,最佳音樂錄影帶獎,Super Girl 愛無畏《Super Girl 愛 無畏 Super Version》,金牌大風音樂文化股份有限公司,金牌大風音樂文化股份有限公司,導演：陳奕仁
102,24,演唱類出版獎,最佳音樂錄影帶獎,歐拉拉呼呼《有吉他的流行歌曲》,添翼創越工作室,添翼創越工作室,導演：黃元成、陳奕瑞
102,24,演唱類出版獎,最佳音樂錄影帶獎,大藝術家《MUSE》,華納國際音樂股份有限公司,華納國際音樂股份有限公司,導演：陳奕仁
102,24,演唱類個人獎,最佳作曲人獎,思凡《大小說家（平裝版）》,JerryC,華研國際音樂股份有限公司,
102,24,演唱類個人獎,最佳作曲人獎,回味《永恆。承諾》,黃韻玲,果核有限公司,
102,24,演唱類個人獎,最佳作曲人獎,你根本不是我的誰《你安安靜靜地躲起來》,盧凱彤,華納國際音樂股份有限公司,
102,24,演唱類個人獎,最佳作曲人獎,海岸線《海岸線》,李子恆,參拾柒度製作有限公司,
102,24,演唱類個人獎,最佳作詞人獎,應該是柴油的《新寶島康樂隊第狗張》,黃連煜（客）、陳昇（台）,滾石國際音樂股份有限公司,
102,24,演唱類個人獎,最佳作詞人獎,阿茲海默《原來我們都是愛著的》,黎煥雄,滾石國際音樂股份有限公司,
102,24,演唱類個人獎,最佳作詞人獎,貧民百萬歌星《貧民百萬歌星 2009-2012 Best Singles Collection》,姚中仁,滾石國際音樂股份有限公司,
102,24,演唱類個人獎,最佳作詞人獎,海岸線《海岸線》,李子恆,參拾柒度製作有限公司,
102,24,演唱類個人獎,最佳作詞人獎,玫瑰色的你《神的遊戲》,焦安溥,台灣索尼音樂娛樂股份有限公司,
102,24,演唱類個人獎,最佳編曲人獎,milihuwan 崇高的創造者《桑布伊同名專輯 - dalan》,鍾興民,卡達德邦文化工作室,
102,24,演唱類個人獎,最佳編曲人獎,Runaway Mama《大小說家（平裝版）》,Skot Suyama（陶山）,華研國際音樂股份有限公司,
102,24,演唱類個人獎,最佳編曲人獎,比較大的大提琴《12新作（平裝版）》,黃雨勳,杰威爾音樂有限公司,
102,24,演唱類個人獎,最佳編曲人獎,蓋亞《蓋亞》,常石磊,環球國際唱片股份有限公司,
102,24,演唱類個人獎,最佳編曲人獎,數數歌《O-Kai A Cappella》,Michele Weir,角頭文化事業股份有限公司,
102,24,演唱類個人獎,最佳專輯製作人獎,桑布伊同名專輯 - dalan,陳主惠,卡達德邦文化工作室,
102,24,演唱類個人獎,最佳專輯製作人獎,12新作（平裝版）,周杰倫,杰威爾音樂有限公司,
102,24,演唱類個人獎,最佳專輯製作人獎,永恆。承諾,鍾興民,果核有限公司,
102,24,演唱類個人獎,最佳專輯製作人獎,蓋亞,林憶蓮、常石磊,環球國際唱片股份有限公司,
102,24,演唱類個人獎,最佳專輯製作人獎,O-Kai A Cappella,賴家慶、王溪泉,角頭文化事業股份有限公司,
102,24,演唱類個人獎,最佳單曲製作人獎,I CAN BELIEVE《不搖滾小姐》,蘇通達,擎天娛樂事業股份有限公司,
102,24,演唱類個人獎,最佳單曲製作人獎,愛久見人心《愛久見人心》,彭學斌,環球國際唱片股份有限公司,
102,24,演唱類個人獎,最佳單曲製作人獎,不一樣的朋友《忘不記》,亂彈阿翔,相信音樂國際股份有限公司,
