年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位,演唱者/演奏者/導演
113,35,演唱類出版獎,年度專輯獎,瓦合,黑皮國有限公司,黑皮國有限公司,演唱者：草東沒有派對
113,35,演唱類出版獎,年度歌曲獎,又到天黑《帶你飛》,相信音樂國際股份有限公司,相信音樂國際股份有限公司,演唱者：告五人／作曲人：告五人 雲安／作詞人：告五人 雲安
113,35,演唱類出版獎,最佳華語專輯獎,瓦合,黑皮國有限公司,黑皮國有限公司,演唱者：草東沒有派對
113,35,演唱類出版獎,最佳台語專輯獎,夜婆 Iā-Pô,創銘實業股份有限公司,創銘實業股份有限公司,演唱者：巴奈 Panai
113,35,演唱類出版獎,最佳客語專輯獎,繭的形狀,荒島文化有限公司,荒島文化有限公司,演唱者：邱淑蟬
113,35,演唱類出版獎,最佳原住民語專輯獎,寶藏 Treasure,那屋瓦文化有限公司,那屋瓦文化有限公司,演唱者：Makav 真愛
113,35,演唱類出版獎,最佳MV獎,社交恐懼癌《CHIN UP!》,環球國際唱片股份有限公司,環球國際唱片股份有限公司,導演：張傑邦
113,35,演唱類個人獎,最佳作曲人獎,"歌一切《期待集》
",許鈞,十一音像有限公司（十一音樂）,演唱者：許鈞
113,35,演唱類個人獎,最佳作詞人獎,樓上的房東《髒藝術家》,MC HotDog熱狗,滾石國際音樂股份有限公司,演唱者：MC HotDog熱狗
113,35,演唱類個人獎,最佳編曲人獎,期待集《期待集》,許鈞,十一音像有限公司（十一音樂）,演唱者：許鈞
113,35,演唱類個人獎,最佳專輯製作人獎,Flow,陳君豪,亞神音樂娛樂股份有限公司,演唱者：楊乃文
113,35,演唱類個人獎,最佳單曲製作人獎,一路以來《一路以來(電影《富都青年》主題曲)》,片山凉太、龍玟宏,大元娛樂有限公司,演唱者：片山凉太
113,35,演唱類個人獎,最佳華語男歌手獎,MC HotDog熱狗,髒藝術家,滾石國際音樂股份有限公司,MC HotDog熱狗
113,35,演唱類個人獎,最佳華語女歌手獎,Boomerang,孫盛希 Shi Shi,滾石國際音樂股份有限公司,孫盛希 Shi Shi
113,35,演唱類個人獎,最佳台語男歌手獎,心內烏空,蘇明淵,風潮音樂國際股份有限公司,蘇明淵
113,35,演唱類個人獎,最佳台語女歌手獎,十八般武藝,黃妃,華特國際音樂股份有限公司,黃妃
113,35,演唱類個人獎,最佳客語歌手獎,鎮妹 Zhin‘ Moi,柔 米,親愛的音樂有限公司,柔 米
113,35,演唱類個人獎,最佳原住民語歌手獎,美感 Harateng no Pangcah,舞思愛,愛玩音樂有限公司,舞思愛
113,35,演唱類個人獎,最佳樂團獎,瓦合,草東沒有派對（林耕佑、詹爲筑、楊世暄、黃士瑋）,黑皮國有限公司,草東沒有派對
113,35,演唱類個人獎,最佳演唱組合獎,最好的日常 （Those Days）,歐開合唱團 O-Kai Singers（葉微真、李湘君、葉孝恩、馮瀚亭）,歐開文化創意股份有限公司,歐開合唱團 O-Kai Singers
113,35,演唱類個人獎,最佳新人獎,寶藏 Treasure,Makav 真愛,那屋瓦文化有限公司,Makav 真愛
113,35,演奏類出版獎,演奏類最佳專輯獎,美麗的灣,好有感覺音樂事業有限公司,好有感覺音樂事業有限公司,演奏者：邱群、黃緊雋、達卡鬧、黃威、黃韻叡、黃煜程、胡哲睿、曹昌玄、盧品穎
113,35,演奏類個人獎,演奏類最佳專輯製作人獎,at one,余佳倫、賴二川,和諧滙聚股份有限公司,演奏者：余佳倫
113,35,演奏類個人獎,演奏類最佳作曲人獎,嗨高科技 Hi-Tech Pros and Cons《自由的姿態 （Liberated Gesture)》,蘇郁涵,好有感覺音樂事業有限公司,演奏者：蘇郁涵
113,35,技術類個人獎,最佳裝幀設計獎,Flow,吳建龍,亞神音樂娛樂股份有限公司,
113,35,技術類出版獎,最佳演唱錄音專輯獎,姿態,相信音樂國際股份有限公司 ,相信音樂國際股份有限公司 ,主要錄音人員：陸希文／主要混音人員：陸希文、周冠儒／主要母帶後製人員：陸希文
113,35,技術類出版獎,最佳演奏錄音專輯獎,"Pluto Potato
",明天的歌有限公司 ,明天的歌有限公司 ,主要錄音人員：蔡周翰／主要混音人員：陳君豪、蔡周翰、程杰／主要母帶後製人員：Alex Gordon
113,35,評審團獎,評審團獎,,大象體操（張凱翔、張凱婷、涂嘉欽）,,
113,35,特別貢獻獎,特別貢獻獎,,"劉清池、鄭華娟
",,
