年度,屆別,獎項名稱,入圍作品,入圍單位/者,報名單位
79,1,最佳作詞人獎,死河灞,涂敏恆,全成唱片音樂公司
79,1,最佳作詞人獎,妹妹鬆開我的手,孫家麟（孫儀）,天下唱片事業有限公司
79,1,最佳作詞人獎,針線情,張景洲,金嗓唱片有限公司
79,1,最佳作曲人獎,說起往事,城振銘,新格文化事業股份有限公司
79,1,最佳作曲人獎,妹妹鬆開我的手,翁清溪,天下唱片事業有限公司
79,1,最佳作曲人獎,從來不肯對你說,張弘毅,全美有聲出版社
79,1,最佳作曲人獎,針線情,張錦華,金嗓唱片有限公司
79,1,最佳編曲人獎,死河灞,徐嘉良,全成唱片音樂公司
79,1,最佳編曲人獎,永遠不回頭,陳志遠,飛碟企業有限公司
79,1,最佳編曲人獎,愛到最高點,陳揚,可登有聲出版社有限公司
79,1,最佳編曲人獎,從來不肯對你說,張弘毅,全美有聲出版社
79,1,最佳單曲歌唱錄影帶影片獎,水中花,寶麗金唱片股份有限公司,寶麗金唱片股份有限公司
79,1,最佳單曲歌唱錄影帶影片獎,不想睡的紅舞鞋,寶麗金唱片股份有限公司,寶麗金唱片股份有限公司
79,1,最佳單曲歌唱錄影帶影片獎,老么的故事,點將股份有限公司,點將股份有限公司
79,1,最佳單曲歌唱錄影帶影片獎,我很醜，可是我很溫柔,滾石傳播事業有限公司,滾石傳播事業有限公司
79,1,最佳單曲歌唱錄影帶導演獎,我很醜，可是我很溫柔,王仁里,滾石傳播事業有限公司
79,1,最佳單曲歌唱錄影帶導演獎,老么的故事,張達隆,點將股份有限公司
79,1,最佳單曲歌唱錄影帶導演獎,無色彩,虞戡平,飛羚唱片有限公司
79,1,新人獎,,伍思凱,可登有聲出版社有限公司
79,1,新人獎,,邰正宵,飛碟企業有限公司
79,1,新人獎,,馬毓芬（馬玉芬）,可登有聲出版社有限公司
79,1,新人獎,,張雨生,飛碟企業有限公司
79,1,新人獎,,鄭同芳（鄭婷）,寶麗金唱片股份有限公司
79,1,最佳演唱組獎,,粉紅派對（林嘉苹、林秋萍）,歌林股份有限公司
79,1,最佳演唱組獎,,小虎隊（吳奇隆、蘇有朋、陳志朋）,飛碟企業有限公司
79,1,最佳演唱組獎,,知己二重唱（曾寶明、吳志華）,飛碟企業有限公司
79,1,最佳男演唱人獎,,王傑,飛碟企業有限公司
79,1,最佳男演唱人獎,,周華健,滾石有聲出版社有限公司
79,1,最佳男演唱人獎,,姜育恆,飛碟企業有限公司
79,1,最佳男演唱人獎,,殷正洋,上揚有聲出版有限公司
79,1,最佳男演唱人獎,,費玉清,天下唱片事業有限公司
79,1,最佳女演唱人獎,,江淑惠（江蕙）,鄉城唱片股份有限公司
79,1,最佳女演唱人獎,,張清芳,點將股份有限公司
79,1,最佳女演唱人獎,,葉美娟（葉璦菱）,瑞星唱片有限公司
79,1,最佳女演唱人獎,,蔡幸娟,飛碟企業有限公司
79,1,最佳女演唱人獎,,鄭怡,可登有聲出版社有限公司
79,1,最佳年度歌曲獎,今生又來生,新格文化事業股份有限公司,
79,1,最佳年度歌曲獎,我很醜，可是我很溫柔,滾石有聲出版社有限公司,
79,1,最佳年度歌曲獎,我想有個家,藍與白唱片有限公司,
79,1,最佳年度歌曲獎,依然是你的雙手,滾石有聲出版社有限公司,
79,1,最佳年度歌曲獎,妹妹鬆開我的手,天下唱片事業有限公司,
79,1,最佳年度歌曲獎,針線情,金嗓唱片有限公司,
79,1,最佳年度歌曲獎,記得我們有約,飛碟企業有限公司,
79,1,最佳年度歌曲獎,從來不肯對你說,全美有聲出版社,
79,1,最佳年度歌曲獎,說起往事,新格文化事業股份有限公司,
79,1,最佳年度歌曲獎,誰說少年不知愁,天下唱片事業有限公司,
