年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位,演唱者/演奏者/導演
113,35,演唱類出版獎,年度專輯獎,最佳華語專輯獎,,,
113,35,演唱類出版獎,年度專輯獎,最佳台語專輯獎,,,
113,35,演唱類出版獎,年度專輯獎,最佳客語專輯獎,,,
113,35,演唱類出版獎,年度專輯獎,最佳原住民語專輯獎,,,
113,35,演唱類出版獎,年度專輯獎,世界 World,合作藝文有限公司,合作藝文有限公司,演唱者：大象體操
113,35,演唱類出版獎,年度專輯獎,你會永遠活在我的歌裡,賽蓮音樂有限公司,賽蓮音樂有限公司,演唱者：蘇珮卿
113,35,演唱類出版獎,年度歌曲獎,墮落 feat. Buddha Jump 佛跳牆《Flow》,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,演唱者：楊乃文／作曲人：戴佩妮、陳君豪／作詞人：戴佩妮、楊乃文
113,35,演唱類出版獎,年度歌曲獎,家和萬事興《家和萬事興》,火氣音樂股份有限公司,火氣音樂股份有限公司,演唱者：滅火器／作曲人：楊大正／作詞人：楊大正
113,35,演唱類出版獎,年度歌曲獎,又到天黑《帶你飛》,相信音樂國際股份有限公司,相信音樂國際股份有限公司,演唱者：告五人／作曲人：告五人 雲安／作詞人：告五人 雲安
113,35,演唱類出版獎,年度歌曲獎,但《瓦合》,黑皮國有限公司,黑皮國有限公司,演唱者：草東沒有派對／作曲人：草東沒有派對／作詞人：草東沒有派對
113,35,演唱類出版獎,年度歌曲獎,樓上的房東《髒藝術家》,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,演唱者：MC HotDog熱狗／作曲人：MC HotDog熱狗、高仰辰 Tipsy Kao／作詞人：MC HotDog熱狗
113,35,演唱類出版獎,年度歌曲獎,離別總是那麼突然《離別總是那麼突然》,寬魚國際股份有限公司,寬魚國際股份有限公司,演唱者：張惠妹／作曲人：黃韻玲／作詞人：Kwan、李焯雄
113,35,演唱類出版獎,最佳華語專輯獎,Flow,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,演唱者：楊乃文
113,35,演唱類出版獎,最佳華語專輯獎,"期待集
",十一音像有限公司（十一音樂）,十一音像有限公司（十一音樂）,演唱者：許鈞
113,35,演唱類出版獎,最佳華語專輯獎,姿態,相信音樂國際股份有限公司,相信音樂國際股份有限公司,演唱者：傻子與白痴
113,35,演唱類出版獎,最佳華語專輯獎,帶你飛,相信音樂國際股份有限公司,相信音樂國際股份有限公司,演唱者：告五人
113,35,演唱類出版獎,最佳華語專輯獎,瓦合,黑皮國有限公司,黑皮國有限公司,演唱者：草東沒有派對
113,35,演唱類出版獎,最佳華語專輯獎,裘德,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,演唱者：裘德
113,35,演唱類出版獎,最佳台語專輯獎,簡單一句話,吃淂開音樂有限公司,吃淂開音樂有限公司,演唱者：鄭平
113,35,演唱類出版獎,最佳台語專輯獎,海海人生,晨安音樂有限公司,晨安音樂有限公司,演唱者：青虫aoi
113,35,演唱類出版獎,最佳台語專輯獎,家和萬事興,火氣音樂股份有限公司,火氣音樂股份有限公司,演唱者：滅火器
113,35,演唱類出版獎,最佳台語專輯獎,夜婆 Iā-Pô,創銘實業股份有限公司,創銘實業股份有限公司,演唱者：巴奈 Panai
113,35,演唱類出版獎,最佳台語專輯獎,一路平安,滾石移動股份有限公司,滾石移動股份有限公司,演唱者：熊美玲
113,35,演唱類出版獎,最佳台語專輯獎,五木大学,何樂音樂有限公司,何樂音樂有限公司,演唱者：許富凱
113,35,演唱類出版獎,最佳客語專輯獎,"羊尾仔看詩
",山狗大樂團,山狗大樂團,演唱者：林鈺婷
113,35,演唱類出版獎,最佳客語專輯獎,遷徙,心流創藝有限公司,心流創藝有限公司,演唱者：葉穎
113,35,演唱類出版獎,最佳客語專輯獎,繭的形狀,荒島文化有限公司,荒島文化有限公司,演唱者：邱淑蟬
113,35,演唱類出版獎,最佳客語專輯獎,鎮妹 Zhin‘ Moi,親愛的音樂有限公司,親愛的音樂有限公司,演唱者：柔 米
113,35,演唱類出版獎,最佳客語專輯獎,客耀,海韻音樂娛樂製作有限公司,海韻音樂娛樂製作有限公司,演唱者：彭柏邑
113,35,演唱類出版獎,最佳原住民語專輯獎,"美式教育
",年輕富有娛樂有限公司,年輕富有娛樂有限公司,演唱者：AZ李孝祖
113,35,演唱類出版獎,最佳原住民語專輯獎,給幸福的一封信,婷婷爵士音樂工作室,婷婷爵士音樂工作室,演唱者：邱立婷、薩巴太魯閣兒童合唱團
113,35,演唱類出版獎,最佳原住民語專輯獎,Vusam種子,斯納伊工作室,斯納伊工作室,演唱者：舞炯恩加以法利得
113,35,演唱類出版獎,最佳原住民語專輯獎,最好的日常 （Those Days）,歐開文化創意股份有限公司,歐開文化創意股份有限公司,演唱者：歐開合唱團 O-Kai Singers ﹙葉微真、李湘君、葉孝恩、馮瀚亭﹚
113,35,演唱類出版獎,最佳原住民語專輯獎,寶藏 Treasure,那屋瓦文化有限公司,那屋瓦文化有限公司,演唱者：Makav 真愛
113,35,演唱類出版獎,最佳原住民語專輯獎,女人島,阿洛無限有限公司,阿洛無限有限公司,演唱者：阿洛·卡力亭·巴奇辣
113,35,演唱類出版獎,最佳MV獎,delulu《delulu》,街聲股份有限公司,街聲股份有限公司,導演：秦梓銘
113,35,演唱類出版獎,最佳MV獎,Tokyo Calling《Tokyo Calling》,街聲股份有限公司,街聲股份有限公司,導演：Pennacky
113,35,演唱類出版獎,最佳MV獎,Bon Bon《SweetBox》,容易文創有限公司,容易文創有限公司,導演：殷振豪
113,35,演唱類出版獎,最佳MV獎,GOOD LOOKING《GOOD LOOKING》,小白兔橘子有限公司,小白兔橘子有限公司,導演：自動鮪魚、亞歷三小
113,35,演唱類出版獎,最佳MV獎,社交恐懼癌《CHIN UP!》,環球國際唱片股份有限公司,環球國際唱片股份有限公司,導演：張傑邦
113,35,演唱類出版獎,最佳MV獎,Ho(l)e《Way out》,夢芝林有限公司,夢芝林有限公司,導演：Haoyan of America
113,35,演唱類出版獎,最佳MV獎,Runner Runner《RISE》,伊弗龐金有限公司,伊弗龐金有限公司,導演：陳仲宇
113,35,演唱類個人獎,最佳作曲人獎,"歌一切《期待集》
",許鈞,十一音像有限公司（十一音樂）,演唱者：許鈞
113,35,演唱類個人獎,最佳作曲人獎,願與愁《重拾_快樂》,林俊傑,就是俊傑音樂股份有限公司,演唱者：林俊傑
113,35,演唱類個人獎,最佳作曲人獎,但《瓦合》,草東沒有派對,黑皮國有限公司,演唱者：草東沒有派對
113,35,演唱類個人獎,最佳作曲人獎,大人《麋鹿》,周興哲,華納國際音樂股份有限公司,演唱者：梁靜茹
113,35,演唱類個人獎,最佳作曲人獎,別總是那麼突然《離別總是那麼突然》,黃韻玲,寬魚國際股份有限公司,演唱者：張惠妹
113,35,演唱類個人獎,最佳作曲人獎,"Someday, Somewhere《Someday, Somewhere》",蔡依林、Richard Craker,華納國際音樂股份有限公司,演唱者：蔡依林
113,35,演唱類個人獎,最佳作詞人獎,"有歲《有歲》
",武雄,施文彬電音本舖,演唱者：施文彬
113,35,演唱類個人獎,最佳作詞人獎,帽子裡的惡魔《柒》,李格弟,環球國際唱片股份有限公司,演唱者：鳳小岳
113,35,演唱類個人獎,最佳作詞人獎,樓上的房東《髒藝術家》,MC HotDog熱狗,滾石國際音樂股份有限公司,演唱者：MC HotDog熱狗
113,35,演唱類個人獎,最佳作詞人獎,骨骼謝幕《裘德》,葛大為,亞神音樂娛樂股份有限公司,演唱者：裘德
113,35,演唱類個人獎,最佳作詞人獎,大人《麋鹿》,姚若龍,華納國際音樂股份有限公司,演唱者：梁靜茹
113,35,演唱類個人獎,最佳作詞人獎,秋離《一路平安》,楊肅浩、丁津、林秋離,滾石移動股份有限公司,演唱者：熊美玲
113,35,演唱類個人獎,最佳編曲人獎,A Dream of Bonnie and Clyde feat. JADE《Flow》,嘟嘟,亞神音樂娛樂股份有限公司,演唱者：楊乃文
113,35,演唱類個人獎,最佳編曲人獎,期待集《期待集》,許鈞,十一音像有限公司（十一音樂）,演唱者：許鈞
113,35,演唱類個人獎,最佳編曲人獎,ADICA《ADICA》,ØZI、Ian Jeffrey Thomas、魯綱宇、張家誠,新樂園音樂有限公司,演唱者：ØZI
113,35,演唱類個人獎,最佳編曲人獎,"但《瓦合》
",草東沒有派對,黑皮國有限公司,演唱者：草東沒有派對
113,35,演唱類個人獎,最佳編曲人獎,胚胎《裘德》,裘德、關浩德Walter、崔展鴻,亞神音樂娛樂股份有限公司,演唱者：裘德
113,35,演唱類個人獎,最佳編曲人獎,圓《圓》,黃少雍、王韻筑,嗨庫文化傳媒有限公司,演唱者：蘇運瑩
