年度,屆別,獎項名稱,入圍作品,入圍單位/者,報名單位
83,5,最佳方言歌曲男演唱人獎,,林文隆,歌林股份有限公司
83,5,最佳方言歌曲男演唱人獎,,柳昭全（王建傑）,興來唱片有限公司
83,5,最佳方言歌曲男演唱人獎,,洪榮宏,寶麗金唱片股份有限公司
83,5,最佳方言歌曲男演唱人獎,,楊宗憲,歌林股份有限公司
83,5,最佳方言歌曲男演唱人獎,,蔡金虎（蔡小虎）,歌林股份有限公司
83,5,最佳方言歌曲女演唱人獎,,江玉滿（龍千玉）,豪記影視唱片有限公司
83,5,最佳方言歌曲女演唱人獎,,江淑惠（江惠）,點將股份有限公司
83,5,最佳方言歌曲女演唱人獎,,紀秋英（紀露霞）,上揚有聲出版有限公司
83,5,最佳方言歌曲女演唱人獎,,陳雲霞（陳小雲）,吉馬唱片錄音帶有限公司
83,5,最佳方言歌曲女演唱人獎,,張秀卿,歌林股份有限公司
83,5,最佳演唱專輯獎,〔凡人－大夥兒聽我唱支歌專輯〕,歌林股份有限公司,歌林股份有限公司
83,5,最佳演唱專輯獎,〔天空藍藍的〕,巨石音樂有限公司,巨石音樂有限公司
83,5,最佳演唱專輯獎,〔吻別〕,寶麗金唱片股份有限公司,寶麗金唱片股份有限公司
83,5,最佳演唱專輯獎,〔你不要那樣看著我的眼睛〕,波麗佳音股份有限公司,波麗佳音股份有限公司
83,5,最佳演唱專輯獎,〔酒後的心聲〕,點將股份有限公司,點將股份有限公司
83,5,最佳演唱專輯製作人獎,〔你不要那樣看著我的眼睛〕,王治平,波麗佳音股份有限公司
83,5,最佳演唱專輯製作人獎,〔心事（我是真的愛你）〕,李宗盛,巨石音樂有限公司
83,5,最佳演唱專輯製作人獎,〔別讓我哭〕,陳志昇（陳昇）,滾石國際有限公司
83,5,最佳演唱專輯製作人獎,〔吻別〕,黃慶元,寶麗金唱片股份有限公司
83,5,最佳演唱專輯製作人獎,〔凡人－大夥兒聽我唱支歌專輯〕,蔡宗政,歌林股份有限公司
83,5,最佳演唱組獎,,凡人二重唱(莫凡、袁惟仁),歌林股份有限公司
83,5,最佳演唱組獎,,木吉他(鄭文魁、劉因國、陳永裕、胡昭宇、張炳輝),寶麗金唱片股份有限公司
83,5,最佳演唱組獎,,南方二重唱(閻宗玉、林明樺),瑞星唱片有限公司
83,5,最佳單曲歌唱錄影帶影片獎,思念進行曲－山盟海誓專輯,福茂唱片音樂股份有限公司,福茂唱片音樂股份有限公司
83,5,最佳單曲歌唱錄影帶影片獎,愛的代價,滾石國際有限公司,滾石國際有限公司
83,5,最佳單曲歌唱錄影帶影片獎,曾經滄海,滾石國際有限公司,滾石國際有限公司
83,5,最佳單曲歌唱錄影帶影片獎,一佰萬,滾石國際有限公司,滾石國際有限公司
83,5,最佳單曲歌唱錄影帶影片獎,思念親像一條河,波麗佳音股份有限公司,波麗佳音股份有限公司
83,5,最佳演奏專輯獎,〔糾纏－無言的山丘〕,滾石國際有限公司,滾石國際有限公司
83,5,最佳演奏專輯獎,〔桃花泣血記〕,上揚有聲出版有限公司,上揚有聲出版有限公司
83,5,最佳演奏專輯獎,〔鋼琴之愛５〕,巨石音樂有限公司,巨石音樂有限公司
83,5,最佳演奏專輯獎,〔霸王別姬〕,滾石國際有限公司,滾石國際有限公司
83,5,最佳演奏專輯獎,〔戀戀風塵〕,索引有聲出版有限公司,索引有聲出版有限公司
83,5,最佳演奏專輯製作人獎,〔糾纏－無言的山丘〕,李正帆、陳志昇,滾石國際有限公司
83,5,最佳演奏專輯製作人獎,〔琴有獨鍾專輯〕,林隆璇,福茂唱片音樂股份有限公司
83,5,最佳演奏專輯製作人獎,〔戀戀風塵〕,陳揚、許景淳、陳明章,索引有聲出版有限公司
83,5,最佳演奏專輯製作人獎,〔中國的梵樂〕,楊耿明,歡樂唱片錄音帶有限公司
83,5,最佳演奏專輯製作人獎,〔動你心弦〕,鄭柏秋,巨石音樂有限公司
83,5,最佳錄音獎,〔少年情女兒心〕,小放牛有聲出版社、比特製作有限公司,小放牛有聲出版社、比特製作有限公司
83,5,最佳錄音獎,〔天空藍藍的〕,巨石音樂有限公司、白金錄音室,巨石音樂有限公司、白金錄音室
83,5,最佳錄音獎,〔糾纏－無言的山丘〕,滾石國際有限公司、麗風錄音室,滾石國際有限公司、麗風錄音室
83,5,最佳錄音獎,〔愛的代價〕,滾石國際有限公司、白金錄音室,滾石國際有限公司、白金錄音室
83,5,最佳錄音獎,〔戀戀風塵〕,索引有聲出版有限公司、比特製作有限公司,索引有聲出版有限公司、比特製作有限公司
83,5,最佳方言歌曲作詞人獎,日頭月亮結相倚,王志誠（路寒袖）,索引有聲出版有限公司
83,5,最佳方言歌曲作詞人獎,花開毋對時,王志誠（路寒袖）,索引有聲出版有限公司
83,5,最佳方言歌曲作詞人獎,寫佇雲頂的名,王志誠（路寒袖）,索引有聲出版有限公司
83,5,最佳方言歌曲作詞人獎,煞戲,王志誠（路寒袖）,索引有聲出版有限公司
83,5,最佳方言歌曲作詞人獎,戲棚腳,吳文欽（吳念真）,歌林股份有限公司
83,5,最佳國語歌曲作詞人獎,牽手,李子恒,飛碟企業股份有限公司
83,5,最佳國語歌曲作詞人獎,向著陽光走,李宗盛,滾石國際有限公司
83,5,最佳國語歌曲作詞人獎,不要問我過的好不好,周治平,瑞星唱片有限公司
83,5,最佳國語歌曲作詞人獎,孩子我該給你一個什麼樣的世界,張小雯,波麗佳音股份有限公司
83,5,最佳國語歌曲作詞人獎,旅程,蔡琴,波麗佳音股份有限公司
83,5,新人獎,,俞志誠（俞智凱）,新笛唱片有限公司
83,5,新人獎,,徐世珍,鄉城唱片股份有限公司
83,5,新人獎,,袁毓敏,上揚有聲出版有限公司
83,5,新人獎,,黃晴禎（黃思婷）,豪記影視唱片有限公司
83,5,新人獎,,眭澔平,歌林股份有限公司
83,5,最佳作曲人獎,那一場風花雪月的事,周治平,寶麗金唱片股份有限公司
83,5,最佳作曲人獎,吻別,殷文琦,寶麗金唱片股份有限公司
83,5,最佳作曲人獎,誰的眼淚在飛,陳小霞,上華國際企業股份有限公司
83,5,最佳作曲人獎,新鴛鴦蝴蝶夢,黃宏銘（黃安）,上華國際企業股份有限公司
83,5,最佳作曲人獎,酒後的心聲,駱居財,點將股份有限公司
83,5,最佳編曲人獎,吻別,殷文琦,寶麗金唱片股份有限公司
83,5,最佳編曲人獎,我是一棵秋天的樹,陳志遠,飛碟企業股份有限公司
83,5,最佳編曲人獎,癡情不是一種罪過,陳志遠,飛碟企業股份有限公司
83,5,最佳編曲人獎,夢裡的火車,陳揚,小放牛有聲出版社
83,5,最佳編曲人獎,思念,陳揚,小放牛有聲出版社
83,5,最佳年度歌曲獎,出嫁,點將股份有限公司,點將股份有限公司
83,5,最佳年度歌曲獎,吻別,寶麗金唱片股份有限公司,寶麗金唱片股份有限公司
83,5,最佳年度歌曲獎,回家,飛碟企業股份有限公司,飛碟企業股份有限公司
83,5,最佳年度歌曲獎,車站,歌林股份有限公司,歌林股份有限公司
83,5,最佳年度歌曲獎,牽手,飛碟企業股份有限公司,飛碟企業股份有限公司
83,5,最佳年度歌曲獎,酒後的心聲,點將股份有限公司,點將股份有限公司
83,5,最佳年度歌曲獎,新鴛鴦蝴蝶夢,上華國際企業股份有限公司,上華國際企業股份有限公司
83,5,最佳年度歌曲獎,算命先生,上華國際企業股份有限公司,上華國際企業股份有限公司
83,5,最佳年度歌曲獎,戲棚腳,歌林股份有限公司,歌林股份有限公司
83,5,最佳年度歌曲獎,謝謝你的愛,寶麗金唱片股份有限公司,寶麗金唱片股份有限公司
83,5,最佳國語歌曲男演唱人獎,,王經國（王翔）,歌林股份有限公司
83,5,最佳國語歌曲男演唱人獎,,李宗盛,滾石國際有限公司
83,5,最佳國語歌曲男演唱人獎,,周華健,滾石國際有限公司
83,5,最佳國語歌曲男演唱人獎,,殷正洋,巨石音樂有限公司
83,5,最佳國語歌曲男演唱人獎,,張雨生,飛碟企業股份有限公司
83,5,最佳國語歌曲女演唱人獎,,李麗芬,滾石國際有限公司
83,5,最佳國語歌曲女演唱人獎,,張清芳,點將股份有限公司
83,5,最佳國語歌曲女演唱人獎,,葉倩文,飛碟企業股份有限公司
83,5,最佳國語歌曲女演唱人獎,,潘月雲（潘越雲）,飛碟企業股份有限公司
83,5,最佳國語歌曲女演唱人獎,,蘇瑞芬（蘇芮）,飛碟企業股份有限公司
