年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位
89,11,流行音樂作品類．出版獎部分,最佳流行音樂演唱專輯獎,〔I'm ok〕,俠客唱片股份有限公司,俠客唱片股份有限公司
89,11,流行音樂作品類．出版獎部分,最佳流行音樂演唱專輯獎,〔臉頰貼緊月球〕,新力哥倫比亞音樂股份有限公司,新力哥倫比亞音樂股份有限公司
89,11,流行音樂作品類．出版獎部分,最佳流行音樂演唱專輯獎,〔我要我們在一起〕,福茂唱片音樂股份有限公司,福茂唱片音樂股份有限公司
89,11,流行音樂作品類．出版獎部分,最佳流行音樂演唱專輯獎,〔太陽 風 草原的聲音〕,魔岩唱片股份有限公司,魔岩唱片股份有限公司
89,11,流行音樂作品類．出版獎部分,最佳流行音樂演唱專輯獎,〔silence〕,魔岩唱片股份有限公司,魔岩唱片股份有限公司
89,11,流行音樂作品類．出版獎部分,最佳流行音樂演奏專輯獎,〔3橘之戀〕,角頭文化事業股份有限公司,角頭文化事業股份有限公司
89,11,流行音樂作品類．出版獎部分,最佳流行音樂演奏專輯獎,〔海〕,常喜音樂股份有限公司,常喜音樂股份有限公司
89,11,流行音樂作品類．出版獎部分,最佳流行音樂演奏專輯獎,〔七星海〕,風潮有聲出版有限公司,風潮有聲出版有限公司
89,11,流行音樂作品類．出版獎部分,最佳流行音樂演奏專輯獎,〔海角一樂園〕,風潮有聲出版有限公司,風潮有聲出版有限公司
89,11,流行音樂作品類．出版獎部分,最佳流行音樂演奏專輯獎,〔在一起〕,友善的狗股份有限公司,友善的狗股份有限公司
89,11,流行音樂作品類．出版獎部分,最佳音樂錄影帶獎,找自己,俠客唱片股份有限公司,俠客唱片股份有限公司
89,11,流行音樂作品類．出版獎部分,最佳音樂錄影帶獎,臉頰貼緊月球,新力哥倫比亞音樂股份有限公司,新力哥倫比亞音樂股份有限公司
89,11,流行音樂作品類．出版獎部分,最佳音樂錄影帶獎,我要我們在一起,福茂唱片音樂股份有限公司,福茂唱片音樂股份有限公司
89,11,流行音樂作品類．出版獎部分,最佳音樂錄影帶獎,She knows,友善的狗股份有限公司,友善的狗股份有限公司
89,11,流行音樂作品類．出版獎部分,最佳音樂錄影帶獎,Silence,魔岩唱片股份有限公司,魔岩唱片股份有限公司
89,11,流行音樂作品類．出版獎部分,最佳音樂錄影帶獎,真世界,魔岩唱片股份有限公司,魔岩唱片股份有限公司
89,11,流行音樂作品類．出版獎部分,最佳音樂錄影帶獎,我愛世紀末,魔岩唱片股份有限公司,魔岩唱片股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳作曲人獎,找自己〔I'm ok〕,陶喆,俠客唱片股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳作曲人獎,流淚手心〔不可能錯過你〕,王力宏,新力哥倫比亞音樂股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳作曲人獎,心動〔心動電影音樂大碟〕,黃韻玲,友善的狗股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳作曲人獎,神話〔太陽　風　草原的聲音〕,陳建年,魔岩唱片股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳作曲人獎,我給的愛〔Silence〕,張震嶽,魔岩唱片股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳作詞人獎,原諒〔臉頰貼緊月球〕,雷光夏,新力哥倫比亞音樂股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳作詞人獎,百年孤寂〔只愛陌生人〕,林夕,科藝百代股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳作詞人獎,丫媽的老唱片〔我的內分泌有點失調〕,張四十三,角頭文化事業股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳作詞人獎,離開我〔我變了〕,袁惟仁,豐華唱片股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳作詞人獎,陰天〔你可以〕,李宗盛,滾石國際音樂股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳編曲人獎,走馬燈〔亂彈〕,陳泰翔,博德曼股份有限公司（真言社製作有限公司製作）
89,11,流行音樂作品類．個人獎部分,最佳編曲人獎,I'm ok〔I'm ok〕,陶喆,俠客唱片股份有限公司
89,11,流行音樂作品類．個人獎部分,最佳編曲人獎,臉頰貼緊月球〔臉頰貼緊月球〕,雷光夏,新力哥倫比亞音樂股份有限公司
