年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位,演唱者/演奏者/導演/錄音團隊
114,36,演唱類出版獎,年度專輯獎,Suí 水,果核音樂玫瑰森林農場有限公司,果核音樂玫瑰森林農場有限公司,演唱者：李竺芯
114,36,演唱類出版獎,年度歌曲獎,星期五晚上《Here I Am》,相信音樂國際股份有限公司,相信音樂國際股份有限公司,演唱者：Energy
114,36,演唱類出版獎,最佳華語專輯獎,好聲豪氣,任意門娛樂股份有限公司,任意門娛樂股份有限公司,演唱者：呂士軒
114,36,演唱類出版獎,最佳台語專輯獎,Suí 水,果核音樂玫瑰森林農場有限公司,果核音樂玫瑰森林農場有限公司,演唱者：李竺芯
114,36,演唱類出版獎,最佳客語專輯獎,牛騷 New Soul,子皿有限公司,子皿有限公司,演唱者：黃子軒
114,36,演唱類出版獎,最佳原住民語專輯獎,VAIVAIK 尋走,風潮音樂國際股份有限公司,風潮音樂國際股份有限公司,演唱者：戴曉君
114,36,演唱類個人獎,最佳作曲人獎,〈才二十三〉《夢想家》,方大同,香港商賦音樂有限公司,演唱者：方大同
114,36,演唱類個人獎,最佳作詞人獎,〈南迴之子〉《雲就要翻過山》,張淦勛,街聲股份有限公司,演唱者：張淦勛
114,36,演唱類個人獎,最佳編曲人獎,,戴曉君、吳蒙惠、〈Dipin Kari Tang 麵包 咖哩 刺蝟〉,風潮音樂國際股份有限公司,演唱者：戴曉君、泰武古謠傳唱、《VAIVAIK 尋走》
114,36,演唱類個人獎,最佳專輯製作人獎,雲就要翻過山,高潮（林志仁）,街聲股份有限公司,演唱者：張淦勛
114,36,演唱類個人獎,最佳單曲製作人獎,〈BUNUN 布農〉《QUEENDOM》,海大富,華納國際音樂股份有限公司,演唱者：阿布絲・塔娜比瑪
114,36,演唱類個人獎,最佳華語男歌手獎,好聲豪氣,呂士軒,任意門娛樂股份有限公司,
114,36,演唱類個人獎,最佳華語女歌手獎,珍珠刑,魏如萱,何樂音樂有限公司,
114,36,演唱類個人獎,最佳台語男歌手獎,罐頭塔,陳以恆,持之音股份有限公司,
114,36,演唱類個人獎,最佳台語女歌手獎,Suí 水,李竺芯,果核音樂玫瑰森林農場有限公司,
114,36,演唱類個人獎,最佳客語歌手獎,牛騷 New Soul,黃子軒,子皿有限公司,
114,36,演唱類個人獎,最佳原住民語歌手獎,Qrasun 格拉孫,姑慕·巴紹,自在合作行,
114,36,演唱類個人獎,最佳樂團獎,幸福的末班車,TRASH樂團（林志融、林頤原、鄧博文、王韋翔）,華納國際音樂股份有限公司,
114,36,演唱類個人獎,最佳演唱組合獎,《結伴》(豪華版),動力火車（尤秋興、顏志琳）,華研國際音樂股份有限公司,
114,36,演唱類個人獎,最佳新人獎,愚公,someshiit 山姆,滾石移動股份有限公司,
114,36,演奏類出版獎,演奏類最佳專輯獎,練習曲,就是現場股份有限公司,就是現場股份有限公司,演奏者：張貝芝
114,36,演奏類個人獎,演奏類最佳專輯製作人獎,以空,蘇紫旭、安志華,宏揚國際有限公司,演奏者：以空、蘇紫旭、安志華
114,36,演奏類個人獎,演奏類最佳作曲人獎,,王育嘉、簡聿民、林均憲、〈參螺旋〉,數日子音樂工作室,演奏者：幾何碼、《幾何碼》
114,36,技術類出版獎,最佳MV獎,Antenna《AAA》,夕陽音樂產業有限公司,夕陽音樂產業有限公司,導演：rafhoo
114,36,技術類出版獎,最佳演唱錄音專輯獎,AAA,夕陽音樂產業有限公司,夕陽音樂產業有限公司,錄音：SangHyun Cho、HyeSeok Oh、王昱辰、YJ (Moollon)、劉先彬、混音：Norman Nitzsche、母帶後製：Norman Nitzsche／演唱者：HYUKOH、落日飛車
114,36,技術類出版獎,最佳演奏錄音專輯獎,OR 手術劇院,好有感覺音樂事業有限公司,好有感覺音樂事業有限公司,錄音：Brian Montgomery、混音：Brian Montgomery、母帶後製：Mark Wilder／演奏者：楊又臻爵士大樂團
114,36,技術類個人獎,最佳裝幀設計獎,AAA,Chanhee Hong、Na Kim,夕陽音樂產業有限公司,
114,36,評審團獎,評審團獎,夢想家,方大同,,
114,36,特別貢獻獎,特別貢獻獎,,翁孝良,,
114,36,特別貢獻獎,特別貢獻獎,,馬兆駿,,
