年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位,演唱者/演奏者/導演/錄音團隊
115,37,演唱類出版獎,最佳台語專輯獎,我說,滾石移動股份有限公司,滾石移動股份有限公司,演唱者：CJ MiT
115,37,演唱類出版獎,最佳客語專輯獎,南方的冬,禾廣娛樂股份有限公司,禾廣娛樂股份有限公司,演唱者：阿依·羅
115,37,演唱類出版獎,最佳客語專輯獎,Final Girl,東城音樂製作有限公司,東城音樂製作有限公司,演唱者：ana
115,37,演唱類出版獎,最佳客語專輯獎,下回上去,荒島文化有限公司,荒島文化有限公司,演唱者：春麵樂隊
115,37,演唱類出版獎,最佳客語專輯獎,慢花誌,環球國際唱片股份有限公司,環球國際唱片股份有限公司,演唱者：陳以諾
115,37,演唱類出版獎,最佳客語專輯獎,Ngai,予浪創樂股份有限公司,予浪創樂股份有限公司,演唱者：黃宇寒
115,37,演唱類出版獎,最佳原住民語專輯獎,Masonolay i Cepo',風潮音樂國際股份有限公司,風潮音樂國際股份有限公司,演唱者：漂流出口
115,37,演唱類出版獎,最佳原住民語專輯獎,Saitikotiko 一次又一次,嗨島文化有限公司,嗨島文化有限公司,演唱者：高金龍 Lawis Aow
115,37,演唱類出版獎,最佳原住民語專輯獎,AKA,那屋瓦文化有限公司,那屋瓦文化有限公司,演唱者：Arase 阿拉斯
115,37,演唱類出版獎,最佳原住民語專輯獎,Mikerid 引路,米大創意有限公司,米大創意有限公司,演唱者：舒米恩
115,37,演唱類出版獎,最佳原住民語專輯獎,djekuacan 年少不努力,十一音像有限公司（十一音樂）,十一音像有限公司（十一音樂）,演唱者：Matzka
115,37,演唱類個人獎,最佳作曲人獎,大濛的暗眠,盧律銘,黑馬映像電影有限公司,演唱者：9m88
115,37,演唱類個人獎,最佳作曲人獎,你攏無咧看,蕭煌奇、滴燙 Diiton,華納國際音樂股份有限公司,演唱者：蕭煌奇
115,37,演唱類個人獎,最佳作曲人獎,浪人的...,張震嶽,滾石國際音樂股份有限公司,演唱者：張震嶽
115,37,演唱類個人獎,最佳作曲人獎,數到十,張簡君偉,華研國際音樂股份有限公司,演唱者：曾沛慈
115,37,演唱類個人獎,最佳作曲人獎,若無你我欲去佗位,黃奇斌,環球國際唱片股份有限公司,演唱者：黃奇斌
115,37,演唱類個人獎,最佳作曲人獎,銀色荒原,裘德,亞神音樂娛樂股份有限公司,演唱者：裘德
115,37,演唱類個人獎,最佳作詞人獎,媽媽的眼睛,張震嶽,滾石國際音樂股份有限公司,演唱者：張震嶽
115,37,演唱類個人獎,最佳作詞人獎,成人之美,小寒,台灣索尼音樂娛樂股份有限公司,演唱者：彭佳慧
115,37,演唱類個人獎,最佳作詞人獎,礦工兄弟,武雄,風潮音樂國際股份有限公司,演唱者：吳永吉
115,37,演唱類個人獎,最佳作詞人獎,WAR & LUV,黃立堯,夜間限定有限公司,演唱者：Gummy B
115,37,演唱類個人獎,最佳作詞人獎,銀色荒原,李格弟,亞神音樂娛樂股份有限公司,演唱者：裘德
115,37,演唱類個人獎,最佳編曲人獎,厭倦一個人旅行,翁光煒,伊丹有限公司,演唱者：aDAN薛詒丹
115,37,演唱類個人獎,最佳編曲人獎,FLAMES,周湯豪、Seann Bowe、韋恩林、Ruben Cardenas,環球國際唱片股份有限公司,演唱者：周湯豪
115,37,演唱類個人獎,最佳編曲人獎,DIY,陳星翰、鄭人豪、Morrison Ma、CYH、Richard Craker、Jackson Dimiglio-Wood,華納國際音樂股份有限公司,演唱者：蔡依林
115,37,演唱類個人獎,最佳編曲人獎,輕功水上飄,黃宣,否極泰來音樂股份有限公司,演唱者：YELLOW黃宣
115,37,演唱類個人獎,最佳編曲人獎,銀色荒原,裘德、崔展鴻,亞神音樂娛樂股份有限公司,演唱者：裘德
115,37,演唱類個人獎,最佳專輯製作人獎,來了,蕭賀碩,碩果音樂工作室,演唱者：巴奈
115,37,演唱類個人獎,最佳專輯製作人獎,"Same Stories, Different Narratives",鶴 The Crane,落夢地股份有限公司,演唱者：鶴 The Crane
115,37,演唱類個人獎,最佳專輯製作人獎,QUIT QUIETLY,王昱辰、曾國宏,夕陽音樂產業有限公司,演唱者：落日飛車
115,37,演唱類個人獎,最佳專輯製作人獎,Pleasure,蔡依林、陳星翰,華納國際音樂股份有限公司,演唱者：JOLIN蔡依林
115,37,演唱類個人獎,最佳專輯製作人獎,離開銀色荒原,裘德、伍棟賢(Tonyi NG),亞神音樂娛樂股份有限公司,演唱者：裘德
115,37,演唱類個人獎,最佳專輯製作人獎,純妹妹,常石磊,禾聲文化娛樂有限公司,演唱者：單依純
115,37,演唱類個人獎,最佳單曲製作人獎,FINAL FINAL FINAL《SWIRL》,ØZI、鶴 The Crane,華納國際音樂股份有限公司,演唱者：ØZI、Gummy B、鶴 The Crane
115,37,演唱類個人獎,最佳單曲製作人獎,Superwoman《Superwoman》,Kvnloverboy,華納國際音樂股份有限公司,演唱者：Karencici
115,37,演唱類個人獎,最佳單曲製作人獎,輕功水上飄《輕功水上飄》,黃宣、余佳倫,否極泰來音樂股份有限公司,演唱者：YELLOW黃宣
115,37,演唱類個人獎,最佳單曲製作人獎,幸福在歌唱《幸福在歌唱（電影《陽光女子合唱團》幸福版主題曲）》,陳建騏,众悅娛樂有限公司,演唱者：A-Lin
115,37,演唱類個人獎,最佳單曲製作人獎,一念之間－在水中《一念之間》,陳君豪、吳青峰,台灣索尼音樂娛樂股份有限公司,演唱者：吳青峰、齊豫
115,37,演唱類個人獎,最佳華語男歌手獎,跟著感覺走,張震嶽,滾石國際音樂股份有限公司,
115,37,演唱類個人獎,最佳華語男歌手獎,LOVE RAGE HOPE,周湯豪,環球國際唱片股份有限公司,
115,37,演唱類個人獎,最佳華語男歌手獎,傷心早餐店,盧廣仲,添翼創越工作室,
115,37,演唱類個人獎,最佳華語男歌手獎,更好,Gummy B,夜間限定有限公司,
115,37,演唱類個人獎,最佳華語男歌手獎,離開銀色荒原,裘德,亞神音樂娛樂股份有限公司,
115,37,演唱類個人獎,最佳華語女歌手獎,開,洪佩瑜,何樂音樂有限公司,
115,37,演唱類個人獎,最佳華語女歌手獎,如果每天都可以happy happy 誰想要sad:＊- 合作的秘密,陳嫺靜,顏社企業有限公司,
115,37,演唱類個人獎,最佳華語女歌手獎,完整的大人,彭佳慧,台灣索尼音樂娛樂股份有限公司,
115,37,演唱類個人獎,最佳華語女歌手獎,Pleasure,蔡依林,華納國際音樂股份有限公司,
115,37,演唱類個人獎,最佳華語女歌手獎,雙魚宮,劉艾立,完美伙伴有限公司,
115,37,演唱類個人獎,最佳華語女歌手獎,純妹妹,單依純,禾聲文化娛樂有限公司,
115,37,演唱類個人獎,最佳台語男歌手獎,做一個惜情軟心的人,蕭煌奇,華納國際音樂股份有限公司,
115,37,演唱類個人獎,最佳台語男歌手獎,褪褲lān的兄弟,吳永吉,風潮音樂國際股份有限公司,
115,37,演唱類個人獎,最佳台語男歌手獎,頇顢,曾瑋中,時代創藝企業有限公司,
115,37,演唱類個人獎,最佳台語男歌手獎,人造人間,周自從,火氣音樂股份有限公司,
115,37,演唱類個人獎,最佳台語男歌手獎,我說,CJ MiT,滾石移動股份有限公司,
115,37,演唱類個人獎,最佳台語女歌手獎,圓缺,鄭宜農,邊走邊聽有限公司,
115,37,演唱類個人獎,最佳台語女歌手獎,三十幾,陳怡婷,時代創藝企業有限公司,
115,37,演唱類個人獎,最佳台語女歌手獎,鐵心肝,秀蘭瑪雅,乾坤影視傳播有限公司,
115,37,演唱類個人獎,最佳台語女歌手獎,喝酒講酒話,白冰冰,長興影視有限公司,
115,37,演唱類個人獎,最佳台語女歌手獎,離婚初體驗,吳蓓雅,吳蓓雅工作室有限公司,
115,37,演唱類個人獎,最佳客語歌手獎,南方的冬,阿依·羅,禾廣娛樂股份有限公司,
115,37,演唱類個人獎,最佳客語歌手獎,Final Girl,ana,東城音樂製作有限公司,
115,37,演唱類個人獎,最佳客語歌手獎,下回上去,春麵樂隊,荒島文化有限公司,
115,37,演唱類個人獎,最佳客語歌手獎,慢花誌,陳以諾,環球國際唱片股份有限公司,
115,37,演唱類個人獎,最佳客語歌手獎,Ngai,黃宇寒,予浪創樂股份有限公司,
115,37,演唱類個人獎,最佳原住民語歌手獎,Saitikotiko 一次又一次,高金龍 Lawis Aow,嗨島文化有限公司,
115,37,演唱類個人獎,最佳原住民語歌手獎,AKA,Arase 阿拉斯,那屋瓦文化有限公司,
115,37,演唱類個人獎,最佳原住民語歌手獎,Kami Kami 我們我們,查勞·巴西瓦里,角頭文化事業股份有限公司,
115,37,演唱類個人獎,最佳原住民語歌手獎,Mikerid 引路,舒米恩,米大創意有限公司,
115,37,演唱類個人獎,最佳原住民語歌手獎,djekuacan 年少不努力,Matzka,十一音像有限公司（十一音樂）,
115,37,演唱類個人獎,最佳樂團獎,我很抱歉,icyball冰球樂團（王、Nelson、蒙、士捷）,何樂音樂有限公司,
115,37,演唱類個人獎,最佳樂團獎,Masonolay i Cepo',漂流出口（巫尚．碧海、布妲菈．碧海、林肯）,風潮音樂國際股份有限公司,
