年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位,演唱者/演奏者/導演/錄音團隊
114,36,演唱類出版獎,年度專輯獎,不完全自救手冊,十一音像有限公司（十一音樂）,十一音像有限公司（十一音樂）,演唱者：陳建騏、陳綺貞、陳珊妮、曾國宏 (落日飛車)、荒井十一、洪佩瑜、HUSH、黃綺珊、Ice Paper、JIHU、KAFE.HU 咖啡胡、康士坦的變化球、李吉吉 (Project Ace)、李銖銜 James Lee、林憶蓮、裘德、秦四風、蘇運瑩、三隻狗、圖靈音樂實驗室、Von Citizen、王OK、王菀之、王心凌、五月天瑪莎、許鈞、鄭楠、張羽涵 Leezi、周雲蓬
114,36,演唱類出版獎,年度專輯獎,OUTCOMES 結果論,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,演唱者：J.Sheon
114,36,演唱類出版獎,年度專輯獎,隱形色,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,演唱者：林家謙
114,36,演唱類出版獎,年度專輯獎,夢想家,香港商賦音樂有限公司,香港商賦音樂有限公司,演唱者：方大同
114,36,演唱類出版獎,年度專輯獎,好聲豪氣,任意門娛樂股份有限公司,任意門娛樂股份有限公司,演唱者：呂士軒
114,36,演唱類出版獎,年度專輯獎,珍珠刑,何樂音樂有限公司,何樂音樂有限公司,演唱者：魏如萱
114,36,演唱類出版獎,年度專輯獎,像咱這款人,典選音樂事業股份有限公司,典選音樂事業股份有限公司,演唱者：楊肅浩
114,36,演唱類出版獎,年度專輯獎,物件，所在,麟鑫實業有限公司,麟鑫實業有限公司,演唱者：FunkyMo
114,36,演唱類出版獎,年度專輯獎,罐頭塔,持之音股份有限公司,持之音股份有限公司,演唱者：陳以恆
114,36,演唱類出版獎,年度專輯獎,偏南,三川娛樂有限公司,三川娛樂有限公司,演唱者：謝銘祐
114,36,演唱類出版獎,年度專輯獎,滴滴答答,傻皮文創有限公司,傻皮文創有限公司,演唱者：王彙筑
114,36,演唱類出版獎,年度專輯獎,Suí 水,果核音樂玫瑰森林農場有限公司,果核音樂玫瑰森林農場有限公司,演唱者：李竺芯
114,36,演唱類出版獎,年度專輯獎,夢裡夢外,禾廣娛樂股份有限公司,禾廣娛樂股份有限公司,演唱者：秋林
114,36,演唱類出版獎,年度專輯獎,純粹污垢,火氣音樂股份有限公司,火氣音樂股份有限公司,演唱者：粹垢TRAEGO
114,36,演唱類出版獎,年度專輯獎,牛騷 New Soul,子皿有限公司,子皿有限公司,演唱者：黃子軒
114,36,演唱類出版獎,年度專輯獎,亻厓个房間,黎歐創意有限公司,黎歐創意有限公司,演唱者：羅思容、米莎、楊淑喻（吉那）、邱淑蟬
114,36,演唱類出版獎,年度專輯獎,洄游,山狗大樂團,山狗大樂團,演唱者：林鈺婷
114,36,演唱類出版獎,年度專輯獎,雲就要翻過山,街聲股份有限公司,街聲股份有限公司,演唱者：張淦勛
114,36,演唱類出版獎,年度專輯獎,kamawan za kavung 像帽子一樣,野聲音樂文化事業有限公司,野聲音樂文化事業有限公司,演唱者：Morikilr 孔亞明
114,36,演唱類出版獎,年度專輯獎,QUEENDOM,華納國際音樂股份有限公司,華納國際音樂股份有限公司,演唱者：阿布絲・塔娜比瑪
114,36,演唱類出版獎,年度專輯獎,Qrasun 格拉孫,自在合作行,自在合作行,演唱者：姑慕·巴紹
114,36,演唱類出版獎,年度專輯獎,mudalrep 靠近,卡達德邦文化工作室,卡達德邦文化工作室,演唱者：桑布伊
114,36,演唱類出版獎,年度專輯獎,VAIVAIK 尋走,風潮音樂國際股份有限公司,風潮音樂國際股份有限公司,演唱者：戴曉君
114,36,演唱類出版獎,年度歌曲獎,BUNUN 布農《QUEENDOM》,華納國際音樂股份有限公司,華納國際音樂股份有限公司,演唱者：阿布絲・塔娜比瑪
114,36,演唱類出版獎,年度歌曲獎,手機錢包鑰匙菸《美秀集團同名專輯》,火玄火包股份有限公司,火玄火包股份有限公司,演唱者：美秀集團、盧廣仲
114,36,演唱類出版獎,年度歌曲獎,偏南風《偏南》,三川娛樂有限公司,三川娛樂有限公司,演唱者：謝銘祐
